Feature,Gain,Cover,Frequency,original_feature,lag_hour
feature_1_lag0,0.848020591822952,0.137614625849857,0.0814044029164012,feature_1,0
feature_21_lag0,0.0819358669290808,0.00566140137335889,0.000707864373186098,feature_21,0
feature_12_lag0,0.0189593213322334,0.00921051419430882,0.0222269413180435,feature_12,0
feature_1_lag2,0.0130481548203796,0.00733549487232919,0.0150775111488639,feature_1,2
feature_1_lag1,0.00933288279912274,0.010908657882432,0.0174842500176966,feature_1,1
feature_7_lag0,0.00632868636836843,0.0329285588018246,0.0749628371204077,feature_7,0
feature_5_lag0,0.00242036291527737,0.00383858016910743,0.0159977348340058,feature_5,0
feature_6_lag0,0.00174546183224197,0.0508364591538877,0.0547887024846039,feature_6,0
feature_8_lag0,0.00154784682528608,0.00271555673838012,0.00863594535287039,feature_8,0
feature_7_lag1,0.00149495604406688,0.0205804763569466,0.0189707652013874,feature_7,1
feature_4_lag0,0.00137179130986619,0.032695807202635,0.0508954484320804,feature_4,0
feature_4_lag1,0.0010893136287435,0.00603193313695313,0.0176966093296524,feature_4,1
feature_7_lag3,0.00104380607384024,0.0638257872289884,0.0615842004671905,feature_7,3
feature_4_lag2,0.000930621346315423,0.00526236755556028,0.0123876265307567,feature_4,2
feature_13_lag0,0.000508646903718424,0.000703905630821613,0.00325617611665605,feature_13,0
feature_22_lag0,0.000384944303002784,0.000343213500778568,0.000991010122460537,feature_22,0
feature_104_lag65,0.000318775971431595,0.00177304125867621,0.00488426417498407,feature_104,65
feature_17_lag0,0.000232110596098372,0.0324597369404071,0.0200325617611666,feature_17,0
feature_104_lag66,0.000206509869750181,0.00232594266231537,0.0050966234869399,feature_104,66
feature_7_lag2,0.000200617065074396,0.0312130528400008,0.0129539180293056,feature_7,2
