model_id,model_type,dataset_type,station,file_path,base_path,test_rmse,model_size_mb
lgbm_separate_norm_Nomorlization_竹山_U2HA50_combined_windows,lgbm,separate,norm_Nomorlization_竹山_U2HA50_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_竹山_U2HA50_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_竹山_U2HA50_combined_windows,0.0538329644126883,32.88
lgbm_separate_norm_Nomorlization_斗六_C0K400_combined_windows,lgbm,separate,norm_Nomorlization_斗六_C0K400_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_斗六_C0K400_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_斗六_C0K400_combined_windows,0.0604057600082945,35.49
lgbm_separate_norm_Nomorlization_安南_467420_combined_windows,lgbm,separate,norm_Nomorlization_安南_467420_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_安南_467420_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_安南_467420_combined_windows,0.0605882279776209,34.28
lstm_separate_norm_Nomorlization_竹山_U2HA50_combined_windows,lstm,separate,norm_Nomorlization_竹山_U2HA50_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_竹山_U2HA50_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_竹山_U2HA50_combined_windows,0.0610554317984543,0.07
lgbm_separate_norm_Nomorlization_埔里_C0H890_combined_windows,lgbm,separate,norm_Nomorlization_埔里_C0H890_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_埔里_C0H890_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_埔里_C0H890_combined_windows,0.0612761207426026,32.39
lstm_separate_norm_Nomorlization_斗六_C0K400_combined_windows,lstm,separate,norm_Nomorlization_斗六_C0K400_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_斗六_C0K400_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_斗六_C0K400_combined_windows,0.0614369287866485,0.07
lgbm_separate_norm_Nomorlization_南投_C0I460_combined_windows,lgbm,separate,norm_Nomorlization_南投_C0I460_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_南投_C0I460_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_南投_C0I460_combined_windows,0.0635517858979483,35.28
lstm_separate_norm_Nomorlization_埔里_C0H890_combined_windows,lstm,separate,norm_Nomorlization_埔里_C0H890_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_埔里_C0H890_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_埔里_C0H890_combined_windows,0.0653359858523571,0.07
lstm_separate_norm_Nomorlization_南投_C0I460_combined_windows,lstm,separate,norm_Nomorlization_南投_C0I460_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_南投_C0I460_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_norm_Nomorlization_南投_C0I460_combined_windows,0.0657595085093905,0.07
lgbm_separate_norm_Nomorlization_屏東_C0R570_combined_windows,lgbm,separate,norm_Nomorlization_屏東_C0R570_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_屏東_C0R570_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_屏東_C0R570_combined_windows,0.0657858126423832,34.93
