id	model_type	dataset_type	specific_name	model_dir	model_file	importance_file	original_importance_file	native_file	has_importance	has_original_importance	path_prefix
lgbm_combine_chunk_01	lgbm	combine	chunk_01	model_outputs/models_organized/lgbm/combine/chunk_01	model_outputs/models_organized/lgbm/combine/chunk_01/model.rds	model_outputs/models_organized/lgbm/combine/chunk_01/importance.csv		model_outputs/models_organized/lgbm/combine/chunk_01/native.txt	TRUE	FALSE	model_outputs/models_organized/lgbm/combine/chunk_01/model
lgbm_combine_norm_chunk_01	lgbm	combine	norm_chunk_01	model_outputs/models_organized/lgbm/combine/norm_chunk_01	model_outputs/models_organized/lgbm/combine/norm_chunk_01/model.rds	model_outputs/models_organized/lgbm/combine/norm_chunk_01/importance.csv		model_outputs/models_organized/lgbm/combine/norm_chunk_01/native.txt	TRUE	FALSE	model_outputs/models_organized/lgbm/combine/norm_chunk_01/model
lgbm_separate_norm_Nomorlization_三義_C0F9Q0_combined_windows	lgbm	separate	norm_Nomorlization_三義_C0F9Q0_combined_windows	model_outputs/models_organized/lgbm/separate/norm_Nomorlization_三義_C0F9Q0_combined_windows	model_outputs/models_organized/lgbm/separate/norm_Nomorlization_三義_C0F9Q0_combined_windows/model.rds	model_outputs/models_organized/lgbm/separate/norm_Nomorlization_三義_C0F9Q0_combined_windows/importance.csv		model_outputs/models_organized/lgbm/separate/norm_Nomorlization_三義_C0F9Q0_combined_windows/native.txt	TRUE	FALSE	model_outputs/models_organized/lgbm/separate/norm_Nomorlization_三義_C0F9Q0_combined_windows/model
lgbm_separate_norm_Nomorlization_三重_C0AI30_combined_windows	lgbm	separate	norm_Nomorlization_三重_C0AI30_combined_windows	model_outputs/models_organized/lgbm/separate/norm_Nomorlization_三重_C0AI30_combined_windows	model_outputs/models_organized/lgbm/separate/norm_Nomorlization_三重_C0AI30_combined_windows/model.rds	model_outputs/models_organized/lgbm/separate/norm_Nomorlization_三重_C0AI30_combined_windows/importance.csv		model_outputs/models_organized/lgbm/separate/norm_Nomorlization_三重_C0AI30_combined_windows/native.txt	TRUE	FALSE	model_outputs/models_organized/lgbm/separate/norm_Nomorlization_三重_C0AI30_combined_windows/model
lgbm_separate_norm_Nomorlization_中壢_A2C560_combined_windows	lgbm	separate	norm_Nomorlization_中壢_A2C560_combined_windows	model_outputs/models_organized/lgbm/separate/norm_Nomorlization_中壢_A2C560_combined_windows	model_outputs/models_organized/lgbm/separate/norm_Nomorlization_中壢_A2C560_combined_windows/model.rds	model_outputs/models_organized/lgbm/separate/norm_Nomorlization_中壢_A2C560_combined_windows/importance.csv		model_outputs/models_organized/lgbm/separate/norm_Nomorlization_中壢_A2C560_combined_windows/native.txt	TRUE	FALSE	model_outputs/models_organized/lgbm/separate/norm_Nomorlization_中壢_A2C560_combined_windows/model
lstm_combine_chunk_01.pt	lstm	combine	chunk_01.pt	model_outputs/models_organized/lstm/combine/chunk_01.pt	model_outputs/models_organized/lstm/combine/chunk_01.pt/model.rds				FALSE	FALSE	model_outputs/models_organized/lstm/combine/chunk_01.pt/model
lstm_combine_norm_chunk_01.pt	lstm	combine	norm_chunk_01.pt	model_outputs/models_organized/lstm/combine/norm_chunk_01.pt	model_outputs/models_organized/lstm/combine/norm_chunk_01.pt/model.rds				FALSE	FALSE	model_outputs/models_organized/lstm/combine/norm_chunk_01.pt/model
lstm_separate_norm_Nomorlization_三義_C0F9Q0_combined_windows.pt	lstm	separate	norm_Nomorlization_三義_C0F9Q0_combined_windows.pt	model_outputs/models_organized/lstm/separate/norm_Nomorlization_三義_C0F9Q0_combined_windows.pt	model_outputs/models_organized/lstm/separate/norm_Nomorlization_三義_C0F9Q0_combined_windows.pt/model.rds				FALSE	FALSE	model_outputs/models_organized/lstm/separate/norm_Nomorlization_三義_C0F9Q0_combined_windows.pt/model
lstm_separate_norm_Nomorlization_三重_C0AI30_combined_windows.pt	lstm	separate	norm_Nomorlization_三重_C0AI30_combined_windows.pt	model_outputs/models_organized/lstm/separate/norm_Nomorlization_三重_C0AI30_combined_windows.pt	model_outputs/models_organized/lstm/separate/norm_Nomorlization_三重_C0AI30_combined_windows.pt/model.rds				FALSE	FALSE	model_outputs/models_organized/lstm/separate/norm_Nomorlization_三重_C0AI30_combined_windows.pt/model
lstm_separate_norm_Nomorlization_中壢_A2C560_combined_windows.pt	lstm	separate	norm_Nomorlization_中壢_A2C560_combined_windows.pt	model_outputs/models_organized/lstm/separate/norm_Nomorlization_中壢_A2C560_combined_windows.pt	model_outputs/models_organized/lstm/separate/norm_Nomorlization_中壢_A2C560_combined_windows.pt/model.rds				FALSE	FALSE	model_outputs/models_organized/lstm/separate/norm_Nomorlization_中壢_A2C560_combined_windows.pt/model
