station,lstm_best_rmse,lstm_model_count,lstm_best_model,lstm_dataset_type,lstm_rank,lgbm_best_rmse,lgbm_model_count,lgbm_best_model,lgbm_dataset_type,lgbm_rank,combined_score,overall_rank
norm_Nomorlization_竹山_U2HA50_combined_windows,0.0610554317984543,1,lstm_separate_norm_Nomorlization_竹山_U2HA50_combined_windows,separate,1,0.0538329644126883,1,lgbm_separate_norm_Nomorlization_竹山_U2HA50_combined_windows,separate,1,17.4772689129915,1
norm_Nomorlization_斗六_C0K400_combined_windows,0.0614369287866485,1,lstm_separate_norm_Nomorlization_斗六_C0K400_combined_windows,separate,2,0.0604057600082945,1,lgbm_separate_norm_Nomorlization_斗六_C0K400_combined_windows,separate,2,16.4157839809603,2
norm_Nomorlization_埔里_C0H890_combined_windows,0.0653359858523571,1,lstm_separate_norm_Nomorlization_埔里_C0H890_combined_windows,separate,3,0.0612761207426026,1,lgbm_separate_norm_Nomorlization_埔里_C0H890_combined_windows,separate,4,15.8125359994973,3
norm_Nomorlization_南投_C0I460_combined_windows,0.0657595085093905,1,lstm_separate_norm_Nomorlization_南投_C0I460_combined_windows,separate,4,0.0635517858979483,1,lgbm_separate_norm_Nomorlization_南投_C0I460_combined_windows,separate,5,15.4710626708068,4
norm_Nomorlization_安南_467420_combined_windows,0.0740030082421259,1,lstm_separate_norm_Nomorlization_安南_467420_combined_windows,separate,8,0.0605882279776209,1,lgbm_separate_norm_Nomorlization_安南_467420_combined_windows,separate,3,15.0089102737934,5
norm_Nomorlization_仁武_C0V680_combined_windows,0.0722606713108728,1,lstm_separate_norm_Nomorlization_仁武_C0V680_combined_windows,separate,5,0.0665013097294164,1,lgbm_separate_norm_Nomorlization_仁武_C0V680_combined_windows,separate,8,14.4380421432297,6
norm_Nomorlization_屏東_C0R570_combined_windows,0.0745208126669899,1,lstm_separate_norm_Nomorlization_屏東_C0R570_combined_windows,separate,9,0.0657858126423832,1,lgbm_separate_norm_Nomorlization_屏東_C0R570_combined_windows,separate,6,14.3099579361164,7
norm_Nomorlization_美濃_72V140_combined_windows,0.0730767559966676,1,lstm_separate_norm_Nomorlization_美濃_72V140_combined_windows,separate,6,0.0686202615795832,1,lgbm_separate_norm_Nomorlization_美濃_72V140_combined_windows,separate,9,14.1285985226651,8
norm_Nomorlization_左營_C0V810_combined_windows,0.0778347512591668,1,lstm_separate_norm_Nomorlization_左營_C0V810_combined_windows,separate,11,0.0662278931905884,1,lgbm_separate_norm_Nomorlization_左營_C0V810_combined_windows,separate,7,13.9735548924579,9
norm_Nomorlization_朴子_C0M650_combined_windows,0.0733580436772194,1,lstm_separate_norm_Nomorlization_朴子_C0M650_combined_windows,separate,7,0.0707403777494603,1,lgbm_separate_norm_Nomorlization_朴子_C0M650_combined_windows,separate,11,13.8839842384334,10
norm_Nomorlization_前金_C0V690_combined_windows,0.0797376058950721,1,lstm_separate_norm_Nomorlization_前金_C0V690_combined_windows,separate,12,0.0710328446385114,1,lgbm_separate_norm_Nomorlization_前金_C0V690_combined_windows,separate,12,13.3095642748526,11
norm_Nomorlization_前鎮_C0V490_combined_windows,0.0829036761364399,1,lstm_separate_norm_Nomorlization_前鎮_C0V490_combined_windows,separate,13,0.070306583417746,1,lgbm_separate_norm_Nomorlization_前鎮_C0V490_combined_windows,separate,10,13.1428051835432,12
norm_Nomorlization_大里_C0F9N0_combined_windows,0.0767273278942839,1,lstm_separate_norm_Nomorlization_大里_C0F9N0_combined_windows,separate,10,0.0780748813819964,1,lgbm_separate_norm_Nomorlization_大里_C0F9N0_combined_windows,separate,15,12.9206913450637,13
norm_Nomorlization_林園_C0R640_combined_windows,0.087564677685721,1,lstm_separate_norm_Nomorlization_林園_C0R640_combined_windows,separate,16,0.077702792712726,1,lgbm_separate_norm_Nomorlization_林園_C0R640_combined_windows,separate,14,12.1448401399909,14
norm_Nomorlization_大寮_C0V450_combined_windows,0.0846222368924018,1,lstm_separate_norm_Nomorlization_大寮_C0V450_combined_windows,separate,14,0.0818514530267177,1,lgbm_separate_norm_Nomorlization_大寮_C0V450_combined_windows,separate,17,12.0172394705575,15
norm_Nomorlization_二林_C0G730_combined_windows,0.0888142339174454,1,lstm_separate_norm_Nomorlization_二林_C0G730_combined_windows,separate,17,0.0813322530473306,1,lgbm_separate_norm_Nomorlization_二林_C0G730_combined_windows,separate,16,11.777350868594,16
norm_Nomorlization_西屯_C0F9T0_combined_windows,0.0858148310440648,1,lstm_separate_norm_Nomorlization_西屯_C0F9T0_combined_windows,separate,15,0.0864745841309288,1,lgbm_separate_norm_Nomorlization_西屯_C0F9T0_combined_windows,separate,18,11.6085444131349,17
norm_chunk_02,0.103118688079952,1,lstm_combine_norm_chunk_02,combine,26,0.0758511911005384,1,lgbm_combine_norm_chunk_02,combine,13,11.4406359225746,18
norm_Nomorlization_小港_C0V450_combined_windows,0.095106011480625,1,lstm_separate_norm_Nomorlization_小港_C0V450_combined_windows,separate,20,0.0875937525320981,1,lgbm_separate_norm_Nomorlization_小港_C0V450_combined_windows,separate,20,10.9654608822309,19
norm_Nomorlization_三義_C0F9Q0_combined_windows,0.0939919799905449,1,lstm_separate_norm_Nomorlization_三義_C0F9Q0_combined_windows,separate,19,0.0913700241964181,1,lgbm_separate_norm_Nomorlization_三義_C0F9Q0_combined_windows,separate,22,10.7918570153223,20
norm_Nomorlization_沙鹿_C0F9X0_combined_windows,0.102130005603609,1,lstm_separate_norm_Nomorlization_沙鹿_C0F9X0_combined_windows,separate,23,0.0867858120481737,1,lgbm_separate_norm_Nomorlization_沙鹿_C0F9X0_combined_windows,separate,19,10.6570312535296,21
norm_Nomorlization_苗栗_C0E750_combined_windows,0.0986028545805054,1,lstm_separate_norm_Nomorlization_苗栗_C0E750_combined_windows,separate,22,0.0905544247336053,1,lgbm_separate_norm_Nomorlization_苗栗_C0E750_combined_windows,separate,21,10.5923884515622,22
norm_Nomorlization_忠明_C0F9U0_combined_windows,0.0985905381224081,1,lstm_separate_norm_Nomorlization_忠明_C0F9U0_combined_windows,separate,21,0.10346101964854,1,lgbm_separate_norm_Nomorlization_忠明_C0F9U0_combined_windows,separate,25,9.9042185741322,23
norm_Nomorlization_馬祖_467990_combined_windows,0.102310186332255,1,lstm_separate_norm_Nomorlization_馬祖_467990_combined_windows,separate,24,0.10039169107432,1,lgbm_separate_norm_Nomorlization_馬祖_467990_combined_windows,separate,23,9.8675907668966,24
norm_chunk_03,0.112483404045884,1,lstm_combine_norm_chunk_03,combine,28,0.100631607622832,1,lgbm_combine_norm_chunk_03,combine,24,9.41371801484039,25
norm_Nomorlization_馬公_467350_combined_windows,0.110510627127024,1,lstm_separate_norm_Nomorlization_馬公_467350_combined_windows,separate,27,0.104716977824518,1,lgbm_separate_norm_Nomorlization_馬公_467350_combined_windows,separate,26,9.29922667288856,26
norm_Nomorlization_竹東_C0D560_combined_windows,0.102510673943719,1,lstm_separate_norm_Nomorlization_竹東_C0D560_combined_windows,separate,25,0.114270437471772,1,lgbm_separate_norm_Nomorlization_竹東_C0D560_combined_windows,separate,29,9.25312574643431,27
norm_Nomorlization_金門_C0W150_combined_windows,0.11677974630123,1,lstm_separate_norm_Nomorlization_金門_C0W150_combined_windows,separate,29,0.105622499339606,1,lgbm_separate_norm_Nomorlization_金門_C0W150_combined_windows,separate,27,9.01540424608033,28
norm_chunk_01,0.120343830337712,1,lstm_combine_norm_chunk_01,combine,30,0.108503225673123,1,lgbm_combine_norm_chunk_01,combine,28,8.76292015421011,29
norm_Nomorlization_花蓮_466990_combined_windows,0.136958631539987,1,lstm_separate_norm_Nomorlization_花蓮_466990_combined_windows,separate,33,0.118084041844232,1,lgbm_separate_norm_Nomorlization_花蓮_466990_combined_windows,separate,30,7.88500981782085,30
norm_Nomorlization_平鎮_A2C560_combined_windows,0.132589327405917,1,lstm_separate_norm_Nomorlization_平鎮_A2C560_combined_windows,separate,31,0.132700393528274,1,lgbm_separate_norm_Nomorlization_平鎮_A2C560_combined_windows,separate,32,7.53892892460813,31
norm_Nomorlization_恆春_B2Q810_combined_windows,0.136904301146532,1,lstm_separate_norm_Nomorlization_恆春_B2Q810_combined_windows,separate,32,0.129894762339499,1,lgbm_separate_norm_Nomorlization_恆春_B2Q810_combined_windows,separate,31,7.50145611353825,32
norm_Nomorlization_冬山_C0U910_combined_windows,0.138740932807784,1,lstm_separate_norm_Nomorlization_冬山_C0U910_combined_windows,separate,34,0.138203906248953,1,lgbm_separate_norm_Nomorlization_冬山_C0U910_combined_windows,separate,33,7.22168185959651,33
norm_Nomorlization_桃園_C0C480_combined_windows,0.141852555898663,1,lstm_separate_norm_Nomorlization_桃園_C0C480_combined_windows,separate,35,0.144611737385284,1,lgbm_separate_norm_Nomorlization_桃園_C0C480_combined_windows,separate,35,6.98232069137109,34
norm_Nomorlization_宜蘭_467080_combined_windows,0.14741090619425,1,lstm_separate_norm_Nomorlization_宜蘭_467080_combined_windows,separate,36,0.139878017334411,1,lgbm_separate_norm_Nomorlization_宜蘭_467080_combined_windows,separate,34,6.96642237889773,35
norm_Nomorlization_大園_C0C590_combined_windows,0.151040960077102,1,lstm_separate_norm_Nomorlization_大園_C0C590_combined_windows,separate,37,0.15090063542429,1,lgbm_separate_norm_Nomorlization_大園_C0C590_combined_windows,separate,36,6.62379897889674,36
