station,lgbm_best_rmse,lgbm_model_count,lgbm_best_model,lgbm_dataset_type,lgbm_rank
norm_Nomorlization_竹山_U2HA50_combined_windows,0.0538329644126883,1,lgbm_separate_norm_Nomorlization_竹山_U2HA50_combined_windows,separate,1
norm_Nomorlization_斗六_C0K400_combined_windows,0.0604057600082945,1,lgbm_separate_norm_Nomorlization_斗六_C0K400_combined_windows,separate,2
norm_Nomorlization_安南_467420_combined_windows,0.0605882279776209,1,lgbm_separate_norm_Nomorlization_安南_467420_combined_windows,separate,3
norm_Nomorlization_埔里_C0H890_combined_windows,0.0612761207426026,1,lgbm_separate_norm_Nomorlization_埔里_C0H890_combined_windows,separate,4
norm_Nomorlization_南投_C0I460_combined_windows,0.0635517858979483,1,lgbm_separate_norm_Nomorlization_南投_C0I460_combined_windows,separate,5
norm_Nomorlization_屏東_C0R570_combined_windows,0.0657858126423832,1,lgbm_separate_norm_Nomorlization_屏東_C0R570_combined_windows,separate,6
norm_Nomorlization_左營_C0V810_combined_windows,0.0662278931905884,1,lgbm_separate_norm_Nomorlization_左營_C0V810_combined_windows,separate,7
norm_Nomorlization_仁武_C0V680_combined_windows,0.0665013097294164,1,lgbm_separate_norm_Nomorlization_仁武_C0V680_combined_windows,separate,8
norm_Nomorlization_美濃_72V140_combined_windows,0.0686202615795832,1,lgbm_separate_norm_Nomorlization_美濃_72V140_combined_windows,separate,9
norm_Nomorlization_前鎮_C0V490_combined_windows,0.070306583417746,1,lgbm_separate_norm_Nomorlization_前鎮_C0V490_combined_windows,separate,10
norm_Nomorlization_朴子_C0M650_combined_windows,0.0707403777494603,1,lgbm_separate_norm_Nomorlization_朴子_C0M650_combined_windows,separate,11
norm_Nomorlization_前金_C0V690_combined_windows,0.0710328446385114,1,lgbm_separate_norm_Nomorlization_前金_C0V690_combined_windows,separate,12
norm_chunk_02,0.0758511911005384,1,lgbm_combine_norm_chunk_02,combine,13
norm_Nomorlization_林園_C0R640_combined_windows,0.077702792712726,1,lgbm_separate_norm_Nomorlization_林園_C0R640_combined_windows,separate,14
norm_Nomorlization_大里_C0F9N0_combined_windows,0.0780748813819964,1,lgbm_separate_norm_Nomorlization_大里_C0F9N0_combined_windows,separate,15
norm_Nomorlization_二林_C0G730_combined_windows,0.0813322530473306,1,lgbm_separate_norm_Nomorlization_二林_C0G730_combined_windows,separate,16
norm_Nomorlization_大寮_C0V450_combined_windows,0.0818514530267177,1,lgbm_separate_norm_Nomorlization_大寮_C0V450_combined_windows,separate,17
norm_Nomorlization_西屯_C0F9T0_combined_windows,0.0864745841309288,1,lgbm_separate_norm_Nomorlization_西屯_C0F9T0_combined_windows,separate,18
norm_Nomorlization_沙鹿_C0F9X0_combined_windows,0.0867858120481737,1,lgbm_separate_norm_Nomorlization_沙鹿_C0F9X0_combined_windows,separate,19
norm_Nomorlization_小港_C0V450_combined_windows,0.0875937525320981,1,lgbm_separate_norm_Nomorlization_小港_C0V450_combined_windows,separate,20
norm_Nomorlization_苗栗_C0E750_combined_windows,0.0905544247336053,1,lgbm_separate_norm_Nomorlization_苗栗_C0E750_combined_windows,separate,21
norm_Nomorlization_三義_C0F9Q0_combined_windows,0.0913700241964181,1,lgbm_separate_norm_Nomorlization_三義_C0F9Q0_combined_windows,separate,22
norm_Nomorlization_馬祖_467990_combined_windows,0.10039169107432,1,lgbm_separate_norm_Nomorlization_馬祖_467990_combined_windows,separate,23
norm_chunk_03,0.100631607622832,1,lgbm_combine_norm_chunk_03,combine,24
norm_Nomorlization_忠明_C0F9U0_combined_windows,0.10346101964854,1,lgbm_separate_norm_Nomorlization_忠明_C0F9U0_combined_windows,separate,25
norm_Nomorlization_馬公_467350_combined_windows,0.104716977824518,1,lgbm_separate_norm_Nomorlization_馬公_467350_combined_windows,separate,26
norm_Nomorlization_金門_C0W150_combined_windows,0.105622499339606,1,lgbm_separate_norm_Nomorlization_金門_C0W150_combined_windows,separate,27
norm_chunk_01,0.108503225673123,1,lgbm_combine_norm_chunk_01,combine,28
norm_Nomorlization_竹東_C0D560_combined_windows,0.114270437471772,1,lgbm_separate_norm_Nomorlization_竹東_C0D560_combined_windows,separate,29
norm_Nomorlization_花蓮_466990_combined_windows,0.118084041844232,1,lgbm_separate_norm_Nomorlization_花蓮_466990_combined_windows,separate,30
norm_Nomorlization_恆春_B2Q810_combined_windows,0.129894762339499,1,lgbm_separate_norm_Nomorlization_恆春_B2Q810_combined_windows,separate,31
norm_Nomorlization_平鎮_A2C560_combined_windows,0.132700393528274,1,lgbm_separate_norm_Nomorlization_平鎮_A2C560_combined_windows,separate,32
norm_Nomorlization_冬山_C0U910_combined_windows,0.138203906248953,1,lgbm_separate_norm_Nomorlization_冬山_C0U910_combined_windows,separate,33
norm_Nomorlization_宜蘭_467080_combined_windows,0.139878017334411,1,lgbm_separate_norm_Nomorlization_宜蘭_467080_combined_windows,separate,34
norm_Nomorlization_桃園_C0C480_combined_windows,0.144611737385284,1,lgbm_separate_norm_Nomorlization_桃園_C0C480_combined_windows,separate,35
norm_Nomorlization_大園_C0C590_combined_windows,0.15090063542429,1,lgbm_separate_norm_Nomorlization_大園_C0C590_combined_windows,separate,36
norm_Nomorlization_土城_C0AD40_combined_windows,0.1542075033674,1,lgbm_separate_norm_Nomorlization_土城_C0AD40_combined_windows,separate,37
norm_Nomorlization_松山_C0AC70_combined_windows,0.157745068662443,1,lgbm_separate_norm_Nomorlization_松山_C0AC70_combined_windows,separate,38
