station,lstm_best_rmse,lstm_model_count,lstm_best_model,lstm_dataset_type,lstm_rank
norm_Nomorlization_竹山_U2HA50_combined_windows,0.0610554317984543,1,lstm_separate_norm_Nomorlization_竹山_U2HA50_combined_windows,separate,1
norm_Nomorlization_斗六_C0K400_combined_windows,0.0614369287866485,1,lstm_separate_norm_Nomorlization_斗六_C0K400_combined_windows,separate,2
norm_Nomorlization_埔里_C0H890_combined_windows,0.0653359858523571,1,lstm_separate_norm_Nomorlization_埔里_C0H890_combined_windows,separate,3
norm_Nomorlization_南投_C0I460_combined_windows,0.0657595085093905,1,lstm_separate_norm_Nomorlization_南投_C0I460_combined_windows,separate,4
norm_Nomorlization_仁武_C0V680_combined_windows,0.0722606713108728,1,lstm_separate_norm_Nomorlization_仁武_C0V680_combined_windows,separate,5
norm_Nomorlization_美濃_72V140_combined_windows,0.0730767559966676,1,lstm_separate_norm_Nomorlization_美濃_72V140_combined_windows,separate,6
norm_Nomorlization_朴子_C0M650_combined_windows,0.0733580436772194,1,lstm_separate_norm_Nomorlization_朴子_C0M650_combined_windows,separate,7
norm_Nomorlization_安南_467420_combined_windows,0.0740030082421259,1,lstm_separate_norm_Nomorlization_安南_467420_combined_windows,separate,8
norm_Nomorlization_屏東_C0R570_combined_windows,0.0745208126669899,1,lstm_separate_norm_Nomorlization_屏東_C0R570_combined_windows,separate,9
norm_Nomorlization_大里_C0F9N0_combined_windows,0.0767273278942839,1,lstm_separate_norm_Nomorlization_大里_C0F9N0_combined_windows,separate,10
norm_Nomorlization_左營_C0V810_combined_windows,0.0778347512591668,1,lstm_separate_norm_Nomorlization_左營_C0V810_combined_windows,separate,11
norm_Nomorlization_前金_C0V690_combined_windows,0.0797376058950721,1,lstm_separate_norm_Nomorlization_前金_C0V690_combined_windows,separate,12
norm_Nomorlization_前鎮_C0V490_combined_windows,0.0829036761364399,1,lstm_separate_norm_Nomorlization_前鎮_C0V490_combined_windows,separate,13
norm_Nomorlization_大寮_C0V450_combined_windows,0.0846222368924018,1,lstm_separate_norm_Nomorlization_大寮_C0V450_combined_windows,separate,14
norm_Nomorlization_西屯_C0F9T0_combined_windows,0.0858148310440648,1,lstm_separate_norm_Nomorlization_西屯_C0F9T0_combined_windows,separate,15
norm_Nomorlization_林園_C0R640_combined_windows,0.087564677685721,1,lstm_separate_norm_Nomorlization_林園_C0R640_combined_windows,separate,16
norm_Nomorlization_二林_C0G730_combined_windows,0.0888142339174454,1,lstm_separate_norm_Nomorlization_二林_C0G730_combined_windows,separate,17
norm_Nomorlization_崙背_C0K250_combined_windows,0.0917020563220379,1,lstm_separate_norm_Nomorlization_崙背_C0K250_combined_windows,separate,18
