station,best_rmse,best_model_type,best_model_id,best_dataset_type,lgbm_count,lstm_count,total_models,avg_rmse,rmse_std
chunk_01,2.84328144030001,lgbm,lgbm_combine_chunk_01,combine,1,1,2,6.76373421591558,5.54435748591879
chunk_02,2.45070465534215,lgbm,lgbm_combine_chunk_02,combine,1,1,2,9.40596124360878,9.83621819691149
chunk_03,2.89578088794105,lgbm,lgbm_combine_chunk_03,combine,1,1,2,9.66917889507288,9.57903132503673
norm_chunk_01,0.108503225673123,lgbm,lgbm_combine_norm_chunk_01,combine,1,1,2,0.114423528005418,0.00837257185167969
norm_chunk_02,0.0758511911005384,lgbm,lgbm_combine_norm_chunk_02,combine,1,1,2,0.0894849395902453,0.0192810320201271
norm_chunk_03,0.100631607622832,lgbm,lgbm_combine_norm_chunk_03,combine,1,1,2,0.106557505834358,0.00838048561998263
norm_Nomorlization_二林_C0G730_combined_windows,0.0813322530473306,lgbm,lgbm_separate_norm_Nomorlization_二林_C0G730_combined_windows,separate,1,1,2,0.085073243482388,0.00529055940996616
norm_Nomorlization_三重_C0AI30_combined_windows,0.204760210755163,lgbm,lgbm_separate_norm_Nomorlization_三重_C0AI30_combined_windows,separate,1,1,2,0.207564086629108,0.00396527928814367
norm_Nomorlization_三義_C0F9Q0_combined_windows,0.0913700241964181,lgbm,lgbm_separate_norm_Nomorlization_三義_C0F9Q0_combined_windows,separate,1,1,2,0.0926810020934815,0.00185400272199841
norm_Nomorlization_土城_C0AD40_combined_windows,0.1542075033674,lgbm,lgbm_separate_norm_Nomorlization_土城_C0AD40_combined_windows,separate,1,1,2,0.155485674283181,0.00180760664412906
norm_Nomorlization_士林_C0AI40_combined_windows,0.193887621478179,lstm,lstm_separate_norm_Nomorlization_士林_C0AI40_combined_windows,separate,1,1,2,0.195433761289237,0.00218657189012343
norm_Nomorlization_大同_C0AI30_combined_windows,0.168347634291288,lgbm,lgbm_separate_norm_Nomorlization_大同_C0AI30_combined_windows,separate,1,1,2,0.169533024965655,0.00167639556840013
norm_Nomorlization_大里_C0F9N0_combined_windows,0.0767273278942839,lstm,lstm_separate_norm_Nomorlization_大里_C0F9N0_combined_windows,separate,1,1,2,0.0774011046381402,0.000952864209173109
norm_Nomorlization_大園_C0C590_combined_windows,0.15090063542429,lgbm,lgbm_separate_norm_Nomorlization_大園_C0C590_combined_windows,separate,1,1,2,0.150970797750696,9.92245135712067e-05
norm_Nomorlization_大寮_C0V450_combined_windows,0.0818514530267177,lgbm,lgbm_separate_norm_Nomorlization_大寮_C0V450_combined_windows,separate,1,1,2,0.0832368449595597,0.00195924006062747
norm_Nomorlization_小港_C0V450_combined_windows,0.0875937525320981,lgbm,lgbm_separate_norm_Nomorlization_小港_C0V450_combined_windows,separate,1,1,2,0.0913498820063615,0.0053119692445327
norm_Nomorlization_中山_C0AH70_combined_windows,0.179710705278238,lgbm,lgbm_separate_norm_Nomorlization_中山_C0AH70_combined_windows,separate,1,1,2,0.181518869824533,0.00255713082437309
norm_Nomorlization_中壢_A2C560_combined_windows,0.170955099635463,lgbm,lgbm_separate_norm_Nomorlization_中壢_A2C560_combined_windows,separate,1,1,2,0.179771757478703,0.0124686370967142
norm_Nomorlization_仁武_C0V680_combined_windows,0.0665013097294164,lgbm,lgbm_separate_norm_Nomorlization_仁武_C0V680_combined_windows,separate,1,1,2,0.0693809905201446,0.00407248362955305
norm_Nomorlization_斗六_C0K400_combined_windows,0.0604057600082945,lgbm,lgbm_separate_norm_Nomorlization_斗六_C0K400_combined_windows,separate,1,1,2,0.0609213443974715,0.000729146435721896
norm_Nomorlization_冬山_C0U910_combined_windows,0.138203906248953,lgbm,lgbm_separate_norm_Nomorlization_冬山_C0U910_combined_windows,separate,1,1,2,0.138472419528369,0.000379735121426916
norm_Nomorlization_古亭_C0AH10_combined_windows,0.167391454832282,lstm,lstm_separate_norm_Nomorlization_古亭_C0AH10_combined_windows,separate,1,1,2,0.167943220818001,0.000780314940259678
norm_Nomorlization_左營_C0V810_combined_windows,0.0662278931905884,lgbm,lgbm_separate_norm_Nomorlization_左營_C0V810_combined_windows,separate,1,1,2,0.0720313222248776,0.00820728804856153
norm_Nomorlization_平鎮_A2C560_combined_windows,0.132589327405917,lstm,lstm_separate_norm_Nomorlization_平鎮_A2C560_combined_windows,separate,1,1,2,0.132644860467096,7.85356082788911e-05
norm_Nomorlization_永和_C0AH10_combined_windows,0.179043294657565,lgbm,lgbm_separate_norm_Nomorlization_永和_C0AH10_combined_windows,separate,1,1,2,0.183475240287082,0.00626771761696383
norm_Nomorlization_安南_467420_combined_windows,0.0605882279776209,lgbm,lgbm_separate_norm_Nomorlization_安南_467420_combined_windows,separate,1,1,2,0.0672956181098734,0.00948568209315895
norm_Nomorlization_朴子_C0M650_combined_windows,0.0707403777494603,lgbm,lgbm_separate_norm_Nomorlization_朴子_C0M650_combined_windows,separate,1,1,2,0.0720492107133399,0.00185096932839943
norm_Nomorlization_汐止_C0AH00_combined_windows,0.162888088365832,lgbm,lgbm_separate_norm_Nomorlization_汐止_C0AH00_combined_windows,separate,1,1,2,0.167587236467981,0.00664559897765871
norm_Nomorlization_竹山_U2HA50_combined_windows,0.0538329644126883,lgbm,lgbm_separate_norm_Nomorlization_竹山_U2HA50_combined_windows,separate,1,1,2,0.0574441981055713,0.00510705566537378
norm_Nomorlization_竹東_C0D560_combined_windows,0.102510673943719,lstm,lstm_separate_norm_Nomorlization_竹東_C0D560_combined_windows,separate,1,1,2,0.108390555707746,0.0083154085358368
norm_Nomorlization_西屯_C0F9T0_combined_windows,0.0858148310440648,lstm,lstm_separate_norm_Nomorlization_西屯_C0F9T0_combined_windows,separate,1,1,2,0.0861447075874968,0.000466515881630283
norm_Nomorlization_沙鹿_C0F9X0_combined_windows,0.0867858120481737,lgbm,lgbm_separate_norm_Nomorlization_沙鹿_C0F9X0_combined_windows,separate,1,1,2,0.0944579088258915,0.0108499833148874
norm_Nomorlization_宜蘭_467080_combined_windows,0.139878017334411,lgbm,lgbm_separate_norm_Nomorlization_宜蘭_467080_combined_windows,separate,1,1,2,0.143644461764331,0.0053265567947173
norm_Nomorlization_忠明_C0F9U0_combined_windows,0.0985905381224081,lstm,lstm_separate_norm_Nomorlization_忠明_C0F9U0_combined_windows,separate,1,1,2,0.101025778885474,0.0034439505147716
norm_Nomorlization_松山_C0AC70_combined_windows,0.157745068662443,lgbm,lgbm_separate_norm_Nomorlization_松山_C0AC70_combined_windows,separate,1,1,2,0.161513261246329,0.00532902905776571
norm_Nomorlization_板橋_C0ACA0_combined_windows,0.183930827426164,lstm,lstm_separate_norm_Nomorlization_板橋_C0ACA0_combined_windows,separate,1,1,2,0.184606669280149,0.000955784715924067
norm_Nomorlization_林口_C0AH50_combined_windows,0.189898544298293,lgbm,lgbm_separate_norm_Nomorlization_林口_C0AH50_combined_windows,separate,1,1,2,0.193147053414488,0.00459408564961572
norm_Nomorlization_林園_C0R640_combined_windows,0.077702792712726,lgbm,lgbm_separate_norm_Nomorlization_林園_C0R640_combined_windows,separate,1,1,2,0.0826337351992235,0.00697340573968644
norm_Nomorlization_花蓮_466990_combined_windows,0.118084041844232,lgbm,lgbm_separate_norm_Nomorlization_花蓮_466990_combined_windows,separate,1,1,2,0.127521336692109,0.0133463503659823
norm_Nomorlization_金門_C0W150_combined_windows,0.105622499339606,lgbm,lgbm_separate_norm_Nomorlization_金門_C0W150_combined_windows,separate,1,1,2,0.111201122820418,0.00788936498593695
norm_Nomorlization_前金_C0V690_combined_windows,0.0710328446385114,lgbm,lgbm_separate_norm_Nomorlization_前金_C0V690_combined_windows,separate,1,1,2,0.0753852252667918,0.00615519571312401
norm_Nomorlization_前鎮_C0V490_combined_windows,0.070306583417746,lgbm,lgbm_separate_norm_Nomorlization_前鎮_C0V490_combined_windows,separate,1,1,2,0.076605129777093,0.00890748968462418
norm_Nomorlization_南投_C0I460_combined_windows,0.0635517858979483,lgbm,lgbm_separate_norm_Nomorlization_南投_C0I460_combined_windows,separate,1,1,2,0.0646556472036694,0.00156109562952959
norm_Nomorlization_屏東_C0R570_combined_windows,0.0657858126423832,lgbm,lgbm_separate_norm_Nomorlization_屏東_C0R570_combined_windows,separate,1,1,2,0.0701533126546866,0.00617657775106407
norm_Nomorlization_恆春_B2Q810_combined_windows,0.129894762339499,lgbm,lgbm_separate_norm_Nomorlization_恆春_B2Q810_combined_windows,separate,1,1,2,0.133399531743015,0.00495649242344293
norm_Nomorlization_美濃_72V140_combined_windows,0.0686202615795832,lgbm,lgbm_separate_norm_Nomorlization_美濃_72V140_combined_windows,separate,1,1,2,0.0708485087881254,0.00315121742264039
norm_Nomorlization_苗栗_C0E750_combined_windows,0.0905544247336053,lgbm,lgbm_separate_norm_Nomorlization_苗栗_C0E750_combined_windows,separate,1,1,2,0.0945786396570553,0.00569109932264725
