timestep,importance,hour_before
1,0.579120409032408,72
2,0.167011785254896,71
3,0.204119692444808,70
4,0.106341669393328,69
5,0.389556751724758,68
6,0.0501294883545607,67
7,0.297002683644307,66
8,0.182150250575617,65
9,0.0472014028614912,64
10,0.022062326504371,63
11,0.339788015711824,62
12,0.515585561940372,61
13,0.0660398986637973,60
14,0.0790251275745703,59
15,0.0678759538625472,58
16,0.30452091481347,57
17,0.229288569275421,56
18,0.337391724960572,55
19,0.0026361199815948,54
20,0.0465478455861434,53
21,0.0538452071417384,52
22,0.103193922197443,51
23,0.155841069066907,50
24,0.149926538801561,49
25,0.14428054517062,48
26,0.0661444692373409,47
27,0.0612980252242788,46
28,0.101471068381098,45
29,0.146986862559627,44
30,0.165051842498685,43
31,0.114711967659744,42
32,0.193788266857191,41
33,0.257314593316907,40
34,0.0149465874818043,39
35,0.0281660332121854,38
36,0.17354327223717,37
37,0.0340260303730022,36
38,0.0158654008436776,35
39,0.252964268641776,34
40,0.253967202869427,33
41,0.174481038716921,32
42,0.088711337844722,31
43,0.217590986464666,30
44,0.111131507216464,29
45,0.0785339509451232,28
46,0.0797346107081521,27
47,0.249984889884266,26
48,0.0710186658735534,25
49,0.201287112392255,24
50,0.0805445546925363,23
51,0.131682768200194,22
52,0.0942863947262962,21
53,0.152767043537079,20
54,0.0246027239166179,19
55,0.118586306630867,18
56,0.0409500374654428,17
57,0.0389900363807371,16
58,0.1829700180947,15
59,0.247243901181541,14
60,0.0168789697329293,13
61,0.214889976686194,12
62,0.055641622425775,11
63,0.0426908988446617,10
64,0.12222817886329,9
65,0.223662119972956,8
66,0.0613647232925629,7
67,0.220374374665373,6
68,0.00757909989281852,5
69,0.0253754632637587,4
70,0.0377575887876291,3
71,0.050349105847322,2
72,0.0212256627900845,1
