"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=0.623483948234931"
"feature_1_lag70",0,0,"feature_1_lag70=0.623483948234931"
"feature_1_lag69",9.09867227647826e-05,5.58539813498398e-08,"feature_1_lag69=0.603179552984746"
"feature_1_lag68",4.17376631732635e-05,4.27867638251004e-09,"feature_1_lag68=0.582578732752112"
"feature_1_lag67",0.000155896335243008,9.46610035612119e-08,"feature_1_lag67=0.582578732752112"
"feature_1_lag66",0.000283789299663054,2.06535821939362e-07,"feature_1_lag66=0.603179552984746"
"feature_1_lag65",6.93943225537369e-05,2.79401215771775e-08,"feature_1_lag65=0.582578732752112"
"feature_1_lag64",7.30267971414567e-05,4.18462834131427e-08,"feature_1_lag64=0.603179552984746"
"feature_1_lag63",0,0,"feature_1_lag63=0.561672704099611"
"feature_1_lag62",0,0,"feature_1_lag62=0.582578732752112"
"feature_1_lag61",0,0,"feature_1_lag61=0.623483948234931"
"feature_1_lag60",0,0,"feature_1_lag60=0.776187505533772"
"feature_1_lag59",0,0,"feature_1_lag59=0.897463543076635"
"feature_1_lag58",0,0,"feature_1_lag58=1.03948475470871"
"feature_1_lag57",5.59908950272525e-05,2.97165953842932e-08,"feature_1_lag57=1.2222742873427"
"feature_1_lag56",6.65782961107225e-05,6.17431566861173e-08,"feature_1_lag56=1.20902413249108"
"feature_1_lag55",5.23729020222991e-05,2.59855661011958e-08,"feature_1_lag55=1.23540118315388"
"feature_1_lag54",5.23729020222963e-05,2.59855661011931e-08,"feature_1_lag54=1.19564838188272"
"feature_1_lag53",0,0,"feature_1_lag53=1.14084028424872"
"feature_1_lag52",0,0,"feature_1_lag52=1.18214463171659"
"feature_1_lag51",0,0,"feature_1_lag51=1.1126167209631"
"feature_1_lag50",0,0,"feature_1_lag50=1.0691938756889"
"feature_1_lag49",0,0,"feature_1_lag49=1.03948475470871"
"feature_1_lag48",0,0,"feature_1_lag48=0.962354567601533"
"feature_1_lag47",0,0,"feature_1_lag47=0.978121559830609"
"feature_1_lag46",0,0,"feature_1_lag46=0.913968188811141"
"feature_1_lag45",0,0,"feature_1_lag45=0.846758766518715"
"feature_1_lag44",0,0,"feature_1_lag44=0.846758766518715"
"feature_1_lag43",0,0,"feature_1_lag43=0.846758766518715"
"feature_1_lag42",0,0,"feature_1_lag42=0.757979109367423"
"feature_1_lag41",0,0,"feature_1_lag41=0.643500328151173"
"feature_1_lag40",0,0,"feature_1_lag40=0.518907882210504"
"feature_1_lag39",0,0,"feature_1_lag39=0.382240078425954"
"feature_1_lag38",0,0,"feature_1_lag38=0.382240078425954"
"feature_1_lag37",0,0,"feature_1_lag37=0.405957126182818"
"feature_1_lag36",0,0,"feature_1_lag36=0.47480644537538"
"feature_1_lag35",0,0,"feature_1_lag35=0.497029442041112"
"feature_1_lag34",0,0,"feature_1_lag34=0.582578732752112"
"feature_1_lag33",-8.96006934253735e-05,1.60565685246155e-07,"feature_1_lag33=0.582578732752112"
"feature_1_lag32",0,0,"feature_1_lag32=0.603179552984746"
