"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=-0.262331357445346"
"feature_1_lag70",0,0,"feature_1_lag70=-0.413242370240057"
"feature_1_lag69",0,0,"feature_1_lag69=-0.361213224726422"
"feature_1_lag68",0,0,"feature_1_lag68=-0.310948122850556"
"feature_1_lag67",0,0,"feature_1_lag67=-0.215258244967334"
"feature_1_lag66",0,0,"feature_1_lag66=-0.12537142146908"
"feature_1_lag65",0,0,"feature_1_lag65=-0.215258244967334"
"feature_1_lag64",0,0,"feature_1_lag64=-0.12537142146908"
"feature_1_lag63",0,0,"feature_1_lag63=-0.12537142146908"
"feature_1_lag62",0,0,"feature_1_lag62=-0.0823922237024597"
"feature_1_lag61",0,0,"feature_1_lag61=0.078053731937845"
"feature_1_lag60",0,0,"feature_1_lag60=0.115591901570264"
"feature_1_lag59",0,0,"feature_1_lag59=0.354700717172529"
"feature_1_lag58",0,0,"feature_1_lag58=0.716766300935156"
"feature_1_lag57",0,0,"feature_1_lag57=1.00754161596813"
"feature_1_lag56",0,0,"feature_1_lag56=1.06725486043768"
"feature_1_lag55",0,0,"feature_1_lag55=0.945322200083254"
"feature_1_lag54",0,0,"feature_1_lag54=0.532836105555918"
"feature_1_lag53",0,0,"feature_1_lag53=0.416487928272932"
"feature_1_lag52",0,0,"feature_1_lag52=0.385916154397559"
"feature_1_lag51",0,0,"feature_1_lag51=0.416487928272932"
"feature_1_lag50",0,0,"feature_1_lag50=0.587756402787031"
"feature_1_lag49",0,0,"feature_1_lag49=0.640714836016858"
"feature_1_lag48",0,0,"feature_1_lag48=0.691846747916035"
"feature_1_lag47",0,0,"feature_1_lag47=0.640714836016858"
"feature_1_lag46",0,0,"feature_1_lag46=0.614472053545656"
"feature_1_lag45",0,0,"feature_1_lag45=0.614472053545656"
"feature_1_lag44",0,0,"feature_1_lag44=0.560550529341631"
"feature_1_lag43",0,0,"feature_1_lag43=0.560550529341631"
"feature_1_lag42",0,0,"feature_1_lag42=0.504593756358666"
"feature_1_lag41",0,0,"feature_1_lag41=0.475802977895812"
"feature_1_lag40",0,0,"feature_1_lag40=0.504593756358666"
"feature_1_lag39",0,0,"feature_1_lag39=0.504593756358666"
"feature_1_lag38",0,0,"feature_1_lag38=0.532836105555918"
"feature_1_lag37",0,0,"feature_1_lag37=0.532836105555918"
"feature_1_lag36",0,0,"feature_1_lag36=0.587756402787031"
"feature_1_lag35",0,0,"feature_1_lag35=1.00754161596813"
"feature_1_lag34",0,0,"feature_1_lag34=1.2505346155772"
"feature_1_lag33",0,0,"feature_1_lag33=1.30137428769961"
"feature_1_lag32",0,0,"feature_1_lag32=1.30137428769961"
"feature_1_lag31",0,0,"feature_1_lag31=1.19788961190201"
"feature_1_lag30",0,0,"feature_1_lag30=1.00754161596813"
"feature_1_lag29",0,0,"feature_1_lag29=0.640714836016858"
"feature_1_lag28",0,0,"feature_1_lag28=0.475802977895812"
"feature_1_lag27",-0.000273826327041993,1.49961714762617e-06,"feature_1_lag27=0.475802977895812"
"feature_1_lag26",0,0,"feature_1_lag26=0.504593756358666"
"feature_1_lag25",0,0,"feature_1_lag25=0.532836105555918"
"feature_1_lag24",0,0,"feature_1_lag24=0.504593756358666"
"feature_1_lag23",0,0,"feature_1_lag23=0.504593756358666"
"feature_1_lag22",0,0,"feature_1_lag22=0.504593756358666"
"feature_1_lag21",0,0,"feature_1_lag21=0.446442048107861"
"feature_1_lag20",0,0,"feature_1_lag20=0.385916154397559"
"feature_1_lag19",0,0,"feature_1_lag19=0.446442048107861"
"feature_1_lag18",0,0,"feature_1_lag18=0.504593756358666"
"feature_1_lag17",0,0,"feature_1_lag17=0.504593756358666"
"feature_1_lag16",-0.000256600511881461,3.92752626618621e-07,"feature_1_lag16=0.532836105555918"
"feature_1_lag15",0,0,"feature_1_lag15=0.532836105555918"
"feature_1_lag14",0,0,"feature_1_lag14=0.532836105555918"
"feature_1_lag13",7.99615808082091e-05,3.81387806634778e-08,"feature_1_lag13=0.504593756358666"
"feature_1_lag12",-8.81688850124518e-06,1.55475045686779e-09,"feature_1_lag12=0.560550529341631"
"feature_1_lag11",0,0,"feature_1_lag11=0.716766300935156"
"feature_1_lag10",0,0,"feature_1_lag10=0.945322200083254"
"feature_1_lag9",0,0,"feature_1_lag9=1.00754161596813"
"feature_1_lag8",0,0,"feature_1_lag8=0.858080655614325"
"feature_1_lag7",0,0,"feature_1_lag7=0.640714836016858"
"feature_1_lag6",0.000154593167334816,4.77980947732206e-07,"feature_1_lag6=0.587756402787031"
"feature_1_lag5",0,0,"feature_1_lag5=0.640714836016858"
"feature_1_lag4",3.65357806454747e-05,2.66972653474849e-08,"feature_1_lag4=0.614472053545656"
"feature_1_lag3",6.17098346680042e-05,3.60767718450229e-08,"feature_1_lag3=0.614472053545656"
"feature_1_lag2",-0.000196079671315913,1.40915859354049e-06,"feature_1_lag2=0.587756402787031"
"feature_1_lag1",0,0,"feature_1_lag1=0.532836105555918"
"feature_1_lag0",0,0,"feature_1_lag0=0.587756402787031"
"feature_2_lag71",5.82395481696418e-05,6.78368994200806e-08,"feature_2_lag71=-0.126308987802156"
"feature_2_lag70",0,0,"feature_2_lag70=0"
"feature_2_lag69",0,0,"feature_2_lag69=0.469622252341025"
"feature_2_lag68",0,0,"feature_2_lag68=0.579087891872667"
"feature_2_lag67",0,0,"feature_2_lag67=0.357157183948167"
"feature_2_lag66",0,0,"feature_2_lag66=0.357157183948167"
"feature_2_lag65",0,0,"feature_2_lag65=0.579087891872667"
"feature_2_lag64",0,0,"feature_2_lag64=0.789632411597545"
"feature_2_lag63",0,0,"feature_2_lag63=0.989902287124282"
"feature_2_lag62",0,0,"feature_2_lag62=0.989902287124282"
"feature_2_lag61",0,0,"feature_2_lag61=0.890988628246676"
"feature_2_lag60",0,0,"feature_2_lag60=0.890988628246676"
"feature_2_lag59",0,0,"feature_2_lag59=0.579087891872667"
"feature_2_lag58",0,0,"feature_2_lag58=0.579087891872667"
"feature_2_lag57",0,0,"feature_2_lag57=0.789632411597545"
"feature_2_lag56",0,0,"feature_2_lag56=0.989902287124282"
"feature_2_lag55",0,0,"feature_2_lag55=0.469622252341025"
"feature_2_lag54",0,0,"feature_2_lag54=0.357157183948167"
"feature_2_lag53",0,0,"feature_2_lag53=0.357157183948167"
"feature_2_lag52",0,0,"feature_2_lag52=0.685709944027734"
"feature_2_lag51",0,0,"feature_2_lag51=0.989902287124282"
"feature_2_lag50",0,0,"feature_2_lag50=1.08648834842666"
"feature_2_lag49",0,0,"feature_2_lag49=0.890988628246676"
"feature_2_lag48",0,0,"feature_2_lag48=0.122538001580176"
"feature_2_lag47",0,0,"feature_2_lag47=0.122538001580176"
"feature_2_lag46",0,0,"feature_2_lag46=-0.126308987802156"
"feature_2_lag45",0,0,"feature_2_lag45=-0.126308987802156"
"feature_2_lag44",6.57056859982463e-05,2.57519410289482e-08,"feature_2_lag44=-0.256628448042474"
"feature_2_lag43",0,0,"feature_2_lag43=-0.391221431015431"
"feature_2_lag42",0,0,"feature_2_lag42=0"
"feature_2_lag41",0,0,"feature_2_lag41=0.357157183948167"
"feature_2_lag40",0,0,"feature_2_lag40=0.357157183948167"
"feature_2_lag39",0,0,"feature_2_lag39=0.579087891872667"
"feature_2_lag38",-0.000155628967336091,1.27484973359829e-07,"feature_2_lag38=0.579087891872667"
"feature_2_lag37",-4.542628265361e-05,4.12709431145134e-08,"feature_2_lag37=0.469622252341025"
"feature_2_lag36",0,0,"feature_2_lag36=0.789632411597545"
"feature_2_lag35",0,0,"feature_2_lag35=0.789632411597545"
"feature_2_lag34",-0.000395374258878739,9.32439886991756e-07,"feature_2_lag34=0.241523672160684"
"feature_2_lag33",0,0,"feature_2_lag33=0.241523672160684"
"feature_2_lag32",0,0,"feature_2_lag32=0.241523672160684"
"feature_2_lag31",0,0,"feature_2_lag31=0.122538001580176"
"feature_2_lag30",0,0,"feature_2_lag30=0.122538001580176"
"feature_2_lag29",0,0,"feature_2_lag29=0.241523672160684"
"feature_2_lag28",0,0,"feature_2_lag28=0.122538001580176"
"feature_2_lag27",0,0,"feature_2_lag27=0.241523672160684"
"feature_2_lag26",0,0,"feature_2_lag26=0.357157183948167"
"feature_2_lag25",0,0,"feature_2_lag25=0"
"feature_2_lag24",0,0,"feature_2_lag24=0.357157183948167"
"feature_2_lag23",0,0,"feature_2_lag23=0.241523672160684"
"feature_2_lag22",0,0,"feature_2_lag22=0.469622252341025"
"feature_2_lag21",0,0,"feature_2_lag21=0.469622252341025"
"feature_2_lag20",0,0,"feature_2_lag20=0.469622252341025"
"feature_2_lag19",-2.15869688071302e-05,9.31994444560023e-09,"feature_2_lag19=0.469622252341025"
"feature_2_lag18",0.000166535582629351,1.65431475364511e-07,"feature_2_lag18=0.685709944027734"
"feature_2_lag17",0,0,"feature_2_lag17=0.685709944027734"
"feature_2_lag16",0,0,"feature_2_lag16=0.685709944027734"
"feature_2_lag15",0,0,"feature_2_lag15=0.789632411597545"
"feature_2_lag14",0,0,"feature_2_lag14=1.18085384261298"
"feature_2_lag13",0,0,"feature_2_lag13=1.36331580207862"
"feature_2_lag12",-7.92339401042425e-05,2.09164598732704e-07,"feature_2_lag12=1.27309858334787"
"feature_2_lag11",0,0,"feature_2_lag11=1.18085384261298"
"feature_2_lag10",0,0,"feature_2_lag10=1.27309858334787"
"feature_2_lag9",-0.000136018737484078,3.70021938935252e-07,"feature_2_lag9=1.18085384261298"
"feature_2_lag8",-0.000231940336348851,5.26573349352761e-07,"feature_2_lag8=1.45159271436155"
"feature_2_lag7",-0.000877790633468439,1.13822615219203e-05,"feature_2_lag7=1.53801102656114"
"feature_2_lag6",0.0011641011018779,6.21657084494938e-06,"feature_2_lag6=1.27309858334787"
"feature_2_lag5",0.000908302056114578,0.000148517265274174,"feature_2_lag5=0.989902287124282"
