"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=-0.638124677889654"
"feature_1_lag70",0,0,"feature_1_lag70=-0.723609062894857"
"feature_1_lag69",0,0,"feature_1_lag69=-0.48256545748521"
"feature_1_lag68",0,0,"feature_1_lag68=-0.48256545748521"
"feature_1_lag67",0,0,"feature_1_lag67=-0.343858288803853"
"feature_1_lag66",0,0,"feature_1_lag66=-0.218706204501155"
"feature_1_lag65",0,0,"feature_1_lag65=-0.411336537905898"
"feature_1_lag64",0,0,"feature_1_lag64=-0.411336537905898"
"feature_1_lag63",0,0,"feature_1_lag63=-0.519721413274889"
"feature_1_lag62",0,0,"feature_1_lag62=-0.557986664435432"
"feature_1_lag61",-0.000166088801205634,9.81809635762108e-08,"feature_1_lag61=-0.411336537905898"
"feature_1_lag60",7.66900052277864e-05,5.57181180174117e-08,"feature_1_lag60=-0.411336537905898"
"feature_1_lag59",0,0,"feature_1_lag59=-0.279755395756393"
"feature_1_lag58",0,0,"feature_1_lag58=-0.279755395756393"
"feature_1_lag57",0,0,"feature_1_lag57=-0.377153426249821"
"feature_1_lag56",0,0,"feature_1_lag56=-0.343858288803853"
"feature_1_lag55",0,0,"feature_1_lag55=-0.446456288785992"
"feature_1_lag54",0,0,"feature_1_lag54=-0.377153426249821"
"feature_1_lag53",4.51339406643436e-05,1.92985825252973e-08,"feature_1_lag53=-0.311406157452745"
"feature_1_lag52",4.51339406643433e-05,1.9298582525297e-08,"feature_1_lag52=-0.377153426249821"
"feature_1_lag51",0,0,"feature_1_lag51=-0.446456288785992"
"feature_1_lag50",0,0,"feature_1_lag50=-0.597429490985211"
"feature_1_lag49",0,0,"feature_1_lag49=-0.519721413274889"
"feature_1_lag48",0,0,"feature_1_lag48=-0.48256545748521"
"feature_1_lag47",0,0,"feature_1_lag47=-0.519721413274889"
"feature_1_lag46",0,0,"feature_1_lag46=-0.597429490985211"
"feature_1_lag45",0,0,"feature_1_lag45=-0.680154368528415"
"feature_1_lag44",0,0,"feature_1_lag44=-0.638124677889654"
"feature_1_lag43",0,0,"feature_1_lag43=-0.48256545748521"
"feature_1_lag42",0,0,"feature_1_lag42=-0.311406157452745"
"feature_1_lag41",0,0,"feature_1_lag41=-0.279755395756393"
"feature_1_lag40",0,0,"feature_1_lag40=-0.311406157452745"
"feature_1_lag39",0,0,"feature_1_lag39=-0.160432955253526"
"feature_1_lag38",0,0,"feature_1_lag38=-0.104694142266173"
"feature_1_lag37",0,0,"feature_1_lag37=-0.0512784666995813"
"feature_1_lag36",0,0,"feature_1_lag36=-0.0253828239202791"
"feature_1_lag35",0,0,"feature_1_lag35=0"
"feature_1_lag34",0,0,"feature_1_lag34=0.119880833332884"
"feature_1_lag33",0,0,"feature_1_lag33=0.0967848801727043"
"feature_1_lag32",0,0,"feature_1_lag32=0.142567987025069"
"feature_1_lag31",0,0,"feature_1_lag31=0.164860561455702"
"feature_1_lag30",0,0,"feature_1_lag30=0.0967848801727043"
"feature_1_lag29",0,0,"feature_1_lag29=0.0493057218376431"
"feature_1_lag28",0,0,"feature_1_lag28=-0.189238453359762"
"feature_1_lag27",0,0,"feature_1_lag27=-0.519721413274889"
"feature_1_lag26",0,0,"feature_1_lag26=-0.863579702078743"
"feature_1_lag25",0,0,"feature_1_lag25=-0.863579702078743"
"feature_1_lag24",0,0,"feature_1_lag24=-0.557986664435432"
"feature_1_lag23",0,0,"feature_1_lag23=-0.48256545748521"
"feature_1_lag22",0,0,"feature_1_lag22=-0.411336537905898"
"feature_1_lag21",0,0,"feature_1_lag21=-0.132260596562993"
"feature_1_lag20",0,0,"feature_1_lag20=0.0493057218376431"
"feature_1_lag19",0,0,"feature_1_lag19=0.119880833332884"
"feature_1_lag18",0,0,"feature_1_lag18=0.119880833332884"
"feature_1_lag17",0,0,"feature_1_lag17=-0.0253828239202791"
"feature_1_lag16",0,0,"feature_1_lag16=-0.218706204501155"
"feature_1_lag15",0,0,"feature_1_lag15=-0.343858288803853"
"feature_1_lag14",0,0,"feature_1_lag14=-0.311406157452745"
"feature_1_lag13",0,0,"feature_1_lag13=-0.279755395756393"
"feature_1_lag12",0,0,"feature_1_lag12=-0.343858288803853"
"feature_1_lag11",1.89484968192211e-05,1.72472406391701e-08,"feature_1_lag11=-0.311406157452745"
"feature_1_lag10",-5.852697027409e-05,1.2179483805461e-07,"feature_1_lag10=-0.218706204501155"
"feature_1_lag9",0,0,"feature_1_lag9=-0.189238453359762"
"feature_1_lag8",0,0,"feature_1_lag8=-0.311406157452745"
"feature_1_lag7",0,0,"feature_1_lag7=-0.343858288803853"
"feature_1_lag6",0,0,"feature_1_lag6=-0.446456288785992"
"feature_1_lag5",0,0,"feature_1_lag5=-0.48256545748521"
"feature_1_lag4",0,0,"feature_1_lag4=-0.48256545748521"
"feature_1_lag3",0,0,"feature_1_lag3=-0.638124677889654"
"feature_1_lag2",0,0,"feature_1_lag2=-0.680154368528415"
"feature_1_lag1",0,0,"feature_1_lag1=-0.638124677889654"
"feature_1_lag0",0,0,"feature_1_lag0=-0.638124677889654"
"feature_2_lag71",0,0,"feature_2_lag71=-0.123552362078431"
"feature_2_lag70",0,0,"feature_2_lag70=-0.123552362078431"
"feature_2_lag69",0,0,"feature_2_lag69=-0.123552362078431"
"feature_2_lag68",2.82783481924211e-05,1.66609317432847e-08,"feature_2_lag68=-0.123552362078431"
"feature_2_lag67",0,0,"feature_2_lag67=-0.060963242702909"
"feature_2_lag66",0,0,"feature_2_lag66=-0.253972184457196"
"feature_2_lag65",0,0,"feature_2_lag65=0"
"feature_2_lag64",0,0,"feature_2_lag64=0.0594197024413822"
"feature_2_lag63",0,0,"feature_2_lag63=-0.060963242702909"
"feature_2_lag62",0,0,"feature_2_lag62=-0.123552362078431"
"feature_2_lag61",0,0,"feature_2_lag61=-0.253972184457196"
"feature_2_lag60",0,0,"feature_2_lag60=-0.322004567694561"
"feature_2_lag59",0,0,"feature_2_lag59=-0.253972184457196"
"feature_2_lag58",0,0,"feature_2_lag58=-0.187856463541998"
"feature_2_lag57",0,0,"feature_2_lag57=-0.123552362078431"
"feature_2_lag56",0,0,"feature_2_lag56=-0.123552362078431"
"feature_2_lag55",0,0,"feature_2_lag55=-0.187856463541998"
"feature_2_lag54",0,0,"feature_2_lag54=0.283108203717708"
"feature_2_lag53",0,0,"feature_2_lag53=0.229152887640188"
"feature_2_lag52",0,0,"feature_2_lag52=-0.123552362078431"
"feature_2_lag51",0,0,"feature_2_lag51=-0.123552362078431"
"feature_2_lag50",0,0,"feature_2_lag50=-0.060963242702909"
"feature_2_lag49",-4.55122942322611e-05,1.96234950911107e-08,"feature_2_lag49=-0.253972184457196"
"feature_2_lag48",6.60235118168106e-05,8.26902792687303e-08,"feature_2_lag48=-0.187856463541998"
"feature_2_lag47",0,0,"feature_2_lag47=0.117372100750534"
"feature_2_lag46",0,0,"feature_2_lag46=1.43892731025516"
"feature_2_lag45",0,0,"feature_2_lag45=0.335850937550195"
"feature_2_lag44",0,0,"feature_2_lag44=-0.060963242702909"
"feature_2_lag43",0.000499834632601226,1.65104564434015e-06,"feature_2_lag43=-0.322004567694561"
"feature_2_lag42",0.000365111383384759,3.77020745401113e-07,"feature_2_lag42=-0.46428769865081"
"feature_2_lag41",9.4901473594633e-05,8.53227444356793e-08,"feature_2_lag41=-0.322004567694561"
"feature_2_lag40",0,0,"feature_2_lag40=-0.123552362078431"
"feature_2_lag39",0,0,"feature_2_lag39=-0.322004567694561"
"feature_2_lag38",-0.000307082552668035,7.3032006065764e-07,"feature_2_lag38=-0.322004567694561"
"feature_2_lag37",7.31008824969015e-06,3.18749345161539e-10,"feature_2_lag37=-0.253972184457196"
"feature_2_lag36",0.000363893424161156,3.21947101321059e-06,"feature_2_lag36=-0.123552362078431"
"feature_2_lag35",0.000435374382901321,1.02017703368434e-06,"feature_2_lag35=0"
"feature_2_lag34",0.00047527445418559,1.55872317964222e-06,"feature_2_lag34=-0.123552362078431"
"feature_2_lag33",0,0,"feature_2_lag33=-0.123552362078431"
"feature_2_lag32",-8.42076891923491e-05,2.98565680804853e-08,"feature_2_lag32=-0.187856463541998"
"feature_2_lag31",0.000105868649148703,1.40145894348814e-06,"feature_2_lag31=0.173927918903596"
"feature_2_lag30",-0.000122458980490336,2.99924038054652e-07,"feature_2_lag30=0.335850937550195"
"feature_2_lag29",0,0,"feature_2_lag29=0.0594197024413822"
"feature_2_lag28",0.000138989802739874,8.13396432238694e-08,"feature_2_lag28=-0.123552362078431"
"feature_2_lag27",0,0,"feature_2_lag27=-0.060963242702909"
"feature_2_lag26",0,0,"feature_2_lag26=0"
"feature_2_lag25",0,0,"feature_2_lag25=0"
"feature_2_lag24",0,0,"feature_2_lag24=0.0594197024413822"
"feature_2_lag23",0,0,"feature_2_lag23=0.283108203717708"
"feature_2_lag22",0,0,"feature_2_lag22=0.173927918903596"
"feature_2_lag21",0,0,"feature_2_lag21=0.283108203717708"
"feature_2_lag20",0,0,"feature_2_lag20=0.229152887640188"
"feature_2_lag19",0,0,"feature_2_lag19=0.117372100750534"
"feature_2_lag18",0,0,"feature_2_lag18=0"
"feature_2_lag17",0,0,"feature_2_lag17=0.173927918903596"
"feature_2_lag16",0,0,"feature_2_lag16=-0.253972184457196"
"feature_2_lag15",-0.000141486060734164,4.0036610764143e-07,"feature_2_lag15=-0.615756566902789"
"feature_2_lag14",-0.000141486060734164,4.0036610764143e-07,"feature_2_lag14=-0.538800397693483"
"feature_2_lag13",0.000291409985579624,3.72611511541513e-07,"feature_2_lag13=-0.615756566902789"
"feature_2_lag12",0,0,"feature_2_lag12=-0.695321911348095"
"feature_2_lag11",0,0,"feature_2_lag11=-0.615756566902789"
"feature_2_lag10",0,0,"feature_2_lag10=-0.538800397693483"
"feature_2_lag9",-0.000134689588299559,6.8026332279349e-07,"feature_2_lag9=-0.392068065626464"
"feature_2_lag8",-7.95389685290804e-06,1.3632021882665e-07,"feature_2_lag8=-0.123552362078431"
"feature_2_lag7",0.000120235275256475,9.92669767007514e-07,"feature_2_lag7=0.971581692105876"
"feature_2_lag6",0,0,"feature_2_lag6=1.08798337610367"
"feature_2_lag5",-0.000274845420089056,3.91903126674343e-05,"feature_2_lag5=0.53571230134919"
"feature_2_lag4",-0.000958078769874601,1.93517832111685e-05,"feature_2_lag4=-0.060963242702909"
"feature_2_lag3",-0.00694991877428425,0.00171245430746093,"feature_2_lag3=-0.538800397693483"
"feature_2_lag2",0.0113862806835822,0.00269284553170261,"feature_2_lag2=-0.615756566902789"
"feature_2_lag1",-0.111629511865328,0.151134176146784,"feature_2_lag1=-0.615756566902789"
"feature_2_lag0",0.1477803506713,0.169894839905742,"feature_2_lag0=-0.538800397693483"
"feature_3_lag71",0,0,"feature_3_lag71=-0.840541723466043"
"feature_3_lag70",0,0,"feature_3_lag70=-0.642041294667487"
"feature_3_lag69",0,0,"feature_3_lag69=-0.253292807997336"
"feature_3_lag68",0,0,"feature_3_lag68=-0.381679447892277"
"feature_3_lag67",0,0,"feature_3_lag67=-0.189538503680818"
"feature_3_lag66",0,0,"feature_3_lag66=-0.253292807997336"
"feature_3_lag65",0,0,"feature_3_lag65=-0.317338895043257"
"feature_3_lag64",0,0,"feature_3_lag64=-0.189538503680818"
"feature_3_lag63",0,0,"feature_3_lag63=-0.126073335524665"
"feature_3_lag62",0,0,"feature_3_lag62=-0.189538503680818"
"feature_3_lag61",0,0,"feature_3_lag61=-0.126073335524665"
"feature_3_lag60",0,0,"feature_3_lag60=-0.381679447892277"
