"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=0.395496420918063"
"feature_1_lag70",0,0,"feature_1_lag70=0.276151121888712"
"feature_1_lag69",0,0,"feature_1_lag69=0.241038912514208"
"feature_1_lag68",0,0,"feature_1_lag68=0.276151121888712"
"feature_1_lag67",0,0,"feature_1_lag67=0.395496420918063"
"feature_1_lag66",0,0,"feature_1_lag66=0.378767907602128"
"feature_1_lag65",0,0,"feature_1_lag65=0.327953001608519"
"feature_1_lag64",0,0,"feature_1_lag64=0.241038912514208"
"feature_1_lag63",0,0,"feature_1_lag63=0.187456009647351"
"feature_1_lag62",0,0,"feature_1_lag62=0.241038912514208"
"feature_1_lag61",0,0,"feature_1_lag61=0.241038912514208"
"feature_1_lag60",0,0,"feature_1_lag60=0.293531651767003"
"feature_1_lag59",0,0,"feature_1_lag59=0.412123238316627"
"feature_1_lag58",0,0,"feature_1_lag58=0.541685737095575"
"feature_1_lag57",0,0,"feature_1_lag57=0.695872078479534"
"feature_1_lag56",0,0,"feature_1_lag56=0.799299316019821"
"feature_1_lag55",0,0,"feature_1_lag55=0.856898416946846"
"feature_1_lag54",0,0,"feature_1_lag54=0.899425629101076"
"feature_1_lag53",0,0,"feature_1_lag53=0.927469576447679"
"feature_1_lag52",0,0,"feature_1_lag52=0.941401662787338"
"feature_1_lag51",0,0,"feature_1_lag51=0.871136742497641"
"feature_1_lag50",0,0,"feature_1_lag50=0.755396606097294"
"feature_1_lag49",0,0,"feature_1_lag49=0.635156706442878"
"feature_1_lag48",0,0,"feature_1_lag48=0.541685737095575"
"feature_1_lag47",0,0,"feature_1_lag47=0.557473666707812"
"feature_1_lag46",0,0,"feature_1_lag46=0.604329485338119"
"feature_1_lag45",0,0,"feature_1_lag45=0.619783236317995"
"feature_1_lag44",0,0,"feature_1_lag44=0.665667725842561"
"feature_1_lag43",0,0,"feature_1_lag43=0.665667725842561"
"feature_1_lag42",0,0,"feature_1_lag42=0.65045113401912"
"feature_1_lag41",0,0,"feature_1_lag41=0.588794182522336"
"feature_1_lag40",0,0,"feature_1_lag40=0.541685737095575"
"feature_1_lag39",0,0,"feature_1_lag39=0.493794164857886"
"feature_1_lag38",0,0,"feature_1_lag38=0.445079060752121"
"feature_1_lag37",0,0,"feature_1_lag37=0.477649395183985"
"feature_1_lag36",0,0,"feature_1_lag36=0.509847460540334"
"feature_1_lag35",0,0,"feature_1_lag35=0.509847460540334"
"feature_1_lag34",0,0,"feature_1_lag34=0.557473666707812"
"feature_1_lag33",0,0,"feature_1_lag33=0.588794182522336"
"feature_1_lag32",0,0,"feature_1_lag32=0.695872078479534"
"feature_1_lag31",0,0,"feature_1_lag31=0.784733626452644"
"feature_1_lag30",0,0,"feature_1_lag30=0.828229781646198"
"feature_1_lag29",0,0,"feature_1_lag29=0.856898416946846"
"feature_1_lag28",0,0,"feature_1_lag28=0.799299316019821"
"feature_1_lag27",0,0,"feature_1_lag27=0.725778829512718"
"feature_1_lag26",0,0,"feature_1_lag26=0.710862105086854"
"feature_1_lag25",0,0,"feature_1_lag25=0.665667725842561"
"feature_1_lag24",0,0,"feature_1_lag24=0.665667725842561"
"feature_1_lag23",0,0,"feature_1_lag23=0.695872078479534"
"feature_1_lag22",0,0,"feature_1_lag22=0.680807658309791"
"feature_1_lag21",0,0,"feature_1_lag21=0.725778829512718"
"feature_1_lag20",0,0,"feature_1_lag20=0.725778829512718"
"feature_1_lag19",0,0,"feature_1_lag19=0.725778829512718"
"feature_1_lag18",0,0,"feature_1_lag18=0.740623316711308"
"feature_1_lag17",0,0,"feature_1_lag17=0.725778829512718"
"feature_1_lag16",0,0,"feature_1_lag16=0.695872078479534"
"feature_1_lag15",0,0,"feature_1_lag15=0.635156706442878"
"feature_1_lag14",0,0,"feature_1_lag14=0.635156706442878"
"feature_1_lag13",0,0,"feature_1_lag13=0.635156706442878"
"feature_1_lag12",0,0,"feature_1_lag12=0.680807658309791"
"feature_1_lag11",0,0,"feature_1_lag11=0.725778829512718"
"feature_1_lag10",0,0,"feature_1_lag10=0.784733626452644"
"feature_1_lag9",0,0,"feature_1_lag9=0.856898416946846"
"feature_1_lag8",0,0,"feature_1_lag8=1.0101930328433"
"feature_1_lag7",0,0,"feature_1_lag7=1.18276866464806"
"feature_1_lag6",0,0,"feature_1_lag6=1.32244751015093"
"feature_1_lag5",0,0,"feature_1_lag5=1.3596265075892"
"feature_1_lag4",0,0,"feature_1_lag4=1.38420628866431"
"feature_1_lag3",0,0,"feature_1_lag3=1.37193674579497"
"feature_1_lag2",-9.74504138498852e-05,1.89931663190278e-07,"feature_1_lag2=1.3596265075892"
"feature_1_lag1",0,0,"feature_1_lag1=1.28488715972511"
"feature_1_lag0",0,0,"feature_1_lag0=1.09092227334752"
"feature_2_lag71",0,0,"feature_2_lag71=-0.405153335454495"
"feature_2_lag70",0,0,"feature_2_lag70=-0.151285350443558"
"feature_2_lag69",0,0,"feature_2_lag69=-0.0740425343276846"
"feature_2_lag68",0,0,"feature_2_lag68=0.501654905184796"
"feature_2_lag67",0,0,"feature_2_lag67=0.205236996658841"
"feature_2_lag66",8.61907886527291e-05,1.48577040971588e-07,"feature_2_lag66=0.268671080605378"
"feature_2_lag65",0,0,"feature_2_lag65=0.329893656912709"
"feature_2_lag64",0,0,"feature_2_lag64=1.05599059490641"
"feature_2_lag63",0,0,"feature_2_lag63=0.754765352200114"
"feature_2_lag62",0,0,"feature_2_lag62=0.329893656912709"
"feature_2_lag61",0,0,"feature_2_lag61=0"
"feature_2_lag60",0,0,"feature_2_lag60=0.139433687120656"
"feature_2_lag59",0,0,"feature_2_lag59=0.446261874107466"
"feature_2_lag58",0,0,"feature_2_lag58=0.80120228008952"
"feature_2_lag57",0,0,"feature_2_lag57=0.139433687120656"
"feature_2_lag56",0,0,"feature_2_lag56=0.205236996658841"
"feature_2_lag55",0,0,"feature_2_lag55=1.40999922821676"
"feature_2_lag54",0,0,"feature_2_lag54=1.13304443205505"
"feature_2_lag53",0,0,"feature_2_lag53=0.707033775780914"
"feature_2_lag52",0,0,"feature_2_lag52=0.80120228008952"
"feature_2_lag51",0,0,"feature_2_lag51=0.501654905184796"
"feature_2_lag50",0,0,"feature_2_lag50=0.555334115145345"
"feature_2_lag49",0,0,"feature_2_lag49=0.555334115145345"
"feature_2_lag48",0,0,"feature_2_lag48=0.555334115145345"
"feature_2_lag47",0,0,"feature_2_lag47=0.329893656912709"
"feature_2_lag46",0,0,"feature_2_lag46=0.205236996658841"
"feature_2_lag45",0.000279784352529894,1.15400668527247e-06,"feature_2_lag45=0.0710862438691068"
"feature_2_lag44",-4.72618342432229e-06,1.01706694116274e-06,"feature_2_lag44=0.205236996658841"
"feature_2_lag43",9.69345635036339e-05,1.06980645237498e-07,"feature_2_lag43=0.268671080605378"
