"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=-0.0979741089073264"
"feature_1_lag70",0,0,"feature_1_lag70=-0.0979741089073264"
"feature_1_lag69",8.96249231227331e-05,4.79139145125785e-08,"feature_1_lag69=-0.158908096060801"
"feature_1_lag68",0.000345718826391991,8.92300207465719e-07,"feature_1_lag68=-0.221626648006142"
"feature_1_lag67",0,0,"feature_1_lag67=-0.286296393588509"
"feature_1_lag66",0,0,"feature_1_lag66=-0.353111629028665"
"feature_1_lag65",3.25643943302811e-05,6.32543025532168e-09,"feature_1_lag65=-0.44593768568963"
"feature_1_lag64",3.25643943302839e-05,6.32543025532276e-09,"feature_1_lag64=-0.568950751800424"
"feature_1_lag63",2.14214555678327e-05,9.17757517289261e-09,"feature_1_lag63=-0.568950751800424"
"feature_1_lag62",2.14214555678355e-05,9.17757517289499e-09,"feature_1_lag62=-0.568950751800424"
"feature_1_lag61",0,0,"feature_1_lag61=-0.620675149092781"
"feature_1_lag60",0,0,"feature_1_lag60=-0.674042814709605"
"feature_1_lag59",-6.70485254676695e-05,8.99100953477745e-08,"feature_1_lag59=-0.786407807019641"
"feature_1_lag58",0,0,"feature_1_lag58=-0.845839684246"
"feature_1_lag57",0,0,"feature_1_lag57=-0.876484936045292"
"feature_1_lag56",0,0,"feature_1_lag56=-0.786407807019641"
"feature_1_lag55",0,0,"feature_1_lag55=-0.757549627054126"
"feature_1_lag54",0,0,"feature_1_lag54=-0.757549627054126"
"feature_1_lag53",0,0,"feature_1_lag53=-0.729221090003325"
"feature_1_lag52",0,0,"feature_1_lag52=-0.620675149092781"
"feature_1_lag51",0,0,"feature_1_lag51=-0.674042814709605"
"feature_1_lag50",0,0,"feature_1_lag50=-0.620675149092781"
"feature_1_lag49",0,0,"feature_1_lag49=-0.543659262626061"
"feature_1_lag48",0,0,"feature_1_lag48=-0.518726572519788"
"feature_1_lag47",0,0,"feature_1_lag47=-0.494137831015629"
"feature_1_lag46",0,0,"feature_1_lag46=-0.518726572519788"
"feature_1_lag45",0,0,"feature_1_lag45=-0.568950751800424"
"feature_1_lag44",0,0,"feature_1_lag44=-0.620675149092781"
"feature_1_lag43",0,0,"feature_1_lag43=-0.674042814709605"
"feature_1_lag42",0,0,"feature_1_lag42=-0.620675149092781"
"feature_1_lag41",0,0,"feature_1_lag41=-0.647143747695097"
"feature_1_lag40",0,0,"feature_1_lag40=-0.701394061908461"
"feature_1_lag39",0,0,"feature_1_lag39=-0.701394061908461"
"feature_1_lag38",0,0,"feature_1_lag38=-0.701394061908461"
"feature_1_lag37",0,0,"feature_1_lag37=-0.647143747695097"
"feature_1_lag36",0,0,"feature_1_lag36=-0.647143747695097"
"feature_1_lag35",0,0,"feature_1_lag35=-0.594616990951306"
"feature_1_lag34",0,0,"feature_1_lag34=-0.494137831015629"
"feature_1_lag33",0,0,"feature_1_lag33=-0.398958392008868"
"feature_1_lag32",0,0,"feature_1_lag32=-0.286296393588509"
"feature_1_lag31",0,0,"feature_1_lag31=-0.242957462871612"
"feature_1_lag30",0,0,"feature_1_lag30=-0.242957462871612"
"feature_1_lag29",0,0,"feature_1_lag29=-0.200512406465559"
"feature_1_lag28",0,0,"feature_1_lag28=-0.242957462871612"
"feature_1_lag27",-0.000102677823005889,2.10854706744575e-07,"feature_1_lag27=-0.264511655330884"
"feature_1_lag26",0,0,"feature_1_lag26=-0.353111629028665"
"feature_1_lag25",0,0,"feature_1_lag25=-0.494137831015629"
"feature_1_lag24",0,0,"feature_1_lag24=-0.543659262626061"
"feature_1_lag23",1.66808256979861e-05,7.83403945308575e-08,"feature_1_lag23=-0.594616990951306"
"feature_1_lag22",5.05549396759064e-05,5.11160385126907e-08,"feature_1_lag22=-0.620675149092781"
"feature_1_lag21",-2.95172146054623e-05,2.45707106961945e-08,"feature_1_lag21=-0.701394061908461"
"feature_1_lag20",4.766570618778e-05,2.72876772391974e-08,"feature_1_lag20=-0.729221090003325"
"feature_1_lag19",0,0,"feature_1_lag19=-0.674042814709605"
"feature_1_lag18",-5.17428072206116e-05,2.94927866519115e-08,"feature_1_lag18=-0.620675149092781"
"feature_1_lag17",-4.31986365655446e-05,3.73224440224401e-08,"feature_1_lag17=-0.594616990951306"
"feature_1_lag16",-8.63972731310891e-05,7.07162097267286e-08,"feature_1_lag16=-0.620675149092781"
"feature_1_lag15",0,0,"feature_1_lag15=-0.701394061908461"
"feature_1_lag14",0,0,"feature_1_lag14=-0.757549627054126"
"feature_1_lag13",0,0,"feature_1_lag13=-0.729221090003325"
"feature_1_lag12",0,0,"feature_1_lag12=-0.594616990951306"
"feature_1_lag11",0,0,"feature_1_lag11=-0.469879184648719"
"feature_1_lag10",0,0,"feature_1_lag10=-0.308319237633958"
"feature_1_lag9",0,0,"feature_1_lag9=-0.242957462871612"
"feature_1_lag8",0,0,"feature_1_lag8=-0.200512406465559"
"feature_1_lag7",0,0,"feature_1_lag7=-0.118096466568166"
"feature_1_lag6",0,0,"feature_1_lag6=-0.0582708787921985"
"feature_1_lag5",0,0,"feature_1_lag5=-0.0192582977315871"
"feature_1_lag4",0,0,"feature_1_lag4=-0.0192582977315871"
"feature_1_lag3",0,0,"feature_1_lag3=-0.0979741089073264"
"feature_1_lag2",0,0,"feature_1_lag2=-0.286296393588509"
"feature_1_lag1",-3.70334959990386e-05,2.74295965182161e-08,"feature_1_lag1=-0.422301211347235"
"feature_1_lag0",7.40669919980785e-05,5.19718670871483e-08,"feature_1_lag0=-0.469879184648719"
"feature_2_lag71",0,0,"feature_2_lag71=-0.234412049741072"
"feature_2_lag70",0,0,"feature_2_lag70=-0.234412049741072"
"feature_2_lag69",0,0,"feature_2_lag69=-0.510505853957361"
"feature_2_lag68",0,0,"feature_2_lag68=-0.510505853957361"
"feature_2_lag67",0,0,"feature_2_lag67=-0.413011511126885"
"feature_2_lag66",0,0,"feature_2_lag66=-0.510505853957361"
"feature_2_lag65",0,0,"feature_2_lag65=-0.413011511126885"
"feature_2_lag64",0,0,"feature_2_lag64=0.138344911386579"
"feature_2_lag63",0,0,"feature_2_lag63=-0.510505853957361"
"feature_2_lag62",0,0,"feature_2_lag62=-0.61432948159334"
"feature_2_lag61",0,0,"feature_2_lag61=-0.61432948159334"
"feature_2_lag60",0,0,"feature_2_lag60=-0.510505853957361"
"feature_2_lag59",0,0,"feature_2_lag59=-0.413011511126885"
"feature_2_lag58",0,0,"feature_2_lag58=0.264961158792027"
"feature_2_lag57",0,0,"feature_2_lag57=0.489494146042639"
"feature_2_lag56",0,0,"feature_2_lag56=0"
"feature_2_lag55",0,0,"feature_2_lag55=0.0707613785435321"
"feature_2_lag54",0,0,"feature_2_lag54=-0.234412049741072"
"feature_2_lag53",0,0,"feature_2_lag53=0.540573688386776"
"feature_2_lag52",0,0,"feature_2_lag52=0.264961158792027"
"feature_2_lag51",4.43531301570321e-05,7.33998280080712e-08,"feature_2_lag51=-0.413011511126885"
"feature_2_lag50",0.000136875163132533,3.7963656363711e-07,"feature_2_lag50=-0.321171835313171"
"feature_2_lag49",0,0,"feature_2_lag49=-0.725280939999843"
"feature_2_lag48",0,0,"feature_2_lag48=-0.725280939999843"
"feature_2_lag47",0.000109749625177646,7.18472504746582e-08,"feature_2_lag47=-0.972582238215106"
"feature_2_lag46",3.65832083925488e-05,2.67666227258531e-08,"feature_2_lag46=-0.844314428280412"
"feature_2_lag45",-6.6729221461721e-05,1.52237230314812e-08,"feature_2_lag45=-0.725280939999843"
"feature_2_lag44",0.000145341439552768,3.54326165277958e-07,"feature_2_lag44=-0.725280939999843"
"feature_2_lag43",-0.000152022852070779,1.41255068493192e-07,"feature_2_lag43=-0.725280939999843"
"feature_2_lag42",0.000283065013628841,2.36297838563003e-07,"feature_2_lag42=-0.61432948159334"
"feature_2_lag41",-0.00016939176504312,2.51398772372877e-06,"feature_2_lag41=-0.510505853957361"
"feature_2_lag40",0.000264942612152458,6.78618858787742e-07,"feature_2_lag40=-0.234412049741072"
"feature_2_lag39",0,0,"feature_2_lag39=-0.0742250610357015"
"feature_2_lag38",0,0,"feature_2_lag38=0.0707613785435321"
"feature_2_lag37",0,0,"feature_2_lag37=-0.0742250610357015"
"feature_2_lag36",0,0,"feature_2_lag36=-0.0742250610357015"
"feature_2_lag35",0,0,"feature_2_lag35=-0.152238673331384"
"feature_2_lag34",0,0,"feature_2_lag34=-0.0742250610357015"
"feature_2_lag33",0,0,"feature_2_lag33=0.20300333836836"
"feature_2_lag32",0,0,"feature_2_lag32=0.489494146042639"
"feature_2_lag31",0,0,"feature_2_lag31=0.589889874953173"
"feature_2_lag30",0,0,"feature_2_lag30=0.813514491860858"
"feature_2_lag29",0,0,"feature_2_lag29=0.589889874953173"
"feature_2_lag28",0,0,"feature_2_lag28=0.489494146042639"
"feature_2_lag27",0,0,"feature_2_lag27=0.138344911386579"
"feature_2_lag26",0,0,"feature_2_lag26=-0.321171835313171"
"feature_2_lag25",0,0,"feature_2_lag25=-0.510505853957361"
"feature_2_lag24",0,0,"feature_2_lag24=-0.413011511126885"
"feature_2_lag23",0,0,"feature_2_lag23=-0.413011511126885"
"feature_2_lag22",0,0,"feature_2_lag22=-0.510505853957361"
"feature_2_lag21",0,0,"feature_2_lag21=-0.413011511126885"
"feature_2_lag20",0,0,"feature_2_lag20=-0.234412049741072"
"feature_2_lag19",0,0,"feature_2_lag19=-0.0742250610357015"
"feature_2_lag18",0,0,"feature_2_lag18=-0.413011511126885"
"feature_2_lag17",0,0,"feature_2_lag17=-0.152238673331384"
"feature_2_lag16",0,0,"feature_2_lag16=-0.321171835313171"
"feature_2_lag15",0,0,"feature_2_lag15=-0.321171835313171"
"feature_2_lag14",0,0,"feature_2_lag14=-0.321171835313171"
"feature_2_lag13",0,0,"feature_2_lag13=-0.321171835313171"
"feature_2_lag12",0,0,"feature_2_lag12=-0.152238673331384"
"feature_2_lag11",0,0,"feature_2_lag11=-0.152238673331384"
"feature_2_lag10",0,0,"feature_2_lag10=0.43653181644023"
"feature_2_lag9",0,0,"feature_2_lag9=0"
"feature_2_lag8",0,0,"feature_2_lag8=0.138344911386579"
"feature_2_lag7",0,0,"feature_2_lag7=0.32441863510899"
"feature_2_lag6",0,0,"feature_2_lag6=0.3815551166014"
"feature_2_lag5",-0.000284369935100052,2.63613809550838e-05,"feature_2_lag5=0.138344911386579"
"feature_2_lag4",0.00175804170040855,3.32578728073949e-05,"feature_2_lag4=0.20300333836836"
"feature_2_lag3",-0.0015330696008286,0.00188914884393432,"feature_2_lag3=-0.413011511126885"
"feature_2_lag2",0.0423407628946558,0.00745390195473773,"feature_2_lag2=-0.413011511126885"
"feature_2_lag1",-0.0414520206418959,0.092518244005703,"feature_2_lag1=-0.234412049741072"
"feature_2_lag0",0.270764179335565,0.165239934988499,"feature_2_lag0=-0.234412049741072"
"feature_3_lag71",0,0,"feature_3_lag71=-0.848133573286221"
"feature_3_lag70",0,0,"feature_3_lag70=-0.750656680789851"
"feature_3_lag69",0,0,"feature_3_lag69=-0.79928633423717"
"feature_3_lag68",0,0,"feature_3_lag68=-0.702241730945064"
"feature_3_lag67",0,0,"feature_3_lag67=-0.79928633423717"
"feature_3_lag66",0,0,"feature_3_lag66=-0.606044727478912"
"feature_3_lag65",0,0,"feature_3_lag65=-0.275723080974696"
"feature_3_lag64",0,0,"feature_3_lag64=-0.369119471245971"
"feature_3_lag63",0,0,"feature_3_lag63=-0.510673495196741"
"feature_3_lag62",0,0,"feature_3_lag62=-0.463290975169117"
"feature_3_lag61",0,0,"feature_3_lag61=-0.416107126613635"
"feature_3_lag60",0,0,"feature_3_lag60=-0.558257217599966"
"feature_3_lag59",0,0,"feature_3_lag59=-0.416107126613635"
"feature_3_lag58",0,0,"feature_3_lag58=-0.183082974121117"
"feature_3_lag57",0,0,"feature_3_lag57=0.135456401795803"
"feature_3_lag56",0,0,"feature_3_lag56=1.00168379881564"
"feature_3_lag55",0,0,"feature_3_lag55=0.57620244816302"
"feature_3_lag54",0,0,"feature_3_lag54=-0.275723080974696"
"feature_3_lag53",0,0,"feature_3_lag53=0.045325467120155"
"feature_3_lag52",-0.000138387894576769,2.71541210681805e-07,"feature_3_lag52=-0.275723080974696"
"feature_3_lag51",0,0,"feature_3_lag51=-0.702241730945064"
"feature_3_lag50",0,0,"feature_3_lag50=-0.750656680789851"
"feature_3_lag49",0,0,"feature_3_lag49=-0.8972013449949"
"feature_3_lag48",0,0,"feature_3_lag48=-0.946492663554684"
"feature_3_lag47",0,0,"feature_3_lag47=-0.946492663554684"
"feature_3_lag46",0,0,"feature_3_lag46=-0.510673495196741"
"feature_3_lag45",0,0,"feature_3_lag45=-0.229309639204588"
"feature_3_lag44",0,0,"feature_3_lag44=-0.369119471245971"
"feature_3_lag43",0,0,"feature_3_lag43=-0.275723080974696"
"feature_3_lag42",0,0,"feature_3_lag42=-0.229309639204588"
"feature_3_lag41",0,0,"feature_3_lag41=-0.183082974121117"
"feature_3_lag40",0,0,"feature_3_lag40=-0.229309639204588"
"feature_3_lag39",0,0,"feature_3_lag39=-0.183082974121117"
"feature_3_lag38",0,0,"feature_3_lag38=-0.510673495196741"
"feature_3_lag37",0,0,"feature_3_lag37=-0.606044727478912"
"feature_3_lag36",0,0,"feature_3_lag36=-0.510673495196741"
"feature_3_lag35",0,0,"feature_3_lag35=-0.322325581881992"
"feature_3_lag34",0,0,"feature_3_lag34=-0.183082974121117"
"feature_3_lag33",0,0,"feature_3_lag33=0.045325467120155"
"feature_3_lag32",0,0,"feature_3_lag32=0.313692657426468"
"feature_3_lag31",0,0,"feature_3_lag31=0.401827770906422"
"feature_3_lag30",0,0,"feature_3_lag30=0.045325467120155"
"feature_3_lag29",0,0,"feature_3_lag29=-0.322325581881992"
"feature_3_lag28",0,0,"feature_3_lag28=-0.416107126613635"
"feature_3_lag27",0,0,"feature_3_lag27=-0.8972013449949"
