"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=1.32094187161119"
"feature_1_lag70",0,0,"feature_1_lag70=1.17823549886723"
"feature_1_lag69",0,0,"feature_1_lag69=0.945432710372607"
"feature_1_lag68",0,0,"feature_1_lag68=0.725258284877786"
"feature_1_lag67",0,0,"feature_1_lag67=0.471305579044959"
"feature_1_lag66",0,0,"feature_1_lag66=0.173260511693162"
"feature_1_lag65",0,0,"feature_1_lag65=-0.102105436925725"
"feature_1_lag64",0,0,"feature_1_lag64=-0.123096788034395"
"feature_1_lag63",0,0,"feature_1_lag63=-0.187312100090435"
"feature_1_lag62",0,0,"feature_1_lag62=-0.276073583307523"
"feature_1_lag61",-1.7064692840893e-05,5.82407483508047e-09,"feature_1_lag61=-0.298873957196436"
"feature_1_lag60",-1.70646928408916e-05,5.82407483507952e-09,"feature_1_lag60=-0.298873957196436"
"feature_1_lag59",0,0,"feature_1_lag59=-0.345265653674524"
"feature_1_lag58",0,0,"feature_1_lag58=-0.36887581489847"
"feature_1_lag57",0,0,"feature_1_lag57=-0.298873957196436"
"feature_1_lag56",0,0,"feature_1_lag56=-0.231220545717238"
"feature_1_lag55",0,0,"feature_1_lag55=-0.144290968263502"
"feature_1_lag54",0,0,"feature_1_lag54=-0.102105436925725"
"feature_1_lag53",0,0,"feature_1_lag53=-0.144290968263502"
"feature_1_lag52",0,0,"feature_1_lag52=-0.209151968686086"
"feature_1_lag51",0,0,"feature_1_lag51=-0.253525170455573"
"feature_1_lag50",0,0,"feature_1_lag50=-0.321934932173711"
"feature_1_lag49",0,0,"feature_1_lag49=-0.298873957196436"
"feature_1_lag48",0,0,"feature_1_lag48=-0.276073583307523"
"feature_1_lag47",0,0,"feature_1_lag47=-0.416976255841552"
"feature_1_lag46",0,0,"feature_1_lag46=-0.466326683701445"
"feature_1_lag45",0,0,"feature_1_lag45=-0.466326683701445"
"feature_1_lag44",0,0,"feature_1_lag44=-0.517029929960975"
"feature_1_lag43",0,0,"feature_1_lag43=-0.491502228413175"
"feature_1_lag42",0,0,"feature_1_lag42=-0.491502228413175"
"feature_1_lag41",0,0,"feature_1_lag41=-0.491502228413175"
"feature_1_lag40",0,0,"feature_1_lag40=-0.441489111751987"
"feature_1_lag39",0,0,"feature_1_lag39=-0.392775703872108"
"feature_1_lag38",0,0,"feature_1_lag38=-0.36887581489847"
"feature_1_lag37",0,0,"feature_1_lag37=-0.298873957196436"
"feature_1_lag36",0,0,"feature_1_lag36=-0.209151968686086"
"feature_1_lag35",0,0,"feature_1_lag35=-0.187312100090435"
"feature_1_lag34",0,0,"feature_1_lag34=-0.102105436925725"
"feature_1_lag33",0,0,"feature_1_lag33=-0.0607086288930746"
"feature_1_lag32",0,0,"feature_1_lag32=-0.0813112008022635"
"feature_1_lag31",0,0,"feature_1_lag31=-0.0813112008022635"
"feature_1_lag30",0,0,"feature_1_lag30=-0.102105436925725"
"feature_1_lag29",0,0,"feature_1_lag29=-0.0813112008022635"
"feature_1_lag28",0,0,"feature_1_lag28=-0.123096788034395"
"feature_1_lag27",0,0,"feature_1_lag27=-0.165693973279459"
"feature_1_lag26",0,0,"feature_1_lag26=-0.144290968263502"
"feature_1_lag25",0,0,"feature_1_lag25=-0.276073583307523"
"feature_1_lag24",0,0,"feature_1_lag24=-0.253525170455573"
"feature_1_lag23",0,0,"feature_1_lag23=-0.231220545717238"
"feature_1_lag22",0,0,"feature_1_lag22=-0.231220545717238"
"feature_1_lag21",0,0,"feature_1_lag21=-0.209151968686086"
"feature_1_lag20",0,0,"feature_1_lag20=-0.231220545717238"
"feature_1_lag19",0,0,"feature_1_lag19=-0.298873957196436"
"feature_1_lag18",0,0,"feature_1_lag18=-0.36887581489847"
"feature_1_lag17",0,0,"feature_1_lag17=-0.416976255841552"
"feature_1_lag16",0,0,"feature_1_lag16=-0.36887581489847"
"feature_1_lag15",0,0,"feature_1_lag15=-0.298873957196436"
"feature_1_lag14",0,0,"feature_1_lag14=-0.187312100090435"
"feature_1_lag13",0,0,"feature_1_lag13=-0.102105436925725"
"feature_1_lag12",0,0,"feature_1_lag12=-0.0813112008022635"
"feature_1_lag11",0,0,"feature_1_lag11=-0.0813112008022635"
"feature_1_lag10",0,0,"feature_1_lag10=-0.0607086288930746"
"feature_1_lag9",0,0,"feature_1_lag9=-0.0402925171046281"
"feature_1_lag8",0,0,"feature_1_lag8=0.019885712360206"
"feature_1_lag7",0,0,"feature_1_lag7=0.0396036037997238"
"feature_1_lag6",0,0,"feature_1_lag6=0.019885712360206"
"feature_1_lag5",0,0,"feature_1_lag5=0"
"feature_1_lag4",0,0,"feature_1_lag4=0"
"feature_1_lag3",0,0,"feature_1_lag3=-0.0200578926691639"
