"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=0.452627470576051"
"feature_1_lag70",0,0,"feature_1_lag70=0.368735341364788"
"feature_1_lag69",0,0,"feature_1_lag69=0.325703910665263"
"feature_1_lag68",0,0,"feature_1_lag68=0.303899998606431"
"feature_1_lag67",0,0,"feature_1_lag67=0.237270958291341"
"feature_1_lag66",0,0,"feature_1_lag66=0.325703910665263"
"feature_1_lag65",0,0,"feature_1_lag65=0.368735341364788"
"feature_1_lag64",0,0,"feature_1_lag64=0.368735341364788"
"feature_1_lag63",0,0,"feature_1_lag63=0.41103102936894"
"feature_1_lag62",0,0,"feature_1_lag62=0.389972799702694"
"feature_1_lag61",0,0,"feature_1_lag61=0.41103102936894"
"feature_1_lag60",0,0,"feature_1_lag60=0.493558239847791"
"feature_1_lag59",0,0,"feature_1_lag59=0.513783769903731"
"feature_1_lag58",0,0,"feature_1_lag58=0.533854308202611"
"feature_1_lag57",0,0,"feature_1_lag57=0.493558239847791"
"feature_1_lag56",0,0,"feature_1_lag56=0.389972799702694"
"feature_1_lag55",0,0,"feature_1_lag55=0.303899998606431"
"feature_1_lag54",0,0,"feature_1_lag54=0.191778197933184"
"feature_1_lag53",0,0,"feature_1_lag53=0.0979766102903471"
"feature_1_lag52",0,0,"feature_1_lag52=0.0249166445180183"
"feature_1_lag51",0,0,"feature_1_lag51=-0.102764318674283"
"feature_1_lag50",0,0,"feature_1_lag50=-0.156177113861159"
"feature_1_lag49",0,0,"feature_1_lag49=-0.102764318674283"
"feature_1_lag48",0,0,"feature_1_lag48=-0.156177113861159"
"feature_1_lag47",0,0,"feature_1_lag47=-0.129290242912579"
"feature_1_lag46",0,0,"feature_1_lag46=-0.156177113861159"
"feature_1_lag45",0,0,"feature_1_lag45=-0.32600962681306"
"feature_1_lag44",0,0,"feature_1_lag44=-0.296596501162284"
"feature_1_lag43",0,0,"feature_1_lag43=-0.32600962681306"
"feature_1_lag42",0,0,"feature_1_lag42=-0.296596501162284"
"feature_1_lag41",0,0,"feature_1_lag41=-0.239160453462205"
"feature_1_lag40",0,0,"feature_1_lag40=-0.267654076651055"
"feature_1_lag39",0,0,"feature_1_lag39=-0.32600962681306"
"feature_1_lag38",0,0,"feature_1_lag38=-0.448876551371487"
"feature_1_lag37",0,0,"feature_1_lag37=-0.616652454957925"
