"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=-0.845154254728517"
"feature_1_lag70",0,0,"feature_1_lag70=-0.803411956616673"
"feature_1_lag69",0,0,"feature_1_lag69=-0.645640399139414"
"feature_1_lag68",0,0,"feature_1_lag68=-0.50006178578912"
"feature_1_lag67",0,0,"feature_1_lag67=-0.465266086158487"
"feature_1_lag66",0,0,"feature_1_lag66=-0.465266086158487"
"feature_1_lag65",0,0,"feature_1_lag65=-0.50006178578912"
"feature_1_lag64",0,0,"feature_1_lag64=-0.53546276418555"
"feature_1_lag63",0,0,"feature_1_lag63=-0.645640399139414"
"feature_1_lag62",0,0,"feature_1_lag62=-0.722808829835618"
"feature_1_lag61",0,0,"feature_1_lag61=-0.722808829835618"
"feature_1_lag60",0,0,"feature_1_lag60=-0.683822564640447"
"feature_1_lag59",0,0,"feature_1_lag59=-0.722808829835618"
"feature_1_lag58",0,0,"feature_1_lag58=-0.762652243329713"
"feature_1_lag57",0,0,"feature_1_lag57=-0.722808829835618"
"feature_1_lag56",0,0,"feature_1_lag56=-0.683822564640447"
"feature_1_lag55",0,0,"feature_1_lag55=-0.722808829835618"
"feature_1_lag54",0,0,"feature_1_lag54=-0.683822564640447"
"feature_1_lag53",0,0,"feature_1_lag53=-0.645640399139414"
"feature_1_lag52",0,0,"feature_1_lag52=-0.683822564640447"
"feature_1_lag51",0,0,"feature_1_lag51=-0.683822564640447"
"feature_1_lag50",0,0,"feature_1_lag50=-0.762652243329713"
"feature_1_lag49",0,0,"feature_1_lag49=-0.803411956616673"
"feature_1_lag48",0,0,"feature_1_lag48=-0.762652243329713"
"feature_1_lag47",0,0,"feature_1_lag47=-0.762652243329713"
"feature_1_lag46",0,0,"feature_1_lag46=-0.683822564640447"
"feature_1_lag45",0,0,"feature_1_lag45=-0.53546276418555"
"feature_1_lag44",0,0,"feature_1_lag44=-0.431045640948945"
"feature_1_lag43",0,0,"feature_1_lag43=-0.364222170818312"
"feature_1_lag42",0,0,"feature_1_lag42=-0.331570104108191"
"feature_1_lag41",0,0,"feature_1_lag41=-0.331570104108191"
"feature_1_lag40",0,0,"feature_1_lag40=-0.331570104108191"
"feature_1_lag39",0,0,"feature_1_lag39=-0.364222170818312"
"feature_1_lag38",0,0,"feature_1_lag38=-0.397372828886155"
"feature_1_lag37",0,0,"feature_1_lag37=-0.431045640948945"
"feature_1_lag36",0,0,"feature_1_lag36=-0.50006178578912"
"feature_1_lag35",0,0,"feature_1_lag35=-0.571501752061618"
"feature_1_lag34",0,0,"feature_1_lag34=-0.645640399139414"
"feature_1_lag33",0,0,"feature_1_lag33=-0.722808829835618"
"feature_1_lag32",0,0,"feature_1_lag32=-0.803411956616673"
"feature_1_lag31",0,0,"feature_1_lag31=-0.931895312711004"
"feature_1_lag30",0,0,"feature_1_lag30=-0.977075319237591"
"feature_1_lag29",0,0,"feature_1_lag29=-1.07161265476275"
"feature_1_lag28",0,0,"feature_1_lag28=-1.07161265476275"
"feature_1_lag27",0,0,"feature_1_lag27=-1.02360487214864"
"feature_1_lag26",0,0,"feature_1_lag26=-0.931895312711004"
"feature_1_lag25",0,0,"feature_1_lag25=-0.845154254728517"
"feature_1_lag24",0,0,"feature_1_lag24=-0.645640399139414"
"feature_1_lag23",0,0,"feature_1_lag23=-0.50006178578912"
"feature_1_lag22",0,0,"feature_1_lag22=-0.364222170818312"
"feature_1_lag21",0.00013189533590644,1.64807807057741e-07,"feature_1_lag21=-0.267675926130186"
"feature_1_lag20",6.594766795322e-05,8.69818981693633e-08,"feature_1_lag20=-0.20553327414268"
"feature_1_lag19",0,0,"feature_1_lag19=-0.23639462998111"
"feature_1_lag18",0,0,"feature_1_lag18=-0.267675926130186"
"feature_1_lag17",0,0,"feature_1_lag17=-0.331570104108191"
"feature_1_lag16",0,0,"feature_1_lag16=-0.431045640948945"
"feature_1_lag15",0,0,"feature_1_lag15=-0.53546276418555"
"feature_1_lag14",0,0,"feature_1_lag14=-0.683822564640447"
"feature_1_lag13",0,0,"feature_1_lag13=-0.803411956616673"
"feature_1_lag12",0,0,"feature_1_lag12=-0.803411956616673"
"feature_1_lag11",0,0,"feature_1_lag11=-0.887953822089722"
"feature_1_lag10",0,0,"feature_1_lag10=-0.931895312711004"
"feature_1_lag9",0,0,"feature_1_lag9=-0.931895312711004"
"feature_1_lag8",0,0,"feature_1_lag8=-1.02360487214864"
"feature_1_lag7",3.44724031097865e-05,1.12580201952343e-08,"feature_1_lag7=-1.02360487214864"
"feature_1_lag6",-0.000137889612439157,3.00213871872962e-08,"feature_1_lag6=-1.02360487214864"
"feature_1_lag5",0,0,"feature_1_lag5=-0.977075319237591"
"feature_1_lag4",-0.000181314589231429,3.1144718148785e-07,"feature_1_lag4=-0.931895312711004"
"feature_1_lag3",-0.000205163265894938,1.17325136519392e-06,"feature_1_lag3=-1.02360487214864"
"feature_1_lag2",0.000237117140276655,5.43512989882453e-07,"feature_1_lag2=-1.12124920181245"
"feature_1_lag1",0.000396107365549847,2.23313387786317e-06,"feature_1_lag1=-1.12124920181245"
"feature_1_lag0",-3.34691156468558e-05,1.1278160510786e-06,"feature_1_lag0=-1.02360487214864"
"feature_2_lag71",0,0,"feature_2_lag71=0"
"feature_2_lag70",0,0,"feature_2_lag70=0.163737978517914"
"feature_2_lag69",0,0,"feature_2_lag69=0.163737978517914"
"feature_2_lag68",0,0,"feature_2_lag68=0.322729254058698"
"feature_2_lag67",0,0,"feature_2_lag67=0.322729254058698"
"feature_2_lag66",0,0,"feature_2_lag66=0.773790004543135"
"feature_2_lag65",0,0,"feature_2_lag65=1.05512423231916"
"feature_2_lag64",0,0,"feature_2_lag64=0.91626074064274"
"feature_2_lag63",0,0,"feature_2_lag63=0.91626074064274"
"feature_2_lag62",0,0,"feature_2_lag62=1.19055864295376"
"feature_2_lag61",0,0,"feature_2_lag61=0.773790004543135"
"feature_2_lag60",0,0,"feature_2_lag60=1.05512423231916"
"feature_2_lag59",0,0,"feature_2_lag59=0.322729254058698"
"feature_2_lag58",0,0,"feature_2_lag58=0.773790004543135"
"feature_2_lag57",0,0,"feature_2_lag57=0.627519604316685"
"feature_2_lag56",0,0,"feature_2_lag56=0.627519604316685"
"feature_2_lag55",0,0,"feature_2_lag55=0.322729254058698"
"feature_2_lag54",0,0,"feature_2_lag54=0.773790004543135"
"feature_2_lag53",0,0,"feature_2_lag53=1.05512423231916"
"feature_2_lag52",0,0,"feature_2_lag52=0.773790004543135"
"feature_2_lag51",0,0,"feature_2_lag51=0.627519604316685"
"feature_2_lag50",0,0,"feature_2_lag50=0.163737978517914"
"feature_2_lag49",0,0,"feature_2_lag49=0"
"feature_2_lag48",0,0,"feature_2_lag48=0.163737978517914"
"feature_2_lag47",0,0,"feature_2_lag47=0.322729254058698"
"feature_2_lag46",0,0,"feature_2_lag46=0"
"feature_2_lag45",0,0,"feature_2_lag45=0"
"feature_2_lag44",0,0,"feature_2_lag44=0"
"feature_2_lag43",4.74313233076755e-06,8.52764507106723e-09,"feature_2_lag43=0"
"feature_2_lag42",4.74313233076798e-06,8.52764507106753e-09,"feature_2_lag42=0"
"feature_2_lag41",0,0,"feature_2_lag41=0.163737978517914"
"feature_2_lag40",0,0,"feature_2_lag40=0.163737978517914"
"feature_2_lag39",0,0,"feature_2_lag39=-0.168776853422382"
"feature_2_lag38",0,0,"feature_2_lag38=0.163737978517914"
"feature_2_lag37",0,0,"feature_2_lag37=0.322729254058698"
"feature_2_lag36",0,0,"feature_2_lag36=0.163737978517914"
"feature_2_lag35",0,0,"feature_2_lag35=0.163737978517914"
"feature_2_lag34",0,0,"feature_2_lag34=0.322729254058698"
"feature_2_lag33",0,0,"feature_2_lag33=0.322729254058698"
"feature_2_lag32",0,0,"feature_2_lag32=0.163737978517914"
"feature_2_lag31",0,0,"feature_2_lag31=0.322729254058698"
"feature_2_lag30",0,0,"feature_2_lag30=0.477241301136777"
"feature_2_lag29",0,0,"feature_2_lag29=0.627519604316685"
"feature_2_lag28",0,0,"feature_2_lag28=0.627519604316685"
"feature_2_lag27",0,0,"feature_2_lag27=0.627519604316685"
"feature_2_lag26",0,0,"feature_2_lag26=0.322729254058698"
"feature_2_lag25",0,0,"feature_2_lag25=0.163737978517914"
"feature_2_lag24",0,0,"feature_2_lag24=0.477241301136777"
"feature_2_lag23",0,0,"feature_2_lag23=0.163737978517914"
"feature_2_lag22",0,0,"feature_2_lag22=0.322729254058698"
"feature_2_lag21",0,0,"feature_2_lag21=0.163737978517914"
"feature_2_lag20",0,0,"feature_2_lag20=0.627519604316685"
"feature_2_lag19",0,0,"feature_2_lag19=0.91626074064274"
"feature_2_lag18",0,0,"feature_2_lag18=1.05512423231916"
"feature_2_lag17",0,0,"feature_2_lag17=0.773790004543135"
"feature_2_lag16",0,0,"feature_2_lag16=0.627519604316685"
"feature_2_lag15",0,0,"feature_2_lag15=0.773790004543135"
"feature_2_lag14",0,0,"feature_2_lag14=0.773790004543135"
"feature_2_lag13",0,0,"feature_2_lag13=0.477241301136777"
"feature_2_lag12",0,0,"feature_2_lag12=0.773790004543135"
"feature_2_lag11",0,0,"feature_2_lag11=1.05512423231916"
"feature_2_lag10",0,0,"feature_2_lag10=1.3227292540587"
"feature_2_lag9",0.000507071870316733,2.43589151052483e-06,"feature_2_lag9=1.3227292540587"
"feature_2_lag8",0.000361891654576402,1.46259271293948e-06,"feature_2_lag8=1.45178967798206"
"feature_2_lag7",0.000617558487646282,1.55351995641743e-06,"feature_2_lag7=1.57788293118239"
"feature_2_lag6",0.000255388531346312,6.15485949472836e-07,"feature_2_lag6=1.19055864295376"
"feature_2_lag5",-0.00772170391539494,0.000231242509684297,"feature_2_lag5=1.19055864295376"
"feature_2_lag4",-0.00498034358203243,0.000207480055780344,"feature_2_lag4=1.3227292540587"
"feature_2_lag3",-0.031957253409595,0.00270233582073431,"feature_2_lag3=1.19055864295376"
"feature_2_lag2",-0.0218830683184385,0.00174382906656905,"feature_2_lag2=1.19055864295376"
"feature_2_lag1",-0.279129080950538,0.147990373269183,"feature_2_lag1=0.91626074064274"
"feature_2_lag0",-0.216485910573647,0.114695162746838,"feature_2_lag0=1.3227292540587"
"feature_3_lag71",0,0,"feature_3_lag71=-1.44092808404906"
"feature_3_lag70",0,0,"feature_3_lag70=-1.33982691840019"
"feature_3_lag69",0,0,"feature_3_lag69=-0.629843465400313"
"feature_3_lag68",0,0,"feature_3_lag68=-0.0627281894692397"
"feature_3_lag67",0,0,"feature_3_lag67=0.12067246191207"
"feature_3_lag66",0,0,"feature_3_lag66=0"
"feature_3_lag65",0,0,"feature_3_lag65=0"
"feature_3_lag64",0,0,"feature_3_lag64=-0.127124727432415"
"feature_3_lag63",0,0,"feature_3_lag63=0"
"feature_3_lag62",0,0,"feature_3_lag62=-0.261158403070326"
"feature_3_lag61",0,0,"feature_3_lag61=-0.402598201526498"
"feature_3_lag60",0,0,"feature_3_lag60=-0.476262892801857"
"feature_3_lag59",0,0,"feature_3_lag59=-0.551986128401637"
"feature_3_lag58",0,0,"feature_3_lag58=-0.709913907324388"
"feature_3_lag57",0,0,"feature_3_lag57=-0.792280092597435"
"feature_3_lag56",0,0,"feature_3_lag56=-0.709913907324388"
"feature_3_lag55",0,0,"feature_3_lag55=-0.709913907324388"
"feature_3_lag54",0,0,"feature_3_lag54=-0.261158403070326"
"feature_3_lag53",0,0,"feature_3_lag53=-0.193247870693607"
"feature_3_lag52",0,0,"feature_3_lag52=-0.402598201526498"
"feature_3_lag51",0,0,"feature_3_lag51=-0.709913907324388"
"feature_3_lag50",0,0,"feature_3_lag50=-0.551986128401637"
"feature_3_lag49",0,0,"feature_3_lag49=-0.709913907324388"
"feature_3_lag48",0,0,"feature_3_lag48=-0.792280092597435"
"feature_3_lag47",0,0,"feature_3_lag47=-0.551986128401637"
"feature_3_lag46",0,0,"feature_3_lag46=-0.877028495026851"
"feature_3_lag45",0,0,"feature_3_lag45=-0.792280092597435"
"feature_3_lag44",0,0,"feature_3_lag44=-0.629843465400313"
"feature_3_lag43",0,0,"feature_3_lag43=-0.709913907324388"
"feature_3_lag42",0,0,"feature_3_lag42=-0.792280092597435"
"feature_3_lag41",0,0,"feature_3_lag41=-0.709913907324388"
"feature_3_lag40",0,0,"feature_3_lag40=-0.792280092597435"
"feature_3_lag39",0,0,"feature_3_lag39=-0.877028495026851"
"feature_3_lag38",0,0,"feature_3_lag38=-1.05403831784906"
"feature_3_lag37",0,0,"feature_3_lag37=-0.964249637214819"
"feature_3_lag36",0,0,"feature_3_lag36=-0.964249637214819"
"feature_3_lag35",0,0,"feature_3_lag35=-0.877028495026851"
"feature_3_lag34",0,0,"feature_3_lag34=-0.877028495026851"
"feature_3_lag33",0,0,"feature_3_lag33=-1.05403831784906"
"feature_3_lag32",0,0,"feature_3_lag32=-0.877028495026851"
"feature_3_lag31",0,0,"feature_3_lag31=-0.792280092597435"
"feature_3_lag30",0,0,"feature_3_lag30=-0.476262892801857"
"feature_3_lag29",0,0,"feature_3_lag29=-0.402598201526498"
"feature_3_lag28",0,0,"feature_3_lag28=-0.127124727432415"
"feature_3_lag27",0,0,"feature_3_lag27=-0.877028495026851"
"feature_3_lag26",0,0,"feature_3_lag26=-0.964249637214819"
"feature_3_lag25",0,0,"feature_3_lag25=-0.964249637214819"
"feature_3_lag24",0,0,"feature_3_lag24=-0.877028495026851"
"feature_3_lag23",0,0,"feature_3_lag23=-0.709913907324388"
"feature_3_lag22",0,0,"feature_3_lag22=-0.629843465400313"
"feature_3_lag21",0,0,"feature_3_lag21=-0.330919766734279"
"feature_3_lag20",0,0,"feature_3_lag20=-0.261158403070326"
"feature_3_lag19",0,0,"feature_3_lag19=0.061115694647252"
"feature_3_lag18",0,0,"feature_3_lag18=-0.261158403070326"
"feature_3_lag17",0,0,"feature_3_lag17=-0.476262892801857"
"feature_3_lag16",0,0,"feature_3_lag16=-0.792280092597435"
"feature_3_lag15",0,0,"feature_3_lag15=-0.709913907324388"
"feature_3_lag14",0,0,"feature_3_lag14=-0.402598201526498"
"feature_3_lag13",0,0,"feature_3_lag13=-0.709913907324388"
"feature_3_lag12",0,0,"feature_3_lag12=-0.476262892801857"
"feature_3_lag11",0,0,"feature_3_lag11=-0.476262892801857"
"feature_3_lag10",0,0,"feature_3_lag10=-0.551986128401637"
"feature_3_lag9",0,0,"feature_3_lag9=-0.551986128401637"
"feature_3_lag8",0,0,"feature_3_lag8=-0.476262892801857"
"feature_3_lag7",0,0,"feature_3_lag7=-0.551986128401637"
"feature_3_lag6",0,0,"feature_3_lag6=-0.402598201526498"
"feature_3_lag5",0,0,"feature_3_lag5=-0.551986128401637"
"feature_3_lag4",0,0,"feature_3_lag4=-0.330919766734279"
"feature_3_lag3",0,0,"feature_3_lag3=-0.330919766734279"
"feature_3_lag2",0,0,"feature_3_lag2=-0.551986128401637"
"feature_3_lag1",0,0,"feature_3_lag1=-0.551986128401637"
"feature_3_lag0",0,0,"feature_3_lag0=-0.127124727432415"
"feature_4_lag71",0,0,"feature_4_lag71=0.197470246064238"
"feature_4_lag70",0,0,"feature_4_lag70=0.347803171512822"
"feature_4_lag69",0,0,"feature_4_lag69=0.488011059805655"
"feature_4_lag68",0,0,"feature_4_lag68=0.488011059805655"
"feature_4_lag67",0,0,"feature_4_lag67=0.433014252370079"
"feature_4_lag66",0,0,"feature_4_lag66=0.258961249855907"
"feature_4_lag65",0,0,"feature_4_lag65=0.101385536480833"
"feature_4_lag64",0,0,"feature_4_lag64=-0.145181497160895"
"feature_4_lag63",0,0,"feature_4_lag63=-0.585483236760454"
"feature_4_lag62",0,0,"feature_4_lag62=-0.484993688905635"
"feature_4_lag61",0,0,"feature_4_lag61=-0.639165658153402"
"feature_4_lag60",0,0,"feature_4_lag60=-0.755279933184494"
"feature_4_lag59",0,0,"feature_4_lag59=-0.818815160541639"
"feature_4_lag58",0,0,"feature_4_lag58=-0.818815160541639"
"feature_4_lag57",0,0,"feature_4_lag57=-0.818815160541639"
"feature_4_lag56",0,0,"feature_4_lag56=-0.961304323271423"
"feature_4_lag55",0,0,"feature_4_lag55=-0.887075556435995"
"feature_4_lag54",0,0,"feature_4_lag54=-0.818815160541639"
"feature_4_lag53",0,0,"feature_4_lag53=-0.639165658153402"
"feature_4_lag52",0,0,"feature_4_lag52=-0.347803171512822"
"feature_4_lag51",0,0,"feature_4_lag51=0"
"feature_4_lag50",0,0,"feature_4_lag50=0.133961541476505"
"feature_4_lag49",0,0,"feature_4_lag49=0.376588242032969"
"feature_4_lag48",0,0,"feature_4_lag48=0.488011059805655"
"feature_4_lag47",0,0,"feature_4_lag47=0.460684541257307"
"feature_4_lag46",0,0,"feature_4_lag46=0.488011059805655"
"feature_4_lag45",0,0,"feature_4_lag45=0.541682058188486"
"feature_4_lag44",0,0,"feature_4_lag44=0.515006311094365"
"feature_4_lag43",0.000214699945646213,3.40391069368043e-07,"feature_4_lag43=0.541682058188486"
"feature_4_lag42",0.000120373597427115,1.86345873932181e-07,"feature_4_lag42=0.433014252370079"
"feature_4_lag41",0,0,"feature_4_lag41=0.433014252370079"
"feature_4_lag40",0,0,"feature_4_lag40=0.318615453920825"
"feature_4_lag39",0,0,"feature_4_lag39=0.289007704401785"
"feature_4_lag38",0,0,"feature_4_lag38=0.318615453920825"
"feature_4_lag37",0,0,"feature_4_lag37=0.165980568529998"
"feature_4_lag36",0,0,"feature_4_lag36=0.0682224347172904"
"feature_4_lag35",0,0,"feature_4_lag35=0"
"feature_4_lag34",0,0,"feature_4_lag34=-0.107674380583798"
"feature_4_lag33",0,0,"feature_4_lag33=-0.145181497160895"
"feature_4_lag32",0,0,"feature_4_lag32=-0.30498664449193"
"feature_4_lag31",0,0,"feature_4_lag31=-0.484993688905635"
"feature_4_lag30",0,0,"feature_4_lag30=-0.391979966536829"
"feature_4_lag29",0,0,"feature_4_lag29=-0.30498664449193"
"feature_4_lag28",0,0,"feature_4_lag28=0"
"feature_4_lag27",0,0,"feature_4_lag27=0.347803171512822"
"feature_4_lag26",0,0,"feature_4_lag26=0.433014252370079"
"feature_4_lag25",0,0,"feature_4_lag25=0.541682058188486"
"feature_4_lag24",0,0,"feature_4_lag24=0.816805045820239"
"feature_4_lag23",0,0,"feature_4_lag23=0.816805045820239"
"feature_4_lag22",0,0,"feature_4_lag22=0.645402555251842"
"feature_4_lag21",0,0,"feature_4_lag21=0.541682058188486"
"feature_4_lag20",0,0,"feature_4_lag20=0.404986883186551"
"feature_4_lag19",0,0,"feature_4_lag19=0.289007704401785"
"feature_4_lag18",0,0,"feature_4_lag18=0.0682224347172904"
"feature_4_lag17",0,0,"feature_4_lag17=0.0344393008692275"
"feature_4_lag16",0,0,"feature_4_lag16=0.197470246064238"
"feature_4_lag15",0,0,"feature_4_lag15=0"
"feature_4_lag14",0,0,"feature_4_lag14=-0.484993688905635"
"feature_4_lag13",0,0,"feature_4_lag13=-0.484993688905635"
"feature_4_lag12",0,0,"feature_4_lag12=-0.639165658153402"
"feature_4_lag11",0,0,"feature_4_lag11=-0.53419032937651"
"feature_4_lag10",0,0,"feature_4_lag10=-0.639165658153402"
"feature_4_lag9",0,0,"feature_4_lag9=-0.695606343025645"
"feature_4_lag8",0,0,"feature_4_lag8=-0.818815160541639"
"feature_4_lag7",0,0,"feature_4_lag7=-0.695606343025645"
"feature_4_lag6",0,0,"feature_4_lag6=-0.585483236760454"
"feature_4_lag5",0,0,"feature_4_lag5=-0.263411970994685"
"feature_4_lag4",0,0,"feature_4_lag4=-0.107674380583798"
"feature_4_lag3",0,0,"feature_4_lag3=0.0344393008692275"
"feature_4_lag2",0,0,"feature_4_lag2=0"
"feature_4_lag1",0,0,"feature_4_lag1=0.101385536480833"
"feature_4_lag0",0,0,"feature_4_lag0=0.101385536480833"
"feature_5_lag71",0,0,"feature_5_lag71=-0.0403902127441927"
"feature_5_lag70",0,0,"feature_5_lag70=0"
"feature_5_lag69",0.000109774150437925,1.18115100640106e-07,"feature_5_lag69=0.154270837425931"
"feature_5_lag68",0.000154970935840804,1.48524954707549e-07,"feature_5_lag68=0.298556350364731"
"feature_5_lag67",4.42463459279674e-05,3.91547825595471e-08,"feature_5_lag67=0.367511333917574"
"feature_5_lag66",0.000209494328143783,5.69899812171689e-07,"feature_5_lag66=0.367511333917574"
"feature_5_lag65",3.95107060148392e-05,1.4789329482231e-08,"feature_5_lag65=0.333280147647717"
"feature_5_lag64",3.95107060148336e-05,1.47893294822268e-08,"feature_5_lag64=0.263318042365248"
"feature_5_lag63",0,0,"feature_5_lag63=0.154270837425931"
"feature_5_lag62",0,0,"feature_5_lag62=0.0785141576782611"
"feature_5_lag61",0,0,"feature_5_lag61=-0.0815966368262435"
"feature_5_lag60",0,0,"feature_5_lag60=-0.255706773127001"
