"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=0.34005394279554"
"feature_1_lag70",0,0,"feature_1_lag70=0.304226581679284"
"feature_1_lag69",0,0,"feature_1_lag69=0.322194878640212"
"feature_1_lag68",0,0,"feature_1_lag68=0.375452187273637"
"feature_1_lag67",0.000193483281477119,7.48715604223083e-07,"feature_1_lag67=0.392995131265112"
"feature_1_lag66",0,0,"feature_1_lag66=0.392995131265112"
"feature_1_lag65",0,0,"feature_1_lag65=0.304226581679284"
"feature_1_lag64",0,0,"feature_1_lag64=0.212673296114792"
"feature_1_lag63",0,0,"feature_1_lag63=0.175211146565498"
"feature_1_lag62",0,0,"feature_1_lag62=0.137239237600527"
"feature_1_lag61",0,0,"feature_1_lag61=0.0987361755870815"
"feature_1_lag60",0,0,"feature_1_lag60=0.137239237600527"
"feature_1_lag59",0,0,"feature_1_lag59=0.0987361755870815"
"feature_1_lag58",0,0,"feature_1_lag58=0.0987361755870815"
"feature_1_lag57",0,0,"feature_1_lag57=0.0987361755870815"
"feature_1_lag56",0,0,"feature_1_lag56=0.0596790272431932"
"feature_1_lag55",0,0,"feature_1_lag55=0"
"feature_1_lag54",0,0,"feature_1_lag54=0"
"feature_1_lag53",0,0,"feature_1_lag53=0.137239237600527"
"feature_1_lag52",0,0,"feature_1_lag52=0.286147022724027"
"feature_1_lag51",0,0,"feature_1_lag51=0.427777665367445"
"feature_1_lag50",0,0,"feature_1_lag50=0.496176582710179"
"feature_1_lag49",0,0,"feature_1_lag49=0.479218577996115"
"feature_1_lag48",0,0,"feature_1_lag48=0.462167138627728"
"feature_1_lag47",0,0,"feature_1_lag47=0.462167138627728"
"feature_1_lag46",0,0,"feature_1_lag46=0.496176582710179"
"feature_1_lag45",0,0,"feature_1_lag45=0.546504979956024"
"feature_1_lag44",0,0,"feature_1_lag44=0.612389120383182"
"feature_1_lag43",0,0,"feature_1_lag43=0.676955178406144"
"feature_1_lag42",0,0,"feature_1_lag42=0.740279233489913"
"feature_1_lag41",0,0,"feature_1_lag41=0.771497332230665"
"feature_1_lag40",0,0,"feature_1_lag40=0.833085857612764"
"feature_1_lag39",0,0,"feature_1_lag39=0.893593630775174"
"feature_1_lag38",0,0,"feature_1_lag38=0.86347129029197"
"feature_1_lag37",0,0,"feature_1_lag37=0.786998975909099"
"feature_1_lag36",0,0,"feature_1_lag36=0.692899820298672"
"feature_1_lag35",0,0,"feature_1_lag35=0.563104039389604"
"feature_1_lag34",0,0,"feature_1_lag34=0.708767987766026"
"feature_1_lag33",0,0,"feature_1_lag33=0.833085857612764"
"feature_1_lag32",0,0,"feature_1_lag32=0.771497332230665"
"feature_1_lag31",0,0,"feature_1_lag31=0.644831978122176"
"feature_1_lag30",0,0,"feature_1_lag30=0.479218577996115"
"feature_1_lag29",0,0,"feature_1_lag29=0.375452187273637"
"feature_1_lag28",0,0,"feature_1_lag28=0.249645681171819"
"feature_1_lag27",0,0,"feature_1_lag27=0.212673296114792"
"feature_1_lag26",-0.000117715477578229,1.31276213634983e-07,"feature_1_lag26=0.249645681171819"
"feature_1_lag25",0,0,"feature_1_lag25=0.286147022724027"
"feature_1_lag24",0,0,"feature_1_lag24=0.322194878640212"
"feature_1_lag23",0,0,"feature_1_lag23=0.410436374459656"
"feature_1_lag22",0,0,"feature_1_lag22=0.496176582710179"
"feature_1_lag21",0,0,"feature_1_lag21=0.596044796446376"
"feature_1_lag20",0,0,"feature_1_lag20=0.628651103585267"
"feature_1_lag19",0,0,"feature_1_lag19=0.579616868193149"
"feature_1_lag18",0,0,"feature_1_lag18=0.612389120383182"
"feature_1_lag17",0,0,"feature_1_lag17=0.612389120383182"
"feature_1_lag16",0,0,"feature_1_lag16=0.612389120383182"
"feature_1_lag15",0,0,"feature_1_lag15=0.628651103585267"
"feature_1_lag14",0,0,"feature_1_lag14=0.496176582710179"
"feature_1_lag13",0.000123456582529258,1.6168723575932e-07,"feature_1_lag13=0.375452187273637"
"feature_1_lag12",0,0,"feature_1_lag12=0.304226581679284"
"feature_1_lag11",0,0,"feature_1_lag11=0.194004660337461"
"feature_1_lag10",-0.000144505421328603,1.9782773804233e-07,"feature_1_lag10=0.212673296114792"
"feature_1_lag9",0,0,"feature_1_lag9=0.267954108970474"
"feature_1_lag8",0,0,"feature_1_lag8=0.322194878640212"
"feature_1_lag7",0,0,"feature_1_lag7=0.375452187273637"
"feature_1_lag6",0,0,"feature_1_lag6=0.392995131265112"
"feature_1_lag5",-0.000487648204293695,2.25284941090293e-06,"feature_1_lag5=0.427777665367445"
"feature_1_lag4",0.000413095735742394,9.97819463308444e-07,"feature_1_lag4=0.462167138627728"
"feature_1_lag3",0,0,"feature_1_lag3=0.563104039389604"
"feature_1_lag2",-0.00017818381901771,6.34989467194724e-07,"feature_1_lag2=0.692899820298672"
"feature_1_lag1",0.000551264256136308,6.07784560187034e-06,"feature_1_lag1=0.802430316261663"
"feature_1_lag0",-0.00228580044513599,3.088709052355e-05,"feature_1_lag0=0.878564920404511"
"feature_2_lag71",0,0,"feature_2_lag71=0.481070463038621"
"feature_2_lag70",0,0,"feature_2_lag70=0.553849088601163"
"feature_2_lag69",0,0,"feature_2_lag69=0.442374944210964"
"feature_2_lag68",-0.000115829797613631,2.68330840304296e-07,"feature_2_lag68=0.588128545484382"
"feature_2_lag67",0,0,"feature_2_lag67=0.518194264290555"
"feature_2_lag66",0,0,"feature_2_lag66=0.76924417909506"
"feature_2_lag65",0,0,"feature_2_lag65=1.53733994871839"
"feature_2_lag64",0,0,"feature_2_lag64=1.52863125745984"
"feature_2_lag63",0,0,"feature_2_lag63=1.7476828438541"
"feature_2_lag62",0,0,"feature_2_lag62=1.58684123105188"
"feature_2_lag61",0,0,"feature_2_lag61=1.50164833289444"
"feature_2_lag60",0,0,"feature_2_lag60=1.58684123105188"
"feature_2_lag59",0,0,"feature_2_lag59=1.59466293832191"
"feature_2_lag58",0,0,"feature_2_lag58=0.894549337402786"
"feature_2_lag57",0,0,"feature_2_lag57=0.401994660841795"
"feature_2_lag56",0,0,"feature_2_lag56=-0.0632399147328333"
"feature_2_lag55",0,0,"feature_2_lag55=-0.201656479744299"
"feature_2_lag54",0,0,"feature_2_lag54=0.315667662219648"
"feature_2_lag53",0,0,"feature_2_lag53=0.481070463038621"
"feature_2_lag52",0,0,"feature_2_lag52=0.553849088601163"
"feature_2_lag51",0,0,"feature_2_lag51=0.683534247119287"
"feature_2_lag50",0,0,"feature_2_lag50=0.220921021702683"
"feature_2_lag49",0,0,"feature_2_lag49=0.0597459758263671"
"feature_2_lag48",0,0,"feature_2_lag48=-0.0632399147328333"
"feature_2_lag47",0,0,"feature_2_lag47=0.116305824552736"
"feature_2_lag46",0,0,"feature_2_lag46=-0.0632399147328333"
"feature_2_lag45",0,0,"feature_2_lag45=-0.0632399147328333"
"feature_2_lag44",0,0,"feature_2_lag44=-0.0632399147328333"
"feature_2_lag43",5.52456791016537e-05,6.10417011880579e-08,"feature_2_lag43=0.315667662219648"
"feature_2_lag42",2.94369296450991e-05,1.73306565386103e-08,"feature_2_lag42=0.359804894407854"
"feature_2_lag41",0.000611481228748426,2.86087415294918e-06,"feature_2_lag41=1.16329578080181"
"feature_2_lag40",-0.000165146707557505,1.63329084970539e-06,"feature_2_lag40=1.56266011293814"
"feature_2_lag39",3.12304358404431e-05,1.95068024556806e-08,"feature_2_lag39=1.26659057262387"
"feature_2_lag38",-2.79416059104282e-05,1.24920018922714e-08,"feature_2_lag38=1.02210863268449"
"feature_2_lag37",0.000211395030386685,6.8312644952578e-07,"feature_2_lag37=0.588128545484382"
"feature_2_lag36",8.23876269853252e-05,6.43047260236398e-08,"feature_2_lag36=0.652896098769474"
"feature_2_lag35",0.000184527216711938,3.22581729860097e-07,"feature_2_lag35=-0.0632399147328333"
"feature_2_lag34",0,0,"feature_2_lag34=-0.277698559252715"
"feature_2_lag33",0,0,"feature_2_lag33=-0.277698559252715"
"feature_2_lag32",0,0,"feature_2_lag32=-0.201656479744299"
"feature_2_lag31",0,0,"feature_2_lag31=-0.277698559252715"
"feature_2_lag30",0,0,"feature_2_lag30=-0.446150911398837"
"feature_2_lag29",0,0,"feature_2_lag29=-0.277698559252715"
"feature_2_lag28",0,0,"feature_2_lag28=0.652896098769474"
"feature_2_lag27",0,0,"feature_2_lag27=-0.130324700436475"
"feature_2_lag26",0,0,"feature_2_lag26=-0.539923379866662"
"feature_2_lag25",0,0,"feature_2_lag25=-0.750949955462647"
"feature_2_lag24",0,0,"feature_2_lag24=-0.870497429449613"
"feature_2_lag23",0,0,"feature_2_lag23=-0.130324700436475"
"feature_2_lag22",0,0,"feature_2_lag22=-0.446150911398837"
"feature_2_lag21",0,0,"feature_2_lag21=-0.641176396932193"
"feature_2_lag20",0,0,"feature_2_lag20=0.0597459758263671"
"feature_2_lag19",0,0,"feature_2_lag19=1.53733994871839"
"feature_2_lag18",0,0,"feature_2_lag18=1.44345637083274"
"feature_2_lag17",0,0,"feature_2_lag17=1.7302220331934"
"feature_2_lag16",0,0,"feature_2_lag16=0.917368270455159"
"feature_2_lag15",0,0,"feature_2_lag15=1.2933171174031"
"feature_2_lag14",0,0,"feature_2_lag14=0.588128545484382"
"feature_2_lag13",0.000298226699954029,6.62851695875741e-07,"feature_2_lag13=-0.358987911450892"
"feature_2_lag12",3.41056669175499e-05,6.07111618108567e-08,"feature_2_lag12=-0.641176396932193"
"feature_2_lag11",-0.000166486886504463,1.98312050802185e-07,"feature_2_lag11=-0.750949955462647"
"feature_2_lag10",-0.000304438909393268,4.49582921913748e-07,"feature_2_lag10=-0.539923379866662"
"feature_2_lag9",0,0,"feature_2_lag9=-0.358987911450892"
"feature_2_lag8",0,0,"feature_2_lag8=-0.130324700436475"
"feature_2_lag7",-0.000126867293563909,2.11771246163806e-07,"feature_2_lag7=0"
"feature_2_lag6",0.00025653210147904,5.48950203644215e-07,"feature_2_lag6=0"
"feature_2_lag5",-0.000783790266966128,1.21609701793387e-05,"feature_2_lag5=-0.0632399147328333"
"feature_2_lag4",0.000586900070486663,4.38083171605167e-05,"feature_2_lag4=-0.130324700436475"
"feature_2_lag3",0.0155494563974703,0.00274979743485402,"feature_2_lag3=-0.0632399147328333"
"feature_2_lag2",-0.0695459829791923,0.00835553304034197,"feature_2_lag2=0.315667662219648"
"feature_2_lag1",0.202110147449241,0.113346258259318,"feature_2_lag1=0.553849088601163"
"feature_2_lag0",-0.391689721442533,0.247325744856734,"feature_2_lag0=0.871033589245712"
"feature_3_lag71",0,0,"feature_3_lag71=0.464840494151584"
"feature_3_lag70",0,0,"feature_3_lag70=0.464840494151584"
"feature_3_lag69",0,0,"feature_3_lag69=0.690076212919324"
"feature_3_lag68",0,0,"feature_3_lag68=0.555490547961392"
"feature_3_lag67",0,0,"feature_3_lag67=0.0945574311125989"
"feature_3_lag66",0,0,"feature_3_lag66=0.419232968652301"
"feature_3_lag65",0,0,"feature_3_lag65=1.21248894908271"
"feature_3_lag64",0,0,"feature_3_lag64=1.42302504961645"
"feature_3_lag63",0,0,"feature_3_lag63=1.75169665356705"
"feature_3_lag62",0,0,"feature_3_lag62=1.42302504961645"
"feature_3_lag61",5.81527339821752e-05,3.20375412909629e-08,"feature_3_lag61=0.997832507832185"
"feature_3_lag60",5.81527339821752e-05,3.20375412909629e-08,"feature_3_lag60=1.21248894908271"
"feature_3_lag59",6.93158774390523e-05,1.5172707995197e-08,"feature_3_lag59=1.38123987877956"
"feature_3_lag58",6.93158774390473e-05,1.51727079951948e-08,"feature_3_lag58=0.281261412610365"
"feature_3_lag57",0,0,"feature_3_lag57=-0.191596034465981"
"feature_3_lag56",0,0,"feature_3_lag56=-0.0953796799616912"
"feature_3_lag55",0,0,"feature_3_lag55=-0.0953796799616912"
"feature_3_lag54",0,0,"feature_3_lag54=0.141532209888994"
"feature_3_lag53",0,0,"feature_3_lag53=0.555490547961392"
"feature_3_lag52",0,0,"feature_3_lag52=0.690076212919324"
"feature_3_lag51",0,0,"feature_3_lag51=0.690076212919324"
"feature_3_lag50",0,0,"feature_3_lag50=0.419232968652301"
"feature_3_lag49",0,0,"feature_3_lag49=0.327445034860195"
"feature_3_lag48",0,0,"feature_3_lag48=0.281261412610365"
"feature_3_lag47",0,0,"feature_3_lag47=0.281261412610365"
"feature_3_lag46",0,0,"feature_3_lag46=0.464840494151584"
"feature_3_lag45",0,0,"feature_3_lag45=0.600536172173211"
"feature_3_lag44",0,0,"feature_3_lag44=0.866992856062019"
"feature_3_lag43",0,0,"feature_3_lag43=1.04110117964011"
"feature_3_lag42",0,0,"feature_3_lag42=0.866992856062019"
"feature_3_lag41",0,0,"feature_3_lag41=1.50612085673168"
"feature_3_lag40",0,0,"feature_3_lag40=2.22694473983326"
"feature_3_lag39",0,0,"feature_3_lag39=1.12712980950387"
"feature_3_lag38",0,0,"feature_3_lag38=0.77889122513759"
"feature_3_lag37",0,0,"feature_3_lag37=0.0473806096553441"
"feature_3_lag36",0,0,"feature_3_lag36=0"
"feature_3_lag35",0,0,"feature_3_lag35=-0.240022577055543"
"feature_3_lag34",0,0,"feature_3_lag34=-0.288663872199263"
"feature_3_lag33",0,0,"feature_3_lag33=-0.240022577055543"
"feature_3_lag32",0,0,"feature_3_lag32=-0.240022577055543"
"feature_3_lag31",0,0,"feature_3_lag31=-0.191596034465981"
"feature_3_lag30",0,0,"feature_3_lag30=-0.143382356486877"
"feature_3_lag29",0,0,"feature_3_lag29=-0.191596034465981"
"feature_3_lag28",0,0,"feature_3_lag28=0"
"feature_3_lag27",0,0,"feature_3_lag27=0.188306669170911"
"feature_3_lag26",0,0,"feature_3_lag26=0.373435014519441"
"feature_3_lag25",0,0,"feature_3_lag25=0.373435014519441"
"feature_3_lag24",0,0,"feature_3_lag24=0.373435014519441"
"feature_3_lag23",0,0,"feature_3_lag23=0.419232968652301"
"feature_3_lag22",0,0,"feature_3_lag22=0.327445034860195"
"feature_3_lag21",0,0,"feature_3_lag21=0.464840494151584"
"feature_3_lag20",0,0,"feature_3_lag20=0.281261412610365"
"feature_3_lag19",0,0,"feature_3_lag19=0.510259168072802"
"feature_3_lag18",0,0,"feature_3_lag18=1.9522249823329"
"feature_3_lag17",0,0,"feature_3_lag17=2.07080553270796"
"feature_3_lag16",0,0,"feature_3_lag16=0.510259168072802"
