"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=-0.146865490040097"
"feature_1_lag70",0,0,"feature_1_lag70=-0.351872712829685"
"feature_1_lag69",0,0,"feature_1_lag69=-0.389865837836906"
"feature_1_lag68",0,0,"feature_1_lag68=-0.511945644849659"
"feature_1_lag67",0,0,"feature_1_lag67=-0.429147108056208"
"feature_1_lag66",0,0,"feature_1_lag66=-0.315085924734061"
"feature_1_lag65",0,0,"feature_1_lag65=-0.429147108056208"
"feature_1_lag64",0,0,"feature_1_lag64=-0.511945644849659"
"feature_1_lag63",0,0,"feature_1_lag63=-0.648419258067395"
"feature_1_lag62",0,0,"feature_1_lag62=-0.601119364157487"
"feature_1_lag61",0,0,"feature_1_lag61=-0.601119364157487"
"feature_1_lag60",0,0,"feature_1_lag60=-0.601119364157487"
"feature_1_lag59",0,0,"feature_1_lag59=-0.46980694655107"
"feature_1_lag58",-0.000107928716358352,2.32972156295232e-07,"feature_1_lag58=-0.211253526320581"
"feature_1_lag57",0,0,"feature_1_lag57=0.0539021140460418"
"feature_1_lag56",0,0,"feature_1_lag56=0"
"feature_1_lag55",0,0,"feature_1_lag55=0"
"feature_1_lag54",0,0,"feature_1_lag54=0"
"feature_1_lag53",0,0,"feature_1_lag53=-0.146865490040097"
"feature_1_lag52",0,0,"feature_1_lag52=-0.0279215076718641"
"feature_1_lag51",0,0,"feature_1_lag51=0.105407771190394"
"feature_1_lag50",0,0,"feature_1_lag50=0.224965952618291"
"feature_1_lag49",0,0,"feature_1_lag49=0.224965952618291"
"feature_1_lag48",0,0,"feature_1_lag48=0.0799411087141637"
"feature_1_lag47",0,0,"feature_1_lag47=0"
"feature_1_lag46",0,0,"feature_1_lag46=0.027264469662238"
"feature_1_lag45",0,0,"feature_1_lag45=0.027264469662238"
"feature_1_lag44",0,0,"feature_1_lag44=0.0539021140460418"
"feature_1_lag43",0,0,"feature_1_lag43=0.027264469662238"
"feature_1_lag42",0,0,"feature_1_lag42=-0.0279215076718641"
"feature_1_lag41",0,0,"feature_1_lag41=0.0539021140460418"
"feature_1_lag40",0,0,"feature_1_lag40=0.154721021817009"
"feature_1_lag39",0,0,"feature_1_lag39=0.178612311516325"
"feature_1_lag38",0,0,"feature_1_lag38=0.202020915726916"
"feature_1_lag37",0,0,"feature_1_lag37=0.202020915726916"
"feature_1_lag36",0,0,"feature_1_lag36=0.154721021817009"
"feature_1_lag35",0,0,"feature_1_lag35=0.0539021140460418"
"feature_1_lag34",0,0,"feature_1_lag34=-0.0565325045035726"
"feature_1_lag33",0,0,"feature_1_lag33=-0.279431219287292"
"feature_1_lag32",0,0,"feature_1_lag32=-0.46980694655107"
"feature_1_lag31",0,0,"feature_1_lag31=-0.601119364157487"
"feature_1_lag30",0.000297167575276835,8.3660748438234e-07,"feature_1_lag30=-0.648419258067395"
"feature_1_lag29",0,0,"feature_1_lag29=-0.429147108056208"
"feature_1_lag28",0,0,"feature_1_lag28=-0.244840993932779"
"feature_1_lag27",0,0,"feature_1_lag27=-0.115965352195936"
"feature_1_lag26",0,0,"feature_1_lag26=-0.0279215076718641"
"feature_1_lag25",0,0,"feature_1_lag25=-0.0279215076718641"
"feature_1_lag24",0,0,"feature_1_lag24=-0.0858679067974057"
"feature_1_lag23",0,0,"feature_1_lag23=-0.178612311516325"
"feature_1_lag22",-6.08483228801693e-05,7.40503679465866e-08,"feature_1_lag22=-0.315085924734061"
"feature_1_lag21",0,0,"feature_1_lag21=-0.46980694655107"
"feature_1_lag20",0,0,"feature_1_lag20=-0.601119364157487"
"feature_1_lag19",0,0,"feature_1_lag19=-0.69773250869401"
"feature_1_lag18",0.00030492757622988,1.85961653490858e-06,"feature_1_lag18=-0.749238165838361"
"feature_1_lag17",5.37006082228994e-05,2.73197872753516e-08,"feature_1_lag17=-0.749238165838361"
"feature_1_lag16",5.37006082228994e-05,2.73197872753516e-08,"feature_1_lag16=-0.749238165838361"
"feature_1_lag15",0,0,"feature_1_lag15=-0.749238165838361"
"feature_1_lag14",0,0,"feature_1_lag14=-0.749238165838361"
"feature_1_lag13",0,0,"feature_1_lag13=-0.749238165838361"
"feature_1_lag12",0,0,"feature_1_lag12=-0.803140279884404"
"feature_1_lag11",0.000275312868528099,5.66603595037968e-07,"feature_1_lag11=-0.803140279884404"
"feature_1_lag10",0.000333170713700481,6.9993866036587e-07,"feature_1_lag10=-0.859672784387976"
"feature_1_lag9",0,0,"feature_1_lag9=-0.859672784387976"
"feature_1_lag8",0,0,"feature_1_lag8=-0.859672784387976"
"feature_1_lag7",0,0,"feature_1_lag7=-0.749238165838361"
"feature_1_lag6",0,0,"feature_1_lag6=-0.648419258067395"
"feature_1_lag5",0,0,"feature_1_lag5=-0.511945644849659"
"feature_1_lag4",0,0,"feature_1_lag4=-0.46980694655107"
"feature_1_lag3",0,0,"feature_1_lag3=-0.429147108056208"
"feature_1_lag2",0,0,"feature_1_lag2=-0.429147108056208"
"feature_1_lag1",0,0,"feature_1_lag1=-0.429147108056208"
"feature_1_lag0",-2.19385204998368e-05,9.47829678117031e-08,"feature_1_lag0=-0.511945644849659"
"feature_2_lag71",0,0,"feature_2_lag71=0"
"feature_2_lag70",0,0,"feature_2_lag70=0"
"feature_2_lag69",0,0,"feature_2_lag69=0"
"feature_2_lag68",0,0,"feature_2_lag68=-0.107474821546485"
"feature_2_lag67",0,0,"feature_2_lag67=0.100509316326973"
"feature_2_lag66",0,0,"feature_2_lag66=0.283283431131418"
"feature_2_lag65",0,0,"feature_2_lag65=-0.480274619503583"
"feature_2_lag64",0,0,"feature_2_lag64=-0.624951229052264"
"feature_2_lag63",0,0,"feature_2_lag63=-0.480274619503583"
"feature_2_lag62",0,0,"feature_2_lag62=-0.624951229052264"
"feature_2_lag61",0,0,"feature_2_lag61=-0.782145341765953"
"feature_2_lag60",0,0,"feature_2_lag60=-0.624951229052264"
"feature_2_lag59",0,0,"feature_2_lag59=-0.222706610304989"
"feature_2_lag58",0,0,"feature_2_lag58=-0.222706610304989"
"feature_2_lag57",0,0,"feature_2_lag57=-0.222706610304989"
"feature_2_lag56",0,0,"feature_2_lag56=0"
"feature_2_lag55",0,0,"feature_2_lag55=0.100509316326973"
"feature_2_lag54",0,0,"feature_2_lag54=-0.107474821546485"
"feature_2_lag53",0,0,"feature_2_lag53=-0.34661487639109"
"feature_2_lag52",0,0,"feature_2_lag52=-0.624951229052264"
"feature_2_lag51",0,0,"feature_2_lag51=-0.480274619503583"
"feature_2_lag50",0,0,"feature_2_lag50=-0.34661487639109"
"feature_2_lag49",0,0,"feature_2_lag49=-0.34661487639109"
"feature_2_lag48",0,0,"feature_2_lag48=-0.480274619503583"
"feature_2_lag47",0,0,"feature_2_lag47=-0.624951229052264"
"feature_2_lag46",0,0,"feature_2_lag46=-0.480274619503583"
"feature_2_lag45",-2.46019610492768e-05,9.16787106254772e-08,"feature_2_lag45=-0.34661487639109"
"feature_2_lag44",0,0,"feature_2_lag44=-0.34661487639109"
"feature_2_lag43",-4.21911598153635e-05,1.68640481043051e-08,"feature_2_lag43=-0.624951229052264"
"feature_2_lag42",4.2191159815369e-05,1.68640481043096e-08,"feature_2_lag42=-0.624951229052264"
"feature_2_lag41",0,0,"feature_2_lag41=-0.480274619503583"
"feature_2_lag40",0,0,"feature_2_lag40=-0.480274619503583"
"feature_2_lag39",0,0,"feature_2_lag39=-0.624951229052264"
"feature_2_lag38",0,0,"feature_2_lag38=-0.624951229052264"
"feature_2_lag37",0,0,"feature_2_lag37=-0.480274619503583"
"feature_2_lag36",0,0,"feature_2_lag36=-0.480274619503583"
"feature_2_lag35",0,0,"feature_2_lag35=-0.624951229052264"
"feature_2_lag34",0,0,"feature_2_lag34=-0.34661487639109"
"feature_2_lag33",0,0,"feature_2_lag33=-0.107474821546485"
"feature_2_lag32",0,0,"feature_2_lag32=-0.107474821546485"
"feature_2_lag31",0,0,"feature_2_lag31=-0.107474821546485"
"feature_2_lag30",0,0,"feature_2_lag30=-0.34661487639109"
"feature_2_lag29",0,0,"feature_2_lag29=-0.480274619503583"
"feature_2_lag28",0,0,"feature_2_lag28=-0.480274619503583"
"feature_2_lag27",0,0,"feature_2_lag27=-0.480274619503583"
"feature_2_lag26",0,0,"feature_2_lag26=-0.34661487639109"
"feature_2_lag25",0,0,"feature_2_lag25=-0.34661487639109"
"feature_2_lag24",0,0,"feature_2_lag24=-0.222706610304989"
"feature_2_lag23",0,0,"feature_2_lag23=-0.480274619503583"
"feature_2_lag22",0,0,"feature_2_lag22=-0.480274619503583"
"feature_2_lag21",0,0,"feature_2_lag21=-0.480274619503583"
"feature_2_lag20",0,0,"feature_2_lag20=-0.480274619503583"
"feature_2_lag19",-0.000140886733399989,3.99369121020339e-07,"feature_2_lag19=-0.480274619503583"
"feature_2_lag18",0.000141154560813424,1.88759463521974e-07,"feature_2_lag18=-0.480274619503583"
"feature_2_lag17",0,0,"feature_2_lag17=-0.624951229052264"
"feature_2_lag16",0,0,"feature_2_lag16=-0.953651167263417"
"feature_2_lag15",0,0,"feature_2_lag15=-0.953651167263417"
"feature_2_lag14",0,0,"feature_2_lag14=-0.953651167263417"
"feature_2_lag13",-0.000159580754117727,2.35784596056205e-07,"feature_2_lag13=-1.14163329178794"
"feature_2_lag12",-8.87356462975775e-05,3.55614696229021e-08,"feature_2_lag12=-0.953651167263417"
"feature_2_lag11",0,0,"feature_2_lag11=-0.782145341765953"
"feature_2_lag10",0,0,"feature_2_lag10=-0.480274619503583"
"feature_2_lag9",0,0,"feature_2_lag9=-0.34661487639109"
"feature_2_lag8",0,0,"feature_2_lag8=-0.222706610304989"
"feature_2_lag7",0.00039364230229757,1.85779995644323e-06,"feature_2_lag7=-0.34661487639109"
"feature_2_lag6",0.000100602442053582,2.02417026942888e-07,"feature_2_lag6=-0.782145341765953"
"feature_2_lag5",9.70287839382772e-05,2.60374182465763e-05,"feature_2_lag5=-0.953651167263417"
"feature_2_lag4",-0.00129848824596063,2.25682228569709e-05,"feature_2_lag4=-0.624951229052264"
"feature_2_lag3",0.00355433442226648,3.94835270470153e-05,"feature_2_lag3=-0.34661487639109"
"feature_2_lag2",-0.00361218653884185,0.000118884371378944,"feature_2_lag2=-0.222706610304989"
"feature_2_lag1",-0.0841097792051275,0.0864853300391189,"feature_2_lag1=-0.222706610304989"
"feature_2_lag0",-0.176912272208934,0.102994470094055,"feature_2_lag0=-0.624951229052264"
"feature_3_lag71",0,0,"feature_3_lag71=0.402701364297469"
"feature_3_lag70",0,0,"feature_3_lag70=0.402701364297469"
"feature_3_lag69",0,0,"feature_3_lag69=0.358715743220328"
"feature_3_lag68",0,0,"feature_3_lag68=0.314544135877353"
"feature_3_lag67",0,0,"feature_3_lag67=0.314544135877353"
"feature_3_lag66",0,0,"feature_3_lag66=0.576814887648601"
"feature_3_lag65",0,0,"feature_3_lag65=0.0455188936843412"
"feature_3_lag64",0,0,"feature_3_lag64=-0.0457181017310336"
"feature_3_lag63",0,0,"feature_3_lag63=-0.0916371627967122"
"feature_3_lag62",0,0,"feature_3_lag62=-0.0457181017310336"
"feature_3_lag61",0,0,"feature_3_lag61=0"
