"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=-0.292767229220312"
"feature_1_lag70",0,0,"feature_1_lag70=-0.266662863400038"
"feature_1_lag69",0,0,"feature_1_lag69=-0.266662863400038"
"feature_1_lag68",0,0,"feature_1_lag68=-0.215491711514635"
"feature_1_lag67",0,0,"feature_1_lag67=-0.141135433881126"
"feature_1_lag66",0,0,"feature_1_lag66=-0.141135433881126"
"feature_1_lag65",0,0,"feature_1_lag65=-0.0693906062158575"
"feature_1_lag64",0,0,"feature_1_lag64=-0.0460102970907239"
"feature_1_lag63",0,0,"feature_1_lag63=-0.0693906062158575"
"feature_1_lag62",2.86743764455477e-05,1.64443972908196e-08,"feature_1_lag62=-0.0930321721740267"
"feature_1_lag61",0,0,"feature_1_lag61=-0.190398309608278"
"feature_1_lag60",0,0,"feature_1_lag60=-0.319236744274898"
"feature_1_lag59",0,0,"feature_1_lag59=-0.373335453692267"
"feature_1_lag58",0,0,"feature_1_lag58=-0.373335453692267"
"feature_1_lag57",0,0,"feature_1_lag57=-0.346087174396968"
"feature_1_lag56",0,0,"feature_1_lag56=-0.319236744274898"
"feature_1_lag55",0,0,"feature_1_lag55=-0.292767229220312"
"feature_1_lag54",0,0,"feature_1_lag54=-0.319236744274898"
"feature_1_lag53",0,0,"feature_1_lag53=-0.429099904799312"
"feature_1_lag52",0,0,"feature_1_lag52=-0.457657002178696"
"feature_1_lag51",0,0,"feature_1_lag51=-0.486694151656188"
"feature_1_lag50",0,0,"feature_1_lag50=-0.516236408666637"
"feature_1_lag49",0,0,"feature_1_lag49=-0.486694151656188"
"feature_1_lag48",0,0,"feature_1_lag48=-0.400999809454946"
"feature_1_lag47",0,0,"feature_1_lag47=-0.400999809454946"
"feature_1_lag46",0,0,"feature_1_lag46=-0.429099904799312"
"feature_1_lag45",0,0,"feature_1_lag45=-0.429099904799312"
"feature_1_lag44",0,0,"feature_1_lag44=-0.457657002178696"
"feature_1_lag43",6.08147265428294e-05,4.63165415151554e-08,"feature_1_lag43=-0.429099904799312"
"feature_1_lag42",7.485532794827e-05,4.84616789875399e-08,"feature_1_lag42=-0.400999809454946"
"feature_1_lag41",0,0,"feature_1_lag41=-0.346087174396968"
"feature_1_lag40",0,0,"feature_1_lag40=-0.373335453692267"
"feature_1_lag39",0,0,"feature_1_lag39=-0.457657002178696"
"feature_1_lag38",0,0,"feature_1_lag38=-0.400999809454946"
"feature_1_lag37",0,0,"feature_1_lag37=-0.429099904799312"
"feature_1_lag36",0,0,"feature_1_lag36=-0.640043251121015"
"feature_1_lag35",0,0,"feature_1_lag35=-0.810391595844757"
"feature_1_lag34",0,0,"feature_1_lag34=-0.884763839018803"
"feature_1_lag33",0,0,"feature_1_lag33=-0.923592935641121"
