"feature","phi","phi.var","feature.value"
"feature_1_lag71",5.20219972471203e-05,2.56385197665416e-08,"feature_1_lag71=0.189826148341497"
"feature_1_lag70",0,0,"feature_1_lag70=0.189826148341497"
"feature_1_lag69",0,0,"feature_1_lag69=0.249283312549129"
"feature_1_lag68",-8.33130887712974e-05,6.57575124689755e-08,"feature_1_lag68=0.307016835724235"
"feature_1_lag67",0,0,"feature_1_lag67=0.307016835724235"
"feature_1_lag66",0,0,"feature_1_lag66=0.417693479397395"
"feature_1_lag65",0,0,"feature_1_lag65=0.52254227081055"
"feature_1_lag64",0,0,"feature_1_lag64=0.572966915732784"
"feature_1_lag63",0,0,"feature_1_lag63=0.670140679964969"
"feature_1_lag62",0,0,"feature_1_lag62=0.717005597239357"
"feature_1_lag61",0,0,"feature_1_lag61=0.762793064074281"
"feature_1_lag60",0,0,"feature_1_lag60=0.80755151146561"
"feature_1_lag59",0,0,"feature_1_lag59=0.80755151146561"
"feature_1_lag58",0,0,"feature_1_lag58=0.762793064074281"
"feature_1_lag57",0.000115730149252724,2.67869348921156e-07,"feature_1_lag57=0.717005597239357"
"feature_1_lag56",0,0,"feature_1_lag56=0.670140679964969"
"feature_1_lag55",-0.000402724902490116,1.49401586021809e-06,"feature_1_lag55=0.670140679964969"
"feature_1_lag54",0,0,"feature_1_lag54=0.572966915732784"
"feature_1_lag53",-0.000819023827807663,2.38422929081649e-06,"feature_1_lag53=0.470807749426255"
"feature_1_lag52",0.000103866454764867,2.15764808508444e-07,"feature_1_lag52=0.470807749426255"
"feature_1_lag51",0,0,"feature_1_lag51=0.417693479397395"
"feature_1_lag50",0,0,"feature_1_lag50=0.363123844240733"
"feature_1_lag49",0,0,"feature_1_lag49=0.307016835724235"
"feature_1_lag48",0,0,"feature_1_lag48=0.307016835724235"
"feature_1_lag47",0,0,"feature_1_lag47=0.363123844240733"
"feature_1_lag46",0,0,"feature_1_lag46=0.417693479397395"
"feature_1_lag45",0,0,"feature_1_lag45=0.417693479397395"
"feature_1_lag44",0,0,"feature_1_lag44=0.417693479397395"
"feature_1_lag43",0,0,"feature_1_lag43=0.470807749426255"
"feature_1_lag42",0,0,"feature_1_lag42=0.52254227081055"
"feature_1_lag41",-0.00017278395859938,1.78078258925485e-07,"feature_1_lag41=0.470807749426255"
"feature_1_lag40",0,0,"feature_1_lag40=0.363123844240733"
"feature_1_lag39",0,0,"feature_1_lag39=0.307016835724235"
"feature_1_lag38",0,0,"feature_1_lag38=0.307016835724235"
"feature_1_lag37",0,0,"feature_1_lag37=0.307016835724235"
"feature_1_lag36",0,0,"feature_1_lag36=0.189826148341497"
"feature_1_lag35",0,0,"feature_1_lag35=0.128539248507907"
"feature_1_lag34",0,0,"feature_1_lag34=0.0653064109633127"
"feature_1_lag33",0,0,"feature_1_lag33=0.128539248507907"
"feature_1_lag32",0,0,"feature_1_lag32=0.128539248507907"
"feature_1_lag31",0,0,"feature_1_lag31=0.189826148341497"
"feature_1_lag30",0,0,"feature_1_lag30=0.417693479397395"
"feature_1_lag29",0,0,"feature_1_lag29=0.470807749426255"
"feature_1_lag28",0,0,"feature_1_lag28=0.80755151146561"
"feature_1_lag27",0,0,"feature_1_lag27=0.894159377767683"
"feature_1_lag26",0,0,"feature_1_lag26=0.977157515689205"
"feature_1_lag25",-2.16174063723554e-05,4.42716876253469e-09,"feature_1_lag25=1.05683482401474"
"feature_1_lag24",-2.1617406372354e-05,4.42716876253412e-09,"feature_1_lag24=0.977157515689205"
"feature_1_lag23",0,0,"feature_1_lag23=1.05683482401474"
"feature_1_lag22",0,0,"feature_1_lag22=1.09550918654334"
"feature_1_lag21",0,0,"feature_1_lag21=1.09550918654334"
"feature_1_lag20",0,0,"feature_1_lag20=1.17067535570634"
"feature_1_lag19",0,0,"feature_1_lag19=1.05683482401474"
"feature_1_lag18",0,0,"feature_1_lag18=0.894159377767683"
"feature_1_lag17",0,0,"feature_1_lag17=0.717005597239357"
"feature_1_lag16",0,0,"feature_1_lag16=0.622146379564898"
"feature_1_lag15",0,0,"feature_1_lag15=0.572966915732784"
"feature_1_lag14",-0.000215095683299071,9.25323059477888e-07,"feature_1_lag14=0.572966915732784"
"feature_1_lag13",0,0,"feature_1_lag13=0.470807749426255"
"feature_1_lag12",0,0,"feature_1_lag12=0.307016835724235"
"feature_1_lag11",0,0,"feature_1_lag11=0.189826148341497"
"feature_1_lag10",0.000113491165899937,2.57604894746541e-07,"feature_1_lag10=0.0653064109633127"
"feature_1_lag9",0,0,"feature_1_lag9=0"
"feature_1_lag8",-0.00012078398946857,2.91775442238874e-07,"feature_1_lag8=-0.137410831500642"
"feature_1_lag7",0,0,"feature_1_lag7=-0.529192250573745"
"feature_1_lag6",0,0,"feature_1_lag6=-0.909710677772141"
"feature_1_lag5",0,0,"feature_1_lag5=-1.13123511464927"
"feature_1_lag4",0,0,"feature_1_lag4=-0.909710677772141"
"feature_1_lag3",0,0,"feature_1_lag3=-0.710377747233426"
"feature_1_lag2",0.00241597892153158,0.000116739082985697,"feature_1_lag2=-0.710377747233426"
"feature_1_lag1",-0.000156269208959961,2.31347990548155e-07,"feature_1_lag1=-0.617725363124113"
"feature_1_lag0",0.00133475877408398,4.02798666601562e-05,"feature_1_lag0=-0.444427667224877"
"feature_2_lag71",0,0,"feature_2_lag71=0.468039553971134"
"feature_2_lag70",0,0,"feature_2_lag70=0.468039553971134"
"feature_2_lag69",0,0,"feature_2_lag69=0.300227561154249"
"feature_2_lag68",0,0,"feature_2_lag68=0.386907601020881"
"feature_2_lag67",0,0,"feature_2_lag67=0.468039553971134"
"feature_2_lag66",0,0,"feature_2_lag66=0.468039553971134"
"feature_2_lag65",0,0,"feature_2_lag65=0.300227561154249"
"feature_2_lag64",-7.22033583828885e-05,1.04266499235357e-07,"feature_2_lag64=0.468039553971134"
