"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=-1.17948314467634"
"feature_1_lag70",0,0,"feature_1_lag70=-1.4116683039558"
"feature_1_lag69",0,0,"feature_1_lag69=-1.36124361521223"
"feature_1_lag68",0,0,"feature_1_lag68=-1.31306343215649"
"feature_1_lag67",0,0,"feature_1_lag67=-1.22238689429811"
"feature_1_lag66",0,0,"feature_1_lag66=-1.22238689429811"
"feature_1_lag65",-4.22536479202096e-05,1.69140388032477e-08,"feature_1_lag65=-1.17948314467634"
"feature_1_lag64",0.000186875336742059,3.12502950421482e-07,"feature_1_lag64=-1.22238689429811"
"feature_1_lag63",0,0,"feature_1_lag63=-1.26685230347407"
"feature_1_lag62",0,0,"feature_1_lag62=-1.31306343215649"
"feature_1_lag61",0,0,"feature_1_lag61=-1.31306343215649"
"feature_1_lag60",0,0,"feature_1_lag60=-1.26685230347407"
"feature_1_lag59",0.000327721075552989,1.01748413710997e-06,"feature_1_lag59=-1.05871733364591"
"feature_1_lag58",-0.000163860537776495,5.3700551680804e-07,"feature_1_lag58=-1.02073615196268"
"feature_1_lag57",-0.000377861544867875,1.35264644611519e-06,"feature_1_lag57=-1.02073615196268"
"feature_1_lag56",0.000124461706330947,3.09814326856219e-07,"feature_1_lag56=-1.02073615196268"
"feature_1_lag55",0,0,"feature_1_lag55=-1.05871733364591"
"feature_1_lag54",0,0,"feature_1_lag54=-1.09776903653704"
"feature_1_lag53",0,0,"feature_1_lag53=-1.22238689429811"
"feature_1_lag52",0,0,"feature_1_lag52=-1.22238689429811"
"feature_1_lag51",0,0,"feature_1_lag51=-1.22238689429811"
"feature_1_lag50",0,0,"feature_1_lag50=-1.17948314467634"
"feature_1_lag49",0,0,"feature_1_lag49=-1.13798723072588"
"feature_1_lag48",0,0,"feature_1_lag48=-1.09776903653704"
"feature_1_lag47",0,0,"feature_1_lag47=-1.05871733364591"
"feature_1_lag46",0,0,"feature_1_lag46=-1.02073615196268"
"feature_1_lag45",0,0,"feature_1_lag45=-0.983742000855703"
"feature_1_lag44",0,0,"feature_1_lag44=-1.05871733364591"
"feature_1_lag43",0,0,"feature_1_lag43=-1.17948314467634"
"feature_1_lag42",0,0,"feature_1_lag42=-1.31306343215649"
"feature_1_lag41",0,0,"feature_1_lag41=-1.4116683039558"
"feature_1_lag40",0,0,"feature_1_lag40=-1.36124361521223"
"feature_1_lag39",0,0,"feature_1_lag39=-1.31306343215649"
"feature_1_lag38",0,0,"feature_1_lag38=-1.26685230347407"
"feature_1_lag37",0,0,"feature_1_lag37=-0.947661708948318"
"feature_1_lag36",0,0,"feature_1_lag36=-1.09776903653704"
"feature_1_lag35",0,0,"feature_1_lag35=-1.09776903653704"
