"feature","phi","phi.var","feature.value"
"feature_1_lag71",7.42587611229278e-05,9.70406856374891e-08,"feature_1_lag71=-0.0786552773688454"
"feature_1_lag70",5.60914317504518e-05,5.31287314423926e-08,"feature_1_lag70=-0.0988159180780049"
"feature_1_lag69",0,0,"feature_1_lag69=-0.119187682245857"
"feature_1_lag68",0,0,"feature_1_lag68=-0.119187682245857"
"feature_1_lag67",0,0,"feature_1_lag67=-0.160592051123433"
"feature_1_lag66",0,0,"feature_1_lag66=-0.160592051123433"
"feature_1_lag65",0,0,"feature_1_lag65=-0.181639345615874"
"feature_1_lag64",0,0,"feature_1_lag64=-0.119187682245857"
"feature_1_lag63",0,0,"feature_1_lag63=0.0191954050213478"
"feature_1_lag62",0,0,"feature_1_lag62=0.130813289594348"
"feature_1_lag61",0,0,"feature_1_lag61=0.271282712603105"
"feature_1_lag60",0,0,"feature_1_lag60=0.371280062786647"
"feature_1_lag59",0,0,"feature_1_lag59=0.435705923460183"
"feature_1_lag58",0,0,"feature_1_lag58=0.435705923460183"
"feature_1_lag57",0,0,"feature_1_lag57=0.498499954655465"
"feature_1_lag56",0,0,"feature_1_lag56=0.498499954655465"
"feature_1_lag55",0,0,"feature_1_lag55=0.529322482918281"
"feature_1_lag54",0,0,"feature_1_lag54=0.559780208980796"
"feature_1_lag53",0,0,"feature_1_lag53=0.589885787094522"
"feature_1_lag52",0,0,"feature_1_lag52=0.649087596338715"
"feature_1_lag51",0,0,"feature_1_lag51=0.707015801600801"
"feature_1_lag50",0,0,"feature_1_lag50=0.735527253117825"
"feature_1_lag49",0,0,"feature_1_lag49=0.749673873934696"
"feature_1_lag48",0,0,"feature_1_lag48=0.721308269652758"
"feature_1_lag47",0,0,"feature_1_lag47=0.692648697728443"
"feature_1_lag46",0,0,"feature_1_lag46=0.663685824569259"
"feature_1_lag45",0,0,"feature_1_lag45=0.634409811963656"
"feature_1_lag44",0,0,"feature_1_lag44=0.574876254250212"
"feature_1_lag43",0,0,"feature_1_lag43=0.498499954655465"
"feature_1_lag42",0,0,"feature_1_lag42=0.498499954655465"
"feature_1_lag41",0,0,"feature_1_lag41=0.482947724730631"
"feature_1_lag40",0,0,"feature_1_lag40=0.482947724730631"
"feature_1_lag39",0,0,"feature_1_lag39=0.46729919340776"
"feature_1_lag38",0,0,"feature_1_lag38=0.419757386920691"
"feature_1_lag37",0,0,"feature_1_lag37=0.354903291942735"
"feature_1_lag36",0,0,"feature_1_lag36=0.271282712603105"
"feature_1_lag35",0,0,"feature_1_lag35=0.202146223680893"
"feature_1_lag34",0,0,"feature_1_lag34=0.166767445582962"
"feature_1_lag33",0,0,"feature_1_lag33=0.112611471066306"
"feature_1_lag32",0,0,"feature_1_lag32=0.0757390573840162"
"feature_1_lag31",0,0,"feature_1_lag31=0.0942547350637994"
"feature_1_lag30",0,0,"feature_1_lag30=0.0570602365229143"
"feature_1_lag29",0,0,"feature_1_lag29=0.0570602365229143"
"feature_1_lag28",0,0,"feature_1_lag28=0.0942547350637994"
"feature_1_lag27",0,0,"feature_1_lag27=0.0757390573840162"
"feature_1_lag26",0,0,"feature_1_lag26=0.0757390573840162"
