"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=0.13256366186131"
"feature_1_lag70",0,0,"feature_1_lag70=0.187035430716515"
"feature_1_lag69",0,0,"feature_1_lag69=0.20490780954363"
"feature_1_lag68",0,0,"feature_1_lag68=0.292275645779729"
"feature_1_lag67",0,0,"feature_1_lag67=0.343202996768863"
"feature_1_lag66",0,0,"feature_1_lag66=0.359945400060519"
"feature_1_lag65",0,0,"feature_1_lag65=0.425809650839199"
"feature_1_lag64",0,0,"feature_1_lag64=0.474106186012868"
"feature_1_lag63",0,0,"feature_1_lag63=0.521516320253056"
"feature_1_lag62",0,0,"feature_1_lag62=0.598689477376723"
"feature_1_lag61",0,0,"feature_1_lag61=0.658879496118188"
"feature_1_lag60",0,0,"feature_1_lag60=0.717788436313678"
"feature_1_lag59",0,0,"feature_1_lag59=0.732324876851224"
"feature_1_lag58",0,0,"feature_1_lag58=0.717788436313678"
"feature_1_lag57",0,0,"feature_1_lag57=0.688489002628222"
"feature_1_lag56",0,0,"feature_1_lag56=0.761176941309221"
"feature_1_lag55",0,0,"feature_1_lag55=0.928540697120204"
"feature_1_lag54",0,0,"feature_1_lag54=1.07423807988242"
"feature_1_lag53",0,0,"feature_1_lag53=1.11283062458981"
"feature_1_lag52",0,0,"feature_1_lag52=1.04824769660557"
"feature_1_lag51",0,0,"feature_1_lag51=0.942073375717791"
"feature_1_lag50",0,0,"feature_1_lag50=0.77549477353527"
"feature_1_lag49",0,0,"feature_1_lag49=0.732324876851224"
"feature_1_lag48",0,0,"feature_1_lag48=0.761176941309221"
"feature_1_lag47",0,0,"feature_1_lag47=0.74678733915149"
"feature_1_lag46",0,0,"feature_1_lag46=0.818028154421537"
"feature_1_lag45",0,0,"feature_1_lag45=0.832069284214256"
"feature_1_lag44",0,0,"feature_1_lag44=0.914947468717983"
"feature_1_lag43",0,0,"feature_1_lag43=0.942073375717791"
"feature_1_lag42",0,0,"feature_1_lag42=0.942073375717791"
"feature_1_lag41",-6.91028778229352e-05,9.55041544682303e-08,"feature_1_lag41=0.942073375717791"
"feature_1_lag40",0.00013820575564587,1.80955240045068e-07,"feature_1_lag40=0.928540697120204"
"feature_1_lag39",0,0,"feature_1_lag39=0.914947468717983"
"feature_1_lag38",0,0,"feature_1_lag38=0.955546306514584"
"feature_1_lag37",0.000280071150063616,1.56879698195912e-06,"feature_1_lag37=0.955546306514584"
"feature_1_lag36",0,0,"feature_1_lag36=0.968960273964509"
"feature_1_lag35",0,0,"feature_1_lag35=1.06126951807053"
"feature_1_lag34",0,0,"feature_1_lag34=1.08715403024516"
"feature_1_lag33",0,0,"feature_1_lag33=1.17614436155604"
"feature_1_lag32",0,0,"feature_1_lag32=1.26278719060066"
"feature_1_lag31",0,0,"feature_1_lag31=1.16357959288119"
"feature_1_lag30",0,0,"feature_1_lag30=1.11283062458981"
"feature_1_lag29",0,0,"feature_1_lag29=1.02204161440464"
"feature_1_lag28",0,0,"feature_1_lag28=0.846043709170727"
"feature_1_lag27",0,0,"feature_1_lag27=0.78974189912054"
"feature_1_lag26",0,0,"feature_1_lag26=0.688489002628222"
"feature_1_lag25",0,0,"feature_1_lag25=0.628949858921315"
"feature_1_lag24",0,0,"feature_1_lag24=0.613861697429653"
"feature_1_lag23",0,0,"feature_1_lag23=0.628949858921315"
"feature_1_lag22",0,0,"feature_1_lag22=0.688489002628222"
"feature_1_lag21",0,0,"feature_1_lag21=0.77549477353527"
"feature_1_lag20",0,0,"feature_1_lag20=0.818028154421537"
"feature_1_lag19",0,0,"feature_1_lag19=0.846043709170727"
"feature_1_lag18",0,0,"feature_1_lag18=0.859952371032541"
"feature_1_lag17",0,0,"feature_1_lag17=0.846043709170727"
"feature_1_lag16",0,0,"feature_1_lag16=0.846043709170727"
"feature_1_lag15",0,0,"feature_1_lag15=0.873796189588426"
"feature_1_lag14",0,0,"feature_1_lag14=0.873796189588426"
"feature_1_lag13",0,0,"feature_1_lag13=0.887576063384073"
"feature_1_lag12",0,0,"feature_1_lag12=0.873796189588426"
"feature_1_lag11",0,0,"feature_1_lag11=0.914947468717983"
"feature_1_lag10",0,0,"feature_1_lag10=0.982316045504573"
"feature_1_lag9",0,0,"feature_1_lag9=1.02204161440464"
"feature_1_lag8",0,0,"feature_1_lag8=1.06126951807053"
"feature_1_lag7",0,0,"feature_1_lag7=1.06126951807053"
"feature_1_lag6",0,0,"feature_1_lag6=0.982316045504573"
