"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=0.258055102764505"
"feature_1_lag70",0,0,"feature_1_lag70=0.258055102764505"
"feature_1_lag69",0,0,"feature_1_lag69=0.258055102764505"
"feature_1_lag68",0,0,"feature_1_lag68=0.41201010151287"
"feature_1_lag67",0,0,"feature_1_lag67=0.33663676445163"
"feature_1_lag66",0,0,"feature_1_lag66=0.41201010151287"
"feature_1_lag65",0,0,"feature_1_lag65=0.484426848098285"
"feature_1_lag64",0,0,"feature_1_lag64=0.554110225779438"
"feature_1_lag63",0,0,"feature_1_lag63=0.621259093306098"
"feature_1_lag62",0,0,"feature_1_lag62=0.58798989848713"
"feature_1_lag61",0,0,"feature_1_lag61=0.554110225779438"
"feature_1_lag60",0,0,"feature_1_lag60=0.621259093306098"
"feature_1_lag59",0.00039027543668898,3.04629832965549e-06,"feature_1_lag59=0.58798989848713"
"feature_1_lag58",0.00039027543668898,3.04629832965549e-06,"feature_1_lag58=0.484426848098285"
"feature_1_lag57",0,0,"feature_1_lag57=0.297763952713608"
"feature_1_lag56",0,0,"feature_1_lag56=0"
"feature_1_lag55",0,0,"feature_1_lag55=-0.143947438435297"
"feature_1_lag54",0,0,"feature_1_lag54=-0.246551075782225"
"feature_1_lag53",0,0,"feature_1_lag53=-0.246551075782225"
"feature_1_lag52",0,0,"feature_1_lag52=-0.194536640185062"
"feature_1_lag51",0,0,"feature_1_lag51=-0.194536640185062"
"feature_1_lag50",0,0,"feature_1_lag50=-0.143947438435297"
"feature_1_lag49",0,0,"feature_1_lag49=-0.194536640185062"
"feature_1_lag48",0,0,"feature_1_lag48=-0.0947074441680201"
"feature_1_lag47",0,0,"feature_1_lag47=0.0455922017914446"
"feature_1_lag46",0,0,"feature_1_lag46=0.217473461327808"
"feature_1_lag45",0,0,"feature_1_lag45=0.297763952713608"
"feature_1_lag44",0,0,"feature_1_lag44=0.41201010151287"
"feature_1_lag43",-3.96824692577291e-05,9.39293762408438e-09,"feature_1_lag43=0.554110225779438"
"feature_1_lag42",-3.96824692577291e-05,9.39293762408438e-09,"feature_1_lag42=0.65393942179648"
"feature_1_lag41",0.000110227485679182,2.43001971983085e-07,"feature_1_lag41=0.58798989848713"
"feature_1_lag40",0,0,"feature_1_lag40=0.58798989848713"
"feature_1_lag39",0,0,"feature_1_lag39=0.58798989848713"
"feature_1_lag38",0,0,"feature_1_lag38=0.621259093306098"
"feature_1_lag37",0,0,"feature_1_lag37=0.686051367841979"
"feature_1_lag36",0,0,"feature_1_lag36=0.779166409705496"
"feature_1_lag35",0,0,"feature_1_lag35=0.838732554633905"
"feature_1_lag34",0,0,"feature_1_lag34=0.867810169088321"
"feature_1_lag33",0,0,"feature_1_lag33=0.952392454703801"
"feature_1_lag32",0,0,"feature_1_lag32=1.00670196872901"
"feature_1_lag31",0,0,"feature_1_lag31=1.00670196872901"
"feature_1_lag30",0,0,"feature_1_lag30=1.00670196872901"
"feature_1_lag29",0,0,"feature_1_lag29=0.952392454703801"
"feature_1_lag28",0,0,"feature_1_lag28=0.838732554633905"
"feature_1_lag27",0,0,"feature_1_lag27=0.779166409705496"
"feature_1_lag26",0,0,"feature_1_lag26=0.621259093306098"
"feature_1_lag25",0,0,"feature_1_lag25=0.554110225779438"
"feature_1_lag24",0,0,"feature_1_lag24=0.41201010151287"
"feature_1_lag23",0,0,"feature_1_lag23=0.258055102764505"
"feature_1_lag22",0,0,"feature_1_lag22=0.175979796974259"
"feature_1_lag21",0,0,"feature_1_lag21=-0.0947074441680201"
"feature_1_lag20",2.74699321382466e-05,1.56896449163318e-08,"feature_1_lag20=-0.246551075782225"
"feature_1_lag19",0,0,"feature_1_lag19=-0.194536640185062"
"feature_1_lag18",-0.000187692718705365,1.11248073647404e-07,"feature_1_lag18=0"
"feature_1_lag17",-0.000166496448751996,5.5442134894052e-07,"feature_1_lag17=0.297763952713608"
"feature_1_lag16",-0.000166496448751996,5.5442134894052e-07,"feature_1_lag16=0.448573481608188"
"feature_1_lag15",-0.000150140722940517,2.81434470443961e-07,"feature_1_lag15=0.65393942179648"
"feature_1_lag14",-8.32805767150523e-05,6.57062001283425e-08,"feature_1_lag14=0.554110225779438"
"feature_1_lag13",0,0,"feature_1_lag13=0.519597251622346"
"feature_1_lag12",0,0,"feature_1_lag12=0.58798989848713"
"feature_1_lag11",0,0,"feature_1_lag11=0.58798989848713"
"feature_1_lag10",0,0,"feature_1_lag10=0.686051367841979"
"feature_1_lag9",0,0,"feature_1_lag9=0.779166409705496"
"feature_1_lag8",-4.2782737602387e-06,3.6607252735094e-10,"feature_1_lag8=0.779166409705496"
"feature_1_lag7",-0.000300837453159497,9.52763364713578e-07,"feature_1_lag7=0.838732554633905"
"feature_1_lag6",0,0,"feature_1_lag6=0.867810169088321"
"feature_1_lag5",-0.00191488202115629,1.55690250445294e-05,"feature_1_lag5=0.896436949611155"
"feature_1_lag4",-0.000152782183996979,2.06733593510133e-07,"feature_1_lag4=1.00670196872901"
"feature_1_lag3",-7.36369494505284e-05,1.08448006487594e-07,"feature_1_lag3=1.18511282643317"
"feature_1_lag2",-0.000167680386620761,5.62334241145758e-07,"feature_1_lag2=1.32541247239264"
"feature_1_lag1",0,0,"feature_1_lag1=1.47666345744177"
"feature_1_lag0",0,0,"feature_1_lag0=1.47666345744177"
"feature_2_lag71",0,0,"feature_2_lag71=1.08237821175974"
"feature_2_lag70",-6.38326671862366e-06,8.14921880021769e-10,"feature_2_lag70=0.805754108735201"
"feature_2_lag69",0,0,"feature_2_lag69=0.4810357164296"
"feature_2_lag68",0,0,"feature_2_lag68=0.255590647401569"
"feature_2_lag67",0,0,"feature_2_lag67=-0.191357199998917"
"feature_2_lag66",0,0,"feature_2_lag66=0"
"feature_2_lag65",0,0,"feature_2_lag65=-0.0933207899459016"
