"feature","phi","phi.var","feature.value"
"feature_1_lag71",0.000546700208915496,5.97762236856494e-06,"feature_1_lag71=-1.23447562431551"
"feature_1_lag70",0,0,"feature_1_lag70=-0.989414973881013"
"feature_1_lag69",0,0,"feature_1_lag69=-1.14701172806555"
"feature_1_lag68",0,0,"feature_1_lag68=-0.989414973881013"
"feature_1_lag67",0,0,"feature_1_lag67=-0.989414973881013"
"feature_1_lag66",0,0,"feature_1_lag66=-0.917864431089921"
"feature_1_lag65",0,0,"feature_1_lag65=-0.917864431089921"
"feature_1_lag64",0,0,"feature_1_lag64=-0.850404784946323"
"feature_1_lag63",0,0,"feature_1_lag63=-0.72605593363484"
"feature_1_lag62",1.2911408284072e-05,1.57930544726529e-09,"feature_1_lag62=-0.668472684047575"
"feature_1_lag61",0,0,"feature_1_lag61=-0.613568714841711"
"feature_1_lag60",0,0,"feature_1_lag60=-0.613568714841711"
"feature_1_lag59",0,0,"feature_1_lag59=-0.510875929863042"
"feature_1_lag58",0,0,"feature_1_lag58=-0.416407725214256"
"feature_1_lag57",0,0,"feature_1_lag57=-0.510875929863042"
"feature_1_lag56",0,0,"feature_1_lag56=-0.416407725214256"
"feature_1_lag55",5.12408965926525e-05,5.04868828803599e-07,"feature_1_lag55=-0.786593433828822"
"feature_1_lag54",0,0,"feature_1_lag54=-0.917864431089921"
"feature_1_lag53",0,0,"feature_1_lag53=-1.06558478871812"
"feature_1_lag52",7.67640848982613e-05,1.17854494605349e-07,"feature_1_lag52=-1.14701172806555"
"feature_1_lag51",0,0,"feature_1_lag51=-1.43163661394296"
"feature_1_lag50",0,0,"feature_1_lag50=-1.66847268404757"
"feature_1_lag49",0,0,"feature_1_lag49=-1.66847268404757"
"feature_1_lag48",0,0,"feature_1_lag48=-1.43163661394296"
"feature_1_lag47",0,0,"feature_1_lag47=-0.989414973881013"
"feature_1_lag46",0,0,"feature_1_lag46=-0.989414973881013"
"feature_1_lag45",0,0,"feature_1_lag45=-1.32894382896429"
"feature_1_lag44",0,0,"feature_1_lag44=-0.850404784946323"
"feature_1_lag43",0,0,"feature_1_lag43=-0.510875929863042"
"feature_1_lag42",0,0,"feature_1_lag42=-0.247516889616869"
"feature_1_lag41",0,0,"feature_1_lag41=-0.0997965319886695"
"feature_1_lag40",0.000125143942737943,3.13220128079951e-07,"feature_1_lag40=-0.0997965319886695"
"feature_1_lag39",0,0,"feature_1_lag39=-0.171347074779761"
"feature_1_lag38",0,0,"feature_1_lag38=-0.328943828964294"
"feature_1_lag37",0,0,"feature_1_lag37=-0.371865740928352"
"feature_1_lag36",0,0,"feature_1_lag36=0.20449918425954"
"feature_1_lag35",0,0,"feature_1_lag35=0.256962154661141"
"feature_1_lag34",0,0,"feature_1_lag34=0.121154742457596"
"feature_1_lag33",0,0,"feature_1_lag33=-0.0323368858450716"
"feature_1_lag32",0,0,"feature_1_lag32=-0.208817602912656"
"feature_1_lag31",0,0,"feature_1_lag31=-0.328943828964294"
"feature_1_lag30",0,0,"feature_1_lag30=-0.416407725214256"
"feature_1_lag29",0,0,"feature_1_lag29=-0.613568714841711"
"feature_1_lag28",0,0,"feature_1_lag28=-0.786593433828822"
"feature_1_lag27",0,0,"feature_1_lag27=-0.850404784946323"
"feature_1_lag26",0,0,"feature_1_lag26=-0.850404784946323"
"feature_1_lag25",0,0,"feature_1_lag25=-0.850404784946323"
"feature_1_lag24",0,0,"feature_1_lag24=-0.917864431089921"
"feature_1_lag23",0,0,"feature_1_lag23=-1.06558478871812"
"feature_1_lag22",0,0,"feature_1_lag22=-0.786593433828822"
"feature_1_lag21",0,0,"feature_1_lag21=-0.668472684047575"
"feature_1_lag20",0,0,"feature_1_lag20=-0.917864431089921"
"feature_1_lag19",-0.000111508139060507,7.4168107475275e-08,"feature_1_lag19=-0.917864431089921"
"feature_1_lag18",0,0,"feature_1_lag18=-0.613568714841711"
"feature_1_lag17",-0.000226220853196374,5.49652987557737e-07,"feature_1_lag17=-0.510875929863042"
"feature_1_lag16",0,0,"feature_1_lag16=-0.462696893388667"
"feature_1_lag15",0.000207995354367407,9.38600947144429e-07,"feature_1_lag15=-0.462696893388667"
"feature_1_lag14",0,0,"feature_1_lag14=-0.416407725214256"
"feature_1_lag13",-0.000187656948425513,3.33617023822506e-07,"feature_1_lag13=-0.416407725214256"
