"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=-0.182005687422244"
"feature_1_lag70",0,0,"feature_1_lag70=-0.182005687422244"
"feature_1_lag69",0,0,"feature_1_lag69=-0.230957699465841"
"feature_1_lag68",0,0,"feature_1_lag68=-0.182005687422244"
"feature_1_lag67",0,0,"feature_1_lag67=-0.182005687422244"
"feature_1_lag66",0,0,"feature_1_lag66=-0.134515149864086"
"feature_1_lag65",0,0,"feature_1_lag65=-0.182005687422244"
"feature_1_lag64",-0.000798927075928524,6.29178421927865e-06,"feature_1_lag64=-0.182005687422244"
"feature_1_lag63",0,0,"feature_1_lag63=-0.230957699465841"
"feature_1_lag62",0,0,"feature_1_lag62=-0.281464000705398"
"feature_1_lag61",0,0,"feature_1_lag61=-0.387557630659453"
"feature_1_lag60",0,0,"feature_1_lag60=-0.501235612836486"
"feature_1_lag59",0,0,"feature_1_lag59=-0.623666381141281"
"feature_1_lag58",0,0,"feature_1_lag58=-0.688606616864037"
"feature_1_lag57",0,0,"feature_1_lag57=-0.688606616864037"
"feature_1_lag56",0,0,"feature_1_lag56=-0.688606616864037"
"feature_1_lag55",0,0,"feature_1_lag55=-0.688606616864037"
"feature_1_lag54",0,0,"feature_1_lag54=-0.688606616864037"
"feature_1_lag53",0,0,"feature_1_lag53=-0.623666381141281"
"feature_1_lag52",0,0,"feature_1_lag52=-0.501235612836486"
"feature_1_lag51",0,0,"feature_1_lag51=-0.443381423865731"
"feature_1_lag50",0,0,"feature_1_lag50=-0.333626538289785"
"feature_1_lag49",0,0,"feature_1_lag49=-0.333626538289785"
"feature_1_lag48",0,0,"feature_1_lag48=-0.281464000705398"
"feature_1_lag47",0,0,"feature_1_lag47=-0.182005687422244"
"feature_1_lag46",0,0,"feature_1_lag46=-0.182005687422244"
"feature_1_lag45",0,0,"feature_1_lag45=-0.0884013452914787"
"feature_1_lag44",0,0,"feature_1_lag44=0.0837464338047714"
"feature_1_lag43",0,0,"feature_1_lag43=0.239071162633095"
"feature_1_lag42",0,0,"feature_1_lag42=0.346357754671939"
"feature_1_lag41",0,0,"feature_1_lag41=0.446863690558323"
"feature_1_lag40",0,0,"feature_1_lag40=0.541395351202968"
"feature_1_lag39",0,0,"feature_1_lag39=0.769042300534159"
"feature_1_lag38",0,0,"feature_1_lag38=0.846658418985765"
"feature_1_lag37",0,0,"feature_1_lag37=0.846658418985765"
"feature_1_lag36",0,0,"feature_1_lag36=0.9206631514017"
"feature_1_lag35",0,0,"feature_1_lag35=0.846658418985765"
"feature_1_lag34",0,0,"feature_1_lag34=0.846658418985765"
"feature_1_lag33",0,0,"feature_1_lag33=0.846658418985765"
"feature_1_lag32",0,0,"feature_1_lag32=0.769042300534159"
"feature_1_lag31",0,0,"feature_1_lag31=0.769042300534159"
"feature_1_lag30",0,0,"feature_1_lag30=0.659287414958214"
"feature_1_lag29",0,0,"feature_1_lag29=0.659287414958214"
"feature_1_lag28",0,0,"feature_1_lag28=0.659287414958214"
"feature_1_lag27",0,0,"feature_1_lag27=0.57169750292356"
