"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=-0.882859901764804"
"feature_1_lag70",0,0,"feature_1_lag70=-0.921447806575654"
"feature_1_lag69",0,0,"feature_1_lag69=-1.00336233339153"
"feature_1_lag68",0,0,"feature_1_lag68=-1.04712181127362"
"feature_1_lag67",0,0,"feature_1_lag67=-0.961550679074639"
"feature_1_lag66",0,0,"feature_1_lag66=-0.845627234009922"
"feature_1_lag65",0,0,"feature_1_lag65=-0.77471421903901"
"feature_1_lag64",-0.000107923243054403,2.32948527827595e-07,"feature_1_lag64=-0.675759447672295"
"feature_1_lag63",0,0,"feature_1_lag63=-0.613874200569083"
"feature_1_lag62",0,0,"feature_1_lag62=-0.613874200569083"
"feature_1_lag61",-0.000115923058195783,2.68763108429256e-07,"feature_1_lag61=-0.613874200569083"
"feature_1_lag60",-0.000463692232783125,9.05307312603789e-07,"feature_1_lag60=-0.675759447672295"
"feature_1_lag59",0,0,"feature_1_lag59=-0.77471421903901"
"feature_1_lag58",0,0,"feature_1_lag58=-0.882859901764804"
"feature_1_lag57",0,0,"feature_1_lag57=-1.00336233339153"
"feature_1_lag56",0,0,"feature_1_lag56=-1.00336233339153"
"feature_1_lag55",-9.25100290349354e-05,2.70255962275092e-08,"feature_1_lag55=-1.00336233339153"
"feature_1_lag54",-1.85020058069862e-05,6.84648437763505e-09,"feature_1_lag54=-1.00336233339153"
"feature_1_lag53",0,0,"feature_1_lag53=-0.961550679074639"
"feature_1_lag52",0,0,"feature_1_lag52=-1.00336233339153"
"feature_1_lag51",0,0,"feature_1_lag51=-1.00336233339153"
"feature_1_lag50",0,0,"feature_1_lag50=-0.961550679074639"
"feature_1_lag49",0,0,"feature_1_lag49=-0.921447806575654"
"feature_1_lag48",0,0,"feature_1_lag48=-0.961550679074639"
"feature_1_lag47",0,0,"feature_1_lag47=-0.961550679074639"
"feature_1_lag46",0,0,"feature_1_lag46=-1.00336233339153"
"feature_1_lag45",0,0,"feature_1_lag45=-1.04712181127362"
"feature_1_lag44",0,0,"feature_1_lag44=-1.09312970058319"
