"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=0.729209505354608"
"feature_1_lag70",0,0,"feature_1_lag70=0.804592209453293"
"feature_1_lag69",0,0,"feature_1_lag69=0.841655234766242"
"feature_1_lag68",0,0,"feature_1_lag68=0.896502431226163"
"feature_1_lag67",0,0,"feature_1_lag67=0.932587312499638"
"feature_1_lag66",0,0,"feature_1_lag66=1.0560415186676"
"feature_1_lag65",0,0,"feature_1_lag65=1.17540634964144"
"feature_1_lag64",0,0,"feature_1_lag64=1.22540746083898"
"feature_1_lag63",0,0,"feature_1_lag63=1.22540746083898"
"feature_1_lag62",0,0,"feature_1_lag62=1.12472485737838"
"feature_1_lag61",0,0,"feature_1_lag61=1.00365784409158"
"feature_1_lag60",0,0,"feature_1_lag60=0.932587312499638"
"feature_1_lag59",0,0,"feature_1_lag59=0.950490243203608"
"feature_1_lag58",0,0,"feature_1_lag58=0.950490243203608"
"feature_1_lag57",0,0,"feature_1_lag57=0.932587312499638"
"feature_1_lag56",0,0,"feature_1_lag56=0.896502431226163"
"feature_1_lag55",0,0,"feature_1_lag55=0.804592209453293"
"feature_1_lag54",0,0,"feature_1_lag54=0.710091445804932"
"feature_1_lag53",0,0,"feature_1_lag53=0.592941515697742"
"feature_1_lag52",0,0,"feature_1_lag52=0.512352421682581"
"feature_1_lag51",0,0,"feature_1_lag51=0.532697244688096"
"feature_1_lag50",0,0,"feature_1_lag50=0.512352421682581"
"feature_1_lag49",3.76695662873537e-05,2.83799244855467e-08,"feature_1_lag49=0.552908654701322"
"feature_1_lag48",3.76695662873544e-05,2.83799244855478e-08,"feature_1_lag48=0.612767903371987"
"feature_1_lag47",0,0,"feature_1_lag47=0.729209505354608"
"feature_1_lag46",0,0,"feature_1_lag46=0.804592209453293"
"feature_1_lag45",0,0,"feature_1_lag45=0.710091445804932"
"feature_1_lag44",0,0,"feature_1_lag44=0.612767903371987"
"feature_1_lag43",0,0,"feature_1_lag43=0.450490243203608"
"feature_1_lag42",0,0,"feature_1_lag42=0.365966190626258"
"feature_1_lag41",0,0,"feature_1_lag41=0.322771566472622"
"feature_1_lag40",0,0,"feature_1_lag40=0.344449468901164"
