"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=0.335362365839896"
"feature_1_lag70",0,0,"feature_1_lag70=0.234173372574899"
"feature_1_lag69",0,0,"feature_1_lag69=0.268338384321219"
"feature_1_lag68",0,0,"feature_1_lag68=0.285254489778479"
"feature_1_lag67",0,0,"feature_1_lag67=0.335362365839896"
"feature_1_lag66",0,0,"feature_1_lag66=0.368253596173764"
"feature_1_lag65",0,0,"feature_1_lag65=0.384550596880073"
"feature_1_lag64",0,0,"feature_1_lag64=0.480359347917196"
"feature_1_lag63",0,0,"feature_1_lag63=0.542466371004566"
"feature_1_lag62",0,0,"feature_1_lag62=0.588183814677435"
"feature_1_lag61",0,0,"feature_1_lag61=0.603265438197845"
"feature_1_lag60",0,0,"feature_1_lag60=0.588183814677435"
"feature_1_lag59",0,0,"feature_1_lag59=0.633199586988823"
"feature_1_lag58",0,0,"feature_1_lag58=0.706750716882829"
"feature_1_lag57",0,0,"feature_1_lag57=0.735679546942301"
"feature_1_lag56",0,0,"feature_1_lag56=0.633199586988823"
"feature_1_lag55",0,0,"feature_1_lag55=0.603265438197845"
"feature_1_lag54",0,0,"feature_1_lag54=0.44878816737744"
"feature_1_lag53",0,0,"feature_1_lag53=0.432868033274236"
"feature_1_lag52",0,0,"feature_1_lag52=0.400750876918659"
"feature_1_lag51",0,0,"feature_1_lag51=0.400750876918659"
"feature_1_lag50",0,0,"feature_1_lag50=0.511581643503325"
"feature_1_lag49",0,0,"feature_1_lag49=0.618270308958838"
"feature_1_lag48",0,0,"feature_1_lag48=0.834858692074203"
"feature_1_lag47",0,0,"feature_1_lag47=0.998041891203875"
"feature_1_lag46",0,0,"feature_1_lag46=1.08965377142236"
"feature_1_lag45",0,0,"feature_1_lag45=1.20396747738952"
"feature_1_lag44",0,0,"feature_1_lag44=1.27817355336523"
"feature_1_lag43",0,0,"feature_1_lag43=1.30257346661626"
"feature_1_lag42",0,0,"feature_1_lag42=1.30257346661626"
"feature_1_lag41",0,0,"feature_1_lag41=1.25360821128969"
"feature_1_lag40",0,0,"feature_1_lag40=1.24126244304904"
"feature_1_lag39",0,0,"feature_1_lag39=1.20396747738952"
"feature_1_lag38",0,0,"feature_1_lag38=1.21644252499918"
"feature_1_lag37",0,0,"feature_1_lag37=1.21644252499918"
"feature_1_lag36",0,0,"feature_1_lag36=1.17888490088703"
"feature_1_lag35",0,0,"feature_1_lag35=1.05069417783779"
"feature_1_lag34",0,0,"feature_1_lag34=0.86263241867143"
"feature_1_lag33",0,0,"feature_1_lag33=0.633199586988823"
"feature_1_lag32",0,0,"feature_1_lag32=0.49601338445005"
"feature_1_lag31",0,0,"feature_1_lag31=0.400750876918659"
"feature_1_lag30",0,0,"feature_1_lag30=0.351858121475694"
"feature_1_lag29",0,0,"feature_1_lag29=0.318764466374108"
"feature_1_lag28",0,0,"feature_1_lag28=0.302062501784234"
"feature_1_lag27",0,0,"feature_1_lag27=0.268338384321219"
"feature_1_lag26",0,0,"feature_1_lag26=0.234173372574899"
"feature_1_lag25",0,0,"feature_1_lag25=0.21692002845473"
"feature_1_lag24",0,0,"feature_1_lag24=0.19954970849095"
"feature_1_lag23",-9.07625226704067e-05,7.80426523089104e-08,"feature_1_lag23=0.19954970849095"
"feature_1_lag22",-9.07625226704067e-05,7.80426523089104e-08,"feature_1_lag22=0.19954970849095"
"feature_1_lag21",-0.00011179267085776,1.25556994320565e-07,"feature_1_lag21=0.146712348992518"
"feature_1_lag20",-0.00011179267085776,1.25556994320565e-07,"feature_1_lag20=0.0744683984434887"
"feature_1_lag19",0,0,"feature_1_lag19=0.0375251446909678"
"feature_1_lag18",0,0,"feature_1_lag18=0.0744683984434887"
"feature_1_lag17",0,0,"feature_1_lag17=0.0375251446909678"
"feature_1_lag16",0,0,"feature_1_lag16=0"
"feature_1_lag15",0,0,"feature_1_lag15=0"
"feature_1_lag14",0,0,"feature_1_lag14=0"
"feature_1_lag13",0.000471776269681762,7.02861627267911e-07,"feature_1_lag13=0.0375251446909678"
"feature_1_lag12",0,0,"feature_1_lag12=0.0375251446909678"
"feature_1_lag11",0,0,"feature_1_lag11=0.0927300991977096"
"feature_1_lag10",0,0,"feature_1_lag10=0.146712348992518"
"feature_1_lag9",0,0,"feature_1_lag9=0.21692002845473"
"feature_1_lag8",0,0,"feature_1_lag8=0.335362365839896"
"feature_1_lag7",0,0,"feature_1_lag7=0.384550596880073"
"feature_1_lag6",0,0,"feature_1_lag6=0.368253596173764"
"feature_1_lag5",0,0,"feature_1_lag5=0.384550596880073"
"feature_1_lag4",0,0,"feature_1_lag4=0.400750876918659"
"feature_1_lag3",0,0,"feature_1_lag3=0.416856138193286"
"feature_1_lag2",0,0,"feature_1_lag2=0.480359347917196"
"feature_1_lag1",0.00061372631145426,7.53319970742503e-06,"feature_1_lag1=0.57302424839292"
"feature_1_lag0",0.00061372631145426,7.53319970742503e-06,"feature_1_lag0=0.557785518267531"
"feature_2_lag71",2.47154816984674e-05,1.22171007117455e-08,"feature_2_lag71=0.36115512948498"
"feature_2_lag70",2.47154816984674e-05,1.22171007117455e-08,"feature_2_lag70=0.251374994701417"
"feature_2_lag69",0,0,"feature_2_lag69=0.412722926171687"
"feature_2_lag68",0,0,"feature_2_lag68=0.555861842124668"
"feature_2_lag67",0,0,"feature_2_lag67=0.762556221462621"
"feature_2_lag66",0,0,"feature_2_lag66=0.600123918056428"
"feature_2_lag65",0,0,"feature_2_lag65=0.412722926171687"
"feature_2_lag64",0,0,"feature_2_lag64=0.555861842124668"
"feature_2_lag63",0,0,"feature_2_lag63=1.17260720390684"
"feature_2_lag62",0,0,"feature_2_lag62=2.12292535582153"
"feature_2_lag61",0,0,"feature_2_lag61=1.42846716259032"
"feature_2_lag60",0,0,"feature_2_lag60=1.56299673710822"
"feature_2_lag59",0,0,"feature_2_lag59=1.6651056793741"
"feature_2_lag58",0,0,"feature_2_lag58=1.40766978523098"
"feature_2_lag57",0,0,"feature_2_lag57=1.4883829730283"
"feature_2_lag56",0,0,"feature_2_lag56=1.19863543901374"
"feature_2_lag55",0,0,"feature_2_lag55=0.684090470865078"
"feature_2_lag54",0,0,"feature_2_lag54=1.4883829730283"
"feature_2_lag53",0,0,"feature_2_lag53=1.71230368218403"
"feature_2_lag52",0,0,"feature_2_lag52=1.24885155252009"
"feature_2_lag51",0,0,"feature_2_lag51=1.31993447521678"
"feature_2_lag50",0,0,"feature_2_lag50=1.36474518142329"
"feature_2_lag49",0,0,"feature_2_lag49=1.31993447521678"
"feature_2_lag48",0,0,"feature_2_lag48=1.54487118321137"
"feature_2_lag47",0,0,"feature_2_lag47=1.06170975953941"
"feature_2_lag46",0,0,"feature_2_lag46=0.938363048109708"
"feature_2_lag45",0,0,"feature_2_lag45=1.61541602128073"
"feature_2_lag44",0,0,"feature_2_lag44=1.29677594534475"
"feature_2_lag43",-0.000295980998939643,1.42876450338686e-06,"feature_2_lag43=1.06170975953941"
"feature_2_lag42",-0.000349748213750611,2.05809508695272e-06,"feature_2_lag42=0.79991672433442"
"feature_2_lag41",-0.00012864531827462,1.96737095652727e-07,"feature_2_lag41=1.27308875124862"
"feature_2_lag40",0.000316445747657403,2.52524451530357e-07,"feature_2_lag40=1.24885155252009"
"feature_2_lag39",5.03524995315557e-05,5.07074841815064e-08,"feature_2_lag39=0.970499148996853"
"feature_2_lag38",0,0,"feature_2_lag38=0.836118811986018"
"feature_2_lag37",1.04697985256252e-05,2.19233362334369e-09,"feature_2_lag37=0.684090470865078"
"feature_2_lag36",1.04697985256239e-05,2.19233362334311e-09,"feature_2_lag36=0.762556221462621"
"feature_2_lag35",0,0,"feature_2_lag35=0.79991672433442"
"feature_2_lag34",0,0,"feature_2_lag34=0.905287443412802"
"feature_2_lag33",0,0,"feature_2_lag33=0.970499148996853"
"feature_2_lag32",0,0,"feature_2_lag32=0.836118811986018"
"feature_2_lag31",0,0,"feature_2_lag31=1.03213153462526"
"feature_2_lag30",0,0,"feature_2_lag30=1.00174118700926"
"feature_2_lag29",0,0,"feature_2_lag29=0.684090470865078"
"feature_2_lag28",0,0,"feature_2_lag28=0.684090470865078"
"feature_2_lag27",3.65537511463954e-05,2.6723534457452e-08,"feature_2_lag27=0.555861842124668"
"feature_2_lag26",3.65537511463954e-05,2.6723534457452e-08,"feature_2_lag26=0.79991672433442"
"feature_2_lag25",0,0,"feature_2_lag25=0.871223530687849"
"feature_2_lag24",0,0,"feature_2_lag24=0.871223530687849"
"feature_2_lag23",0,0,"feature_2_lag23=1.44884214339186"
"feature_2_lag22",0,0,"feature_2_lag22=1.42846716259032"
"feature_2_lag21",0,0,"feature_2_lag21=1.29677594534475"
"feature_2_lag20",0,0,"feature_2_lag20=1.64883042992176"
"feature_2_lag19",0,0,"feature_2_lag19=1.58078913704126"
"feature_2_lag18",0,0,"feature_2_lag18=1.090512861013"
"feature_2_lag17",0,0,"feature_2_lag17=0.555861842124668"
"feature_2_lag16",0,0,"feature_2_lag16=0.684090470865078"
"feature_2_lag15",0,0,"feature_2_lag15=0.684090470865078"
"feature_2_lag14",0,0,"feature_2_lag14=0.555861842124668"
"feature_2_lag13",0,0,"feature_2_lag13=0.642836137910105"
"feature_2_lag12",0,0,"feature_2_lag12=0.600123918056428"
