"feature","phi","phi.var","feature.value"
"feature_1_lag71",0.000223226762881168,9.96603753328104e-07,"feature_1_lag71=-0.528671581559949"
"feature_1_lag70",0.000223226762881168,9.96603753328104e-07,"feature_1_lag70=-0.528671581559949"
"feature_1_lag69",0,0,"feature_1_lag69=-0.468637449464193"
"feature_1_lag68",0,0,"feature_1_lag68=-0.410450817593462"
"feature_1_lag67",0,0,"feature_1_lag67=-0.410450817593462"
"feature_1_lag66",0,0,"feature_1_lag66=-0.528671581559949"
"feature_1_lag65",0,0,"feature_1_lag65=-0.654779390662224"
"feature_1_lag64",0,0,"feature_1_lag64=-0.721134140330709"
"feature_1_lag63",0.000256332135126697,1.31412326997222e-06,"feature_1_lag63=-0.654779390662224"
"feature_1_lag62",0.000256332135126697,1.31412326997222e-06,"feature_1_lag62=-0.654779390662224"
"feature_1_lag61",0,0,"feature_1_lag61=-0.528671581559949"
"feature_1_lag60",0,0,"feature_1_lag60=-0.410450817593462"
"feature_1_lag59",0,0,"feature_1_lag59=-0.410450817593462"
"feature_1_lag58",0,0,"feature_1_lag58=-0.299188355241269"
"feature_1_lag57",0,0,"feature_1_lag57=-0.194110416243142"
"feature_1_lag56",0,0,"feature_1_lag56=-0.143682992345972"
"feature_1_lag55",0,0,"feature_1_lag55=-0.143682992345972"
"feature_1_lag54",0,0,"feature_1_lag54=-0.299188355241269"
"feature_1_lag53",0,0,"feature_1_lag53=-0.354001362078158"
"feature_1_lag52",0,0,"feature_1_lag52=-0.354001362078158"
"feature_1_lag51",0,0,"feature_1_lag51=-0.410450817593462"
"feature_1_lag50",0,0,"feature_1_lag50=-0.410450817593462"
"feature_1_lag49",0,0,"feature_1_lag49=-0.410450817593462"
"feature_1_lag48",0,0,"feature_1_lag48=-0.245919583957652"
"feature_1_lag47",0,0,"feature_1_lag47=-0.143682992345972"
"feature_1_lag46",0,0,"feature_1_lag46=0"
"feature_1_lag45",0,0,"feature_1_lag45=0.13353191102189"
"feature_1_lag44",0,0,"feature_1_lag44=0.176026201131787"
"feature_1_lag43",0,0,"feature_1_lag43=0.0900606555945294"
"feature_1_lag42",0,0,"feature_1_lag42=-0.0945655209292392"
"feature_1_lag41",0,0,"feature_1_lag41=-0.299188355241269"
"feature_1_lag40",0,0,"feature_1_lag40=-0.528671581559949"
"feature_1_lag39",0,0,"feature_1_lag39=-0.789902312573004"
"feature_1_lag38",0,0,"feature_1_lag38=-0.935429202022561"
"feature_1_lag37",0,0,"feature_1_lag37=-1.01262017807955"
"feature_1_lag36",0,0,"feature_1_lag36=-1.01262017807955"
"feature_1_lag35",0,0,"feature_1_lag35=-0.861266115051132"
"feature_1_lag34",0,0,"feature_1_lag34=-0.654779390662224"
"feature_1_lag33",0,0,"feature_1_lag33=-0.410450817593462"
"feature_1_lag32",0,0,"feature_1_lag32=-0.194110416243142"
"feature_1_lag31",0,0,"feature_1_lag31=-0.143682992345972"
"feature_1_lag30",0,0,"feature_1_lag30=-0.143682992345972"
"feature_1_lag29",0,0,"feature_1_lag29=-0.245919583957652"
"feature_1_lag28",0,0,"feature_1_lag28=-0.245919583957652"
"feature_1_lag27",0,0,"feature_1_lag27=-0.299188355241269"
"feature_1_lag26",0,0,"feature_1_lag26=-0.299188355241269"
"feature_1_lag25",0,0,"feature_1_lag25=-0.299188355241269"
"feature_1_lag24",0,0,"feature_1_lag24=0.0900606555945294"
"feature_1_lag23",0,0,"feature_1_lag23=0.217586474759424"
"feature_1_lag22",0,0,"feature_1_lag22=0.298063144657701"
"feature_1_lag21",0,0,"feature_1_lag21=0.298063144657701"
"feature_1_lag20",0,0,"feature_1_lag20=0.0455664537911853"
"feature_1_lag19",0,0,"feature_1_lag19=-0.194110416243142"
"feature_1_lag18",0,0,"feature_1_lag18=-0.299188355241269"
"feature_1_lag17",0,0,"feature_1_lag17=-0.410450817593462"
"feature_1_lag16",0,0,"feature_1_lag16=-0.528671581559949"
"feature_1_lag15",0,0,"feature_1_lag15=-0.590674392990106"
"feature_1_lag14",0,0,"feature_1_lag14=-0.721134140330709"
"feature_1_lag13",0,0,"feature_1_lag13=-0.590674392990106"
"feature_1_lag12",0,0,"feature_1_lag12=-0.528671581559949"
"feature_1_lag11",0,0,"feature_1_lag11=-0.468637449464193"
"feature_1_lag10",0,0,"feature_1_lag10=-0.468637449464193"
"feature_1_lag9",0,0,"feature_1_lag9=-0.590674392990106"
"feature_1_lag8",-0.000192270640754866,7.39359985925733e-07,"feature_1_lag8=-0.528671581559949"
"feature_1_lag7",0,0,"feature_1_lag7=-0.528671581559949"
"feature_1_lag6",0,0,"feature_1_lag6=-0.654779390662224"
"feature_1_lag5",0,0,"feature_1_lag5=-0.410450817593462"
"feature_1_lag4",0,0,"feature_1_lag4=-0.354001362078158"
"feature_1_lag3",4.17698527057114e-05,6.52060233772256e-08,"feature_1_lag3=-0.354001362078158"
"feature_1_lag2",7.68200242654258e-05,8.66941233711446e-08,"feature_1_lag2=-0.299188355241269"
"feature_1_lag1",0,0,"feature_1_lag1=-0.245919583957652"
"feature_1_lag0",0,0,"feature_1_lag0=-0.0466916643747539"
"feature_2_lag71",0,0,"feature_2_lag71=0.814007436668886"
"feature_2_lag70",0,0,"feature_2_lag70=0.637190535771583"
"feature_2_lag69",0,0,"feature_2_lag69=0.56887158624886"
"feature_2_lag68",0,0,"feature_2_lag68=0.532595556987419"
"feature_2_lag67",0,0,"feature_2_lag67=0.414053658903883"
"feature_2_lag66",0,0,"feature_2_lag66=0.325664425908045"
"feature_2_lag65",0,0,"feature_2_lag65=0.494776667169291"
"feature_2_lag64",0,0,"feature_2_lag64=0.603705874049226"
"feature_2_lag63",0,0,"feature_2_lag63=0.414053658903883"
"feature_2_lag62",0,0,"feature_2_lag62=0.278206438169622"
"feature_2_lag61",0,0,"feature_2_lag61=0.56887158624886"
"feature_2_lag60",0,0,"feature_2_lag60=0.494776667169291"
"feature_2_lag59",-9.88578085436953e-05,1.95457326201238e-07,"feature_2_lag59=0.175822728996013"
"feature_2_lag58",-9.88578085437064e-05,1.95457326201282e-07,"feature_2_lag58=0"
"feature_2_lag57",0,0,"feature_2_lag57=-0.13563445419693"
"feature_2_lag56",0,0,"feature_2_lag56=-0.210179456021999"
"feature_2_lag55",0,0,"feature_2_lag55=-0.13563445419693"
"feature_2_lag54",0,0,"feature_2_lag54=-0.0657270805253575"
"feature_2_lag53",0,0,"feature_2_lag53=0.532595556987419"
"feature_2_lag52",0,0,"feature_2_lag52=0.669409686004563"
"feature_2_lag51",0,0,"feature_2_lag51=0.889654800511575"
"feature_2_lag50",0,0,"feature_2_lag50=0.759212696755402"
"feature_2_lag49",0,0,"feature_2_lag49=0.700440308404534"
"feature_2_lag48",0,0,"feature_2_lag48=0.56887158624886"
"feature_2_lag47",0,0,"feature_2_lag47=0.759212696755402"
"feature_2_lag46",0,0,"feature_2_lag46=0.814007436668886"
"feature_2_lag45",0,0,"feature_2_lag45=0.814007436668886"
"feature_2_lag44",0,0,"feature_2_lag44=0.730353012853218"
"feature_2_lag43",0,0,"feature_2_lag43=0.637190535771583"
"feature_2_lag42",0,0,"feature_2_lag42=0.603705874049226"
"feature_2_lag41",0,0,"feature_2_lag41=0.730353012853218"
"feature_2_lag40",0,0,"feature_2_lag40=0.700440308404534"
"feature_2_lag39",0,0,"feature_2_lag39=0.228329310837673"
"feature_2_lag38",0.000300069635853784,1.80083572722845e-06,"feature_2_lag38=0.12044999299676"
"feature_2_lag37",0,0,"feature_2_lag37=0.12044999299676"
