"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=1.24670804219404"
"feature_1_lag70",0,0,"feature_1_lag70=1.24670804219404"
"feature_1_lag69",0,0,"feature_1_lag69=1.26015844656109"
"feature_1_lag68",0,0,"feature_1_lag68=1.23312108316441"
"feature_1_lag67",0,0,"feature_1_lag67=1.19151242707603"
"feature_1_lag66",0,0,"feature_1_lag66=1.16303680027445"
"feature_1_lag65",0,0,"feature_1_lag65=1.13394208986315"
"feature_1_lag64",0,0,"feature_1_lag64=1.10420077769053"
"feature_1_lag63",0,0,"feature_1_lag63=1.04265871810336"
"feature_1_lag62",0,0,"feature_1_lag62=0.978149653904639"
"feature_1_lag61",0,0,"feature_1_lag61=0.910372945245506"
"feature_1_lag60",4.02806657044577e-05,1.53713560698405e-08,"feature_1_lag60=0.99457076752579"
"feature_1_lag59",0,0,"feature_1_lag59=0.927641623156829"
"feature_1_lag58",0,0,"feature_1_lag58=0.875152387059111"
"feature_1_lag57",0,0,"feature_1_lag57=0.704072478539186"
"feature_1_lag56",0,0,"feature_1_lag56=0.724197729508261"
"feature_1_lag55",0,0,"feature_1_lag55=0.820520149751766"
"feature_1_lag54",0.000152706950107129,4.66388252220422e-07,"feature_1_lag54=0.875152387059111"
"feature_1_lag53",0,0,"feature_1_lag53=0.927641623156829"
"feature_1_lag52",0,0,"feature_1_lag52=0.96152454607999"
"feature_1_lag51",0,0,"feature_1_lag51=0.99457076752579"
"feature_1_lag50",0,0,"feature_1_lag50=1.01079283244137"
"feature_1_lag49",0,0,"feature_1_lag49=1.01079283244137"
"feature_1_lag48",0,0,"feature_1_lag48=1.02682061645809"
"feature_1_lag47",0,0,"feature_1_lag47=1.05831157454529"
"feature_1_lag46",0,0,"feature_1_lag46=1.11915405023286"
"feature_1_lag45",0,0,"feature_1_lag45=1.17735034815382"
"feature_1_lag44",0,0,"feature_1_lag44=1.23312108316441"
"feature_1_lag43",0,0,"feature_1_lag43=1.27347501383923"
"feature_1_lag42",0,0,"feature_1_lag42=1.23312108316441"
"feature_1_lag41",0,0,"feature_1_lag41=1.19151242707603"
"feature_1_lag40",0,0,"feature_1_lag40=1.19151242707603"
"feature_1_lag39",0,0,"feature_1_lag39=1.10420077769053"
"feature_1_lag38",0,0,"feature_1_lag38=1.05831157454529"
"feature_1_lag37",0,0,"feature_1_lag37=1.04265871810336"
"feature_1_lag36",0,0,"feature_1_lag36=1.13394208986315"
"feature_1_lag35",0,0,"feature_1_lag35=1.19151242707603"
"feature_1_lag34",0,0,"feature_1_lag34=1.13394208986315"
"feature_1_lag33",0,0,"feature_1_lag33=1.08907853804116"
"feature_1_lag32",0,0,"feature_1_lag32=1.07378346905477"
"feature_1_lag31",0,0,"feature_1_lag31=1.08907853804116"
"feature_1_lag30",0,0,"feature_1_lag30=1.14856850833878"
"feature_1_lag29",0,0,"feature_1_lag29=1.14856850833878"
"feature_1_lag28",0,0,"feature_1_lag28=1.16303680027445"
"feature_1_lag27",0,0,"feature_1_lag27=1.16303680027445"
"feature_1_lag26",0,0,"feature_1_lag26=1.14856850833878"
"feature_1_lag25",0,0,"feature_1_lag25=1.10420077769053"
