"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=-0.906551566067511"
"feature_1_lag70",0,0,"feature_1_lag70=-0.872213791640028"
"feature_1_lag69",0,0,"feature_1_lag69=-0.838724256464293"
"feature_1_lag68",0,0,"feature_1_lag68=-0.774056967605984"
"feature_1_lag67",0,0,"feature_1_lag67=-0.774056967605984"
"feature_1_lag66",0,0,"feature_1_lag66=-0.806023041782269"
"feature_1_lag65",-0.000379056021913712,2.69110421029962e-07,"feature_1_lag65=-0.838724256464293"
"feature_1_lag64",3.46618301250046e-05,2.40288493522935e-08,"feature_1_lag64=-0.941805497029642"
"feature_1_lag63",-7.52798479564672e-05,5.36878942896203e-08,"feature_1_lag63=-0.978053080086952"
"feature_1_lag62",3.7639923978236e-05,2.83352775417477e-08,"feature_1_lag62=-0.872213791640028"
"feature_1_lag61",0,0,"feature_1_lag61=-0.682118822248472"
"feature_1_lag60",0,0,"feature_1_lag60=-0.595348671601327"
"feature_1_lag59",0,0,"feature_1_lag59=-0.539977532136851"
"feature_1_lag58",0,0,"feature_1_lag58=-0.512962085574202"
"feature_1_lag57",0,0,"feature_1_lag57=-0.512962085574202"
"feature_1_lag56",0,0,"feature_1_lag56=-0.567432340698268"
"feature_1_lag55",0,0,"feature_1_lag55=-0.623750613154378"
"feature_1_lag54",0,0,"feature_1_lag54=-0.652664424965592"
"feature_1_lag53",0,0,"feature_1_lag53=-0.71214530985939"
"feature_1_lag52",0,0,"feature_1_lag52=-0.774056967605984"
"feature_1_lag51",-0.000245280215274278,7.74018975502875e-08,"feature_1_lag51=-0.872213791640028"
"feature_1_lag50",0,0,"feature_1_lag50=-0.906551566067511"
"feature_1_lag49",0,0,"feature_1_lag49=-0.941805497029642"
"feature_1_lag48",0,0,"feature_1_lag48=-0.941805497029642"
"feature_1_lag47",0,0,"feature_1_lag47=-0.906551566067511"
"feature_1_lag46",0,0,"feature_1_lag46=-0.906551566067511"
"feature_1_lag45",0,0,"feature_1_lag45=-0.906551566067511"
"feature_1_lag44",0,0,"feature_1_lag44=-0.872213791640028"
"feature_1_lag43",0,0,"feature_1_lag43=-0.872213791640028"
"feature_1_lag42",0,0,"feature_1_lag42=-0.872213791640028"
"feature_1_lag41",0,0,"feature_1_lag41=-0.906551566067511"
"feature_1_lag40",0,0,"feature_1_lag40=-0.978053080086952"
"feature_1_lag39",0,0,"feature_1_lag39=-1.05389968093789"
"feature_1_lag38",0,0,"feature_1_lag38=-1.0153833941667"
"feature_1_lag37",0,0,"feature_1_lag37=-0.906551566067511"
"feature_1_lag36",0,0,"feature_1_lag36=-0.71214530985939"
"feature_1_lag35",0,0,"feature_1_lag35=-0.567432340698268"
"feature_1_lag34",0,0,"feature_1_lag34=-0.460169049114968"
"feature_1_lag33",0,0,"feature_1_lag33=-0.434355031359602"
"feature_1_lag32",0,0,"feature_1_lag32=-0.460169049114968"
"feature_1_lag31",0,0,"feature_1_lag31=-0.512962085574202"
"feature_1_lag30",0,0,"feature_1_lag30=-0.512962085574202"
"feature_1_lag29",0,0,"feature_1_lag29=-0.595348671601327"
"feature_1_lag28",0,0,"feature_1_lag28=-0.774056967605984"
"feature_1_lag27",0,0,"feature_1_lag27=-0.838724256464293"
"feature_1_lag26",0,0,"feature_1_lag26=-0.906551566067511"
"feature_1_lag25",0,0,"feature_1_lag25=-0.872213791640028"
"feature_1_lag24",0,0,"feature_1_lag24=-0.941805497029642"
"feature_1_lag23",0,0,"feature_1_lag23=-0.906551566067511"
"feature_1_lag22",0,0,"feature_1_lag22=-0.906551566067511"
"feature_1_lag21",0,0,"feature_1_lag21=-0.806023041782269"
"feature_1_lag20",0,0,"feature_1_lag20=-0.742778577131988"
"feature_1_lag19",-2.05085829420443e-05,8.41203948581419e-09,"feature_1_lag19=-0.774056967605984"
"feature_1_lag18",2.05085829420443e-05,8.41203948581419e-09,"feature_1_lag18=-0.838724256464293"
"feature_1_lag17",-0.000621975197564162,7.56254271128529e-07,"feature_1_lag17=-0.941805497029642"
"feature_1_lag16",0,0,"feature_1_lag16=-1.05389968093789"
"feature_1_lag15",-0.000306105710301669,2.56244643907891e-07,"feature_1_lag15=-1.05389968093789"
"feature_1_lag14",0,0,"feature_1_lag14=-0.941805497029642"
"feature_1_lag13",0,0,"feature_1_lag13=-0.742778577131988"
"feature_1_lag12",0,0,"feature_1_lag12=-0.595348671601327"
"feature_1_lag11",-0.0002975843815887,1.77112928331058e-06,"feature_1_lag11=-0.486365559276414"
"feature_1_lag10",0,0,"feature_1_lag10=-0.383810474412017"
"feature_1_lag9",0,0,"feature_1_lag9=-0.359050638258466"
"feature_1_lag8",0,0,"feature_1_lag8=-0.383810474412017"
"feature_1_lag7",-8.31125939066424e-05,1.38154065317809e-07,"feature_1_lag7=-0.434355031359602"
"feature_1_lag6",0,0,"feature_1_lag6=-0.539977532136851"
"feature_1_lag5",0,0,"feature_1_lag5=-0.623750613154378"
"feature_1_lag4",0,0,"feature_1_lag4=-0.682118822248472"
"feature_1_lag3",0,0,"feature_1_lag3=-0.682118822248472"
"feature_1_lag2",0,0,"feature_1_lag2=-0.71214530985939"
"feature_1_lag1",0,0,"feature_1_lag1=-0.682118822248472"
"feature_1_lag0",0,0,"feature_1_lag0=-0.623750613154378"
"feature_2_lag71",0,0,"feature_2_lag71=-0.848530645966605"
"feature_2_lag70",0,0,"feature_2_lag70=-1.03698581756959"
"feature_2_lag69",0,0,"feature_2_lag69=-0.848530645966605"
"feature_2_lag68",0,0,"feature_2_lag68=-0.51938658948975"
"feature_2_lag67",0,0,"feature_2_lag67=-0.676777161639299"
"feature_2_lag66",0,0,"feature_2_lag66=-0.51938658948975"
"feature_2_lag65",0,0,"feature_2_lag65=-0.676777161639299"
"feature_2_lag64",0,0,"feature_2_lag64=-0.51938658948975"
"feature_2_lag63",0,0,"feature_2_lag63=-0.115961613347634"
"feature_2_lag62",0,0,"feature_2_lag62=-0.115961613347634"
"feature_2_lag61",0,0,"feature_2_lag61=0.305553776602358"
"feature_2_lag60",0,0,"feature_2_lag60=-0.374455079941521"
"feature_2_lag59",0,0,"feature_2_lag59=-0.51938658948975"
"feature_2_lag58",0,0,"feature_2_lag58=-0.374455079941521"
"feature_2_lag57",0,0,"feature_2_lag57=-0.374455079941521"
"feature_2_lag56",0,0,"feature_2_lag56=-0.848530645966605"
"feature_2_lag55",0,0,"feature_2_lag55=-1.03698581756959"
"feature_2_lag54",0,0,"feature_2_lag54=-1.03698581756959"
"feature_2_lag53",0,0,"feature_2_lag53=-0.848530645966605"
"feature_2_lag52",0,0,"feature_2_lag52=-1.03698581756959"
"feature_2_lag51",0,0,"feature_2_lag51=-1.03698581756959"
"feature_2_lag50",0,0,"feature_2_lag50=-1.24505326394684"
"feature_2_lag49",0,0,"feature_2_lag49=-1.24505326394684"
"feature_2_lag48",0,0,"feature_2_lag48=-1.47640895773853"
"feature_2_lag47",0,0,"feature_2_lag47=-1.73577454647193"
"feature_2_lag46",0,0,"feature_2_lag46=-2.0293343953798"
"feature_2_lag45",0,0,"feature_2_lag45=-2.0293343953798"
"feature_2_lag44",0,0,"feature_2_lag44=-2.0293343953798"
"feature_2_lag43",-1.38773532897984e-05,3.85161868659759e-09,"feature_2_lag43=-1.73577454647193"
"feature_2_lag42",0,0,"feature_2_lag42=-1.73577454647193"
"feature_2_lag41",-0.000507247328208624,1.38150053914113e-06,"feature_2_lag41=-1.73577454647193"
"feature_2_lag40",0.000388434206102667,8.99992720000124e-07,"feature_2_lag40=-0.848530645966605"
"feature_2_lag39",0,0,"feature_2_lag39=-0.51938658948975"
"feature_2_lag38",0,0,"feature_2_lag38=-0.676777161639299"
"feature_2_lag37",0,0,"feature_2_lag37=-1.03698581756959"
"feature_2_lag36",0,0,"feature_2_lag36=-0.240414873633897"
"feature_2_lag35",0,0,"feature_2_lag35=0.305553776602358"
"feature_2_lag34",0,0,"feature_2_lag34=0"
"feature_2_lag33",0,0,"feature_2_lag33=-1.47640895773853"
"feature_2_lag32",0,0,"feature_2_lag32=-1.73577454647193"
"feature_2_lag31",0,0,"feature_2_lag31=-1.47640895773853"
"feature_2_lag30",0,0,"feature_2_lag30=-1.73577454647193"
"feature_2_lag29",0,0,"feature_2_lag29=-1.73577454647193"
"feature_2_lag28",0,0,"feature_2_lag28=-1.24505326394684"
"feature_2_lag27",0,0,"feature_2_lag27=-1.47640895773853"
"feature_2_lag26",0,0,"feature_2_lag26=-1.73577454647193"
"feature_2_lag25",0,0,"feature_2_lag25=-0.676777161639299"
"feature_2_lag24",0,0,"feature_2_lag24=-1.03698581756959"
"feature_2_lag23",0,0,"feature_2_lag23=-0.848530645966605"
"feature_2_lag22",0,0,"feature_2_lag22=-0.848530645966605"
"feature_2_lag21",0,0,"feature_2_lag21=-1.24505326394684"
"feature_2_lag20",0,0,"feature_2_lag20=-0.676777161639299"
"feature_2_lag19",0,0,"feature_2_lag19=-0.848530645966605"
"feature_2_lag18",0,0,"feature_2_lag18=-0.676777161639299"
"feature_2_lag17",0,0,"feature_2_lag17=-0.374455079941521"
"feature_2_lag16",0,0,"feature_2_lag16=-0.374455079941521"
"feature_2_lag15",0,0,"feature_2_lag15=-0.676777161639299"
"feature_2_lag14",0,0,"feature_2_lag14=-0.51938658948975"
"feature_2_lag13",0,0,"feature_2_lag13=0"
"feature_2_lag12",0,0,"feature_2_lag12=0.108397440618985"
"feature_2_lag11",-0.000311539355144196,1.24868358811728e-07,"feature_2_lag11=0.108397440618985"
"feature_2_lag10",-0.00020106735867069,2.75019540230734e-07,"feature_2_lag10=0.70995776915383"
"feature_2_lag9",0,0,"feature_2_lag9=0.305553776602358"
"feature_2_lag8",0,0,"feature_2_lag8=-0.240414873633897"
"feature_2_lag7",0.000118694834536653,1.34722946978706e-07,"feature_2_lag7=-0.374455079941521"
"feature_2_lag6",5.38916269529399e-05,5.80861491126968e-08,"feature_2_lag6=-0.51938658948975"
"feature_2_lag5",-0.000685675760656052,0.000182852966408404,"feature_2_lag5=-0.51938658948975"
