"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=-0.141405710710738"
"feature_1_lag70",0,0,"feature_1_lag70=-0.141405710710738"
"feature_1_lag69",0,0,"feature_1_lag69=-0.191504350392663"
"feature_1_lag68",0,0,"feature_1_lag68=-0.191504350392663"
"feature_1_lag67",0,0,"feature_1_lag67=-0.243245858109492"
"feature_1_lag66",0,0,"feature_1_lag66=-0.296741645723503"
"feature_1_lag65",0,0,"feature_1_lag65=-0.296741645723503"
"feature_1_lag64",0,0,"feature_1_lag64=-0.352114857241301"
"feature_1_lag63",0,0,"feature_1_lag63=-0.352114857241301"
"feature_1_lag62",0,0,"feature_1_lag62=-0.352114857241301"
"feature_1_lag61",0,0,"feature_1_lag61=-0.352114857241301"
"feature_1_lag60",0,0,"feature_1_lag60=-0.352114857241301"
"feature_1_lag59",0,0,"feature_1_lag59=-0.352114857241301"
"feature_1_lag58",0,0,"feature_1_lag58=-0.352114857241301"
"feature_1_lag57",0,0,"feature_1_lag57=-0.409502076186286"
"feature_1_lag56",0,0,"feature_1_lag56=-0.530944644672755"
"feature_1_lag55",0,0,"feature_1_lag55=-0.662518706101857"
"feature_1_lag54",0,0,"feature_1_lag54=-0.806069861881357"
"feature_1_lag53",0,0,"feature_1_lag53=-1.13951024549185"
"feature_1_lag52",-2.91133295782502e-05,1.69517191826363e-08,"feature_1_lag52=-1.33701450655411"
"feature_1_lag51",0,0,"feature_1_lag51=-1.23517435915536"
"feature_1_lag50",0,0,"feature_1_lag50=-1.23517435915536"
"feature_1_lag49",0,0,"feature_1_lag49=-1.33701450655411"
"feature_1_lag48",0,0,"feature_1_lag48=-1.33701450655411"
"feature_1_lag47",0,0,"feature_1_lag47=-1.56282400377186"
"feature_1_lag46",0,0,"feature_1_lag46=-1.82643110703034"
"feature_1_lag45",0,0,"feature_1_lag45=-1.97682815035867"
"feature_1_lag44",0,0,"feature_1_lag44=-1.56282400377186"
"feature_1_lag43",0,0,"feature_1_lag43=-1.13951024549185"
"feature_1_lag42",0,0,"feature_1_lag42=-0.883059501914056"
"feature_1_lag41",0,0,"feature_1_lag41=-0.883059501914056"
"feature_1_lag40",0,0,"feature_1_lag40=-1.04931571999085"
"feature_1_lag39",0,0,"feature_1_lag39=-1.33701450655411"
"feature_1_lag38",0,0,"feature_1_lag38=-1.23517435915536"
"feature_1_lag37",0,0,"feature_1_lag37=-0.662518706101857"
"feature_1_lag36",0,0,"feature_1_lag36=-0.352114857241301"
"feature_1_lag35",0,0,"feature_1_lag35=-0.0928488147811538"
"feature_1_lag34",0,0,"feature_1_lag34=0.0876878139254144"
"feature_1_lag33",0,0,"feature_1_lag33=0.210709146530563"
"feature_1_lag32",0,0,"feature_1_lag32=0.361106189858902"
"feature_1_lag31",0,0,"feature_1_lag31=0.396567785695071"
"feature_1_lag30",0,0,"feature_1_lag30=0.361106189858902"
"feature_1_lag29",0,0,"feature_1_lag29=0.361106189858902"
"feature_1_lag28",0,0,"feature_1_lag28=0.287698786563262"
"feature_1_lag27",0,0,"feature_1_lag27=0.210709146530563"
"feature_1_lag26",0,0,"feature_1_lag26=0.249673462129047"
"feature_1_lag25",0,0,"feature_1_lag25=0.170758288477318"
"feature_1_lag24",0,0,"feature_1_lag24=0.210709146530563"
"feature_1_lag23",-0.000267512532781375,4.26866750286598e-07,"feature_1_lag23=0.210709146530563"
"feature_1_lag22",0,0,"feature_1_lag22=0.0876878139254144"
"feature_1_lag21",0,0,"feature_1_lag21=0.0444529284537693"
"feature_1_lag20",0,0,"feature_1_lag20=-0.141405710710738"
"feature_1_lag19",-0.000100618042642031,2.02479810102272e-07,"feature_1_lag19=-0.243245858109492"
"feature_1_lag18",0,0,"feature_1_lag18=-0.243245858109492"
"feature_1_lag17",0,0,"feature_1_lag17=-0.141405710710738"
"feature_1_lag16",0,0,"feature_1_lag16=0"
"feature_1_lag15",0,0,"feature_1_lag15=0.324829313919352"
"feature_1_lag14",0,0,"feature_1_lag14=0.654770861052045"
"feature_1_lag13",0,0,"feature_1_lag13=0.902264298051956"
"feature_1_lag12",0,0,"feature_1_lag12=1.04802705139739"
