"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=0.62337273339412"
"feature_1_lag70",0,0,"feature_1_lag70=0.62337273339412"
"feature_1_lag69",0,0,"feature_1_lag69=0.62337273339412"
"feature_1_lag68",0,0,"feature_1_lag68=0.585782460755165"
"feature_1_lag67",0,0,"feature_1_lag67=0.54732796865173"
"feature_1_lag66",0,0,"feature_1_lag66=0.467660686551331"
"feature_1_lag65",0,0,"feature_1_lag65=0.38400841927538"
"feature_1_lag64",0,0,"feature_1_lag64=0.295951418087959"
"feature_1_lag63",0,0,"feature_1_lag63=0.250121243385684"
"feature_1_lag62",0,0,"feature_1_lag62=0.202999909424938"
"feature_1_lag61",0,0,"feature_1_lag61=0.202999909424938"
"feature_1_lag60",0,0,"feature_1_lag60=0.104577597074642"
"feature_1_lag59",0,0,"feature_1_lag59=0.0531059440523961"
"feature_1_lag58",7.04909324305808e-05,9.93794310986542e-08,"feature_1_lag58=-0.0548474296196906"
"feature_1_lag57",0,0,"feature_1_lag57=-0.170251580583498"
"feature_1_lag56",0,0,"feature_1_lag56=-0.29421174373843"
"feature_1_lag55",0,0,"feature_1_lag55=-0.231083620294839"
"feature_1_lag54",0.000119369212327779,2.84980177035086e-07,"feature_1_lag54=-0.0548474296196906"
"feature_1_lag53",0,0,"feature_1_lag53=-0.0548474296196906"
"feature_1_lag52",0,0,"feature_1_lag52=0.104577597074642"
"feature_1_lag51",0,0,"feature_1_lag51=0.154512551103833"
"feature_1_lag50",0,0,"feature_1_lag50=0.295951418087959"
"feature_1_lag49",0,0,"feature_1_lag49=0.54732796865173"
"feature_1_lag48",0,0,"feature_1_lag48=0.507968582430313"
"feature_1_lag47",0,0,"feature_1_lag47=0.54732796865173"
"feature_1_lag46",0,0,"feature_1_lag46=0.467660686551331"
"feature_1_lag45",0,0,"feature_1_lag45=0.250121243385684"
"feature_1_lag44",0,0,"feature_1_lag44=0.295951418087959"
"feature_1_lag43",0,0,"feature_1_lag43=0.202999909424938"
"feature_1_lag42",0,0,"feature_1_lag42=0.154512551103833"
"feature_1_lag41",0,0,"feature_1_lag41=0.154512551103833"
"feature_1_lag40",0,0,"feature_1_lag40=-0.0548474296196906"
"feature_1_lag39",0,0,"feature_1_lag39=-0.111554444462921"
"feature_1_lag38",0.000139439676993106,3.88868470398832e-07,"feature_1_lag38=-0.170251580583498"
"feature_1_lag37",0,0,"feature_1_lag37=-0.359816102625066"
"feature_1_lag36",0,0,"feature_1_lag36=-0.499288247764398"
"feature_1_lag35",0,0,"feature_1_lag35=-0.499288247764398"
"feature_1_lag34",0.000284527155653537,2.86375266446216e-07,"feature_1_lag34=-0.573642565939168"
"feature_1_lag33",0,0,"feature_1_lag33=-0.573642565939168"
"feature_1_lag32",0,0,"feature_1_lag32=-0.651456444264021"
"feature_1_lag31",0,0,"feature_1_lag31=-0.818865718749349"
"feature_1_lag30",0,0,"feature_1_lag30=-0.733067592633502"
"feature_1_lag29",0,0,"feature_1_lag29=-0.499288247764398"
"feature_1_lag28",0,0,"feature_1_lag28=-0.29421174373843"
"feature_1_lag27",0,0,"feature_1_lag27=-0.0548474296196906"
"feature_1_lag26",0,0,"feature_1_lag26=0.0531059440523961"
"feature_1_lag25",0.000272957756212414,7.9346346138239e-07,"feature_1_lag25=0.202999909424938"
"feature_1_lag24",0,0,"feature_1_lag24=0.250121243385684"
"feature_1_lag23",0,0,"feature_1_lag23=0.250121243385684"
"feature_1_lag22",0,0,"feature_1_lag22=0.154512551103833"
"feature_1_lag21",0,0,"feature_1_lag21=-0.0548474296196906"
"feature_1_lag20",0,0,"feature_1_lag20=-0.29421174373843"
"feature_1_lag19",0,0,"feature_1_lag19=-0.428098919628127"
"feature_1_lag18",0,0,"feature_1_lag18=-0.359816102625066"
"feature_1_lag17",0,0,"feature_1_lag17=-0.428098919628127"
"feature_1_lag16",0,0,"feature_1_lag16=-0.428098919628127"
"feature_1_lag15",0,0,"feature_1_lag15=-0.733067592633502"
"feature_1_lag14",0,0,"feature_1_lag14=-1.0049124755905"
"feature_1_lag13",0,0,"feature_1_lag13=-1.0049124755905"
"feature_1_lag12",-5.00494239244788e-05,5.00988967034438e-08,"feature_1_lag12=-0.818865718749349"
"feature_1_lag11",0,0,"feature_1_lag11=-0.733067592633502"
"feature_1_lag10",0,0,"feature_1_lag10=-0.573642565939168"
"feature_1_lag9",0,0,"feature_1_lag9=-0.428098919628127"
"feature_1_lag8",0,0,"feature_1_lag8=-0.231083620294839"
"feature_1_lag7",0,0,"feature_1_lag7=-0.111554444462921"
"feature_1_lag6",0,0,"feature_1_lag6=0"
"feature_1_lag5",0,0,"feature_1_lag5=0.0531059440523961"
"feature_1_lag4",4.45224105059566e-05,3.96449007452183e-08,"feature_1_lag4=0.0531059440523961"
"feature_1_lag3",0,0,"feature_1_lag3=0.154512551103833"
"feature_1_lag2",0,0,"feature_1_lag2=0.154512551103833"
"feature_1_lag1",0,0,"feature_1_lag1=0.202999909424938"
"feature_1_lag0",-6.83698806662442e-05,9.34888116463294e-08,"feature_1_lag0=0.154512551103833"
"feature_2_lag71",0,0,"feature_2_lag71=-0.690481651670745"
"feature_2_lag70",0,0,"feature_2_lag70=-0.3153719005254"
"feature_2_lag69",0,0,"feature_2_lag69=-0.151275649848801"
"feature_2_lag68",0,0,"feature_2_lag68=-0.151275649848801"
"feature_2_lag67",0,0,"feature_2_lag67=-0.151275649848801"
"feature_2_lag66",0,0,"feature_2_lag66=-0.3153719005254"
"feature_2_lag65",0,0,"feature_2_lag65=-0.151275649848801"
"feature_2_lag64",0,0,"feature_2_lag64=-0.690481651670745"
"feature_2_lag63",0,0,"feature_2_lag63=-0.494284581857057"
"feature_2_lag62",0,0,"feature_2_lag62=-0.3153719005254"
"feature_2_lag61",0,0,"feature_2_lag61=-0.3153719005254"
"feature_2_lag60",0,0,"feature_2_lag60=-0.494284581857057"
"feature_2_lag59",0,0,"feature_2_lag59=-0.3153719005254"
"feature_2_lag58",0,0,"feature_2_lag58=-0.494284581857057"
"feature_2_lag57",0,0,"feature_2_lag57=-0.3153719005254"
"feature_2_lag56",0,0,"feature_2_lag56=-0.151275649848801"
"feature_2_lag55",0,0,"feature_2_lag55=0.270346543813278"
"feature_2_lag54",0,0,"feature_2_lag54=0.391903292928133"
"feature_2_lag53",0,0,"feature_2_lag53=0.270346543813278"
"feature_2_lag52",0,0,"feature_2_lag52=0.140089529811581"
"feature_2_lag51",0,0,"feature_2_lag51=0.140089529811581"
"feature_2_lag50",0,0,"feature_2_lag50=0.270346543813278"
"feature_2_lag49",0,0,"feature_2_lag49=0.140089529811581"
"feature_2_lag48",0,0,"feature_2_lag48=0"
"feature_2_lag47",0,0,"feature_2_lag47=0"
"feature_2_lag46",0,0,"feature_2_lag46=-0.151275649848801"
"feature_2_lag45",0,0,"feature_2_lag45=-0.3153719005254"
"feature_2_lag44",-0.000614655915216834,7.15573107622319e-07,"feature_2_lag44=-0.494284581857057"
"feature_2_lag43",0,0,"feature_2_lag43=-0.3153719005254"
"feature_2_lag42",-0.000233976935568347,5.24594377965011e-07,"feature_2_lag42=-0.3153719005254"
"feature_2_lag41",0,0,"feature_2_lag41=-0.3153719005254"
"feature_2_lag40",-0.000384975765453713,8.8403781746436e-07,"feature_2_lag40=-1.41832493200503"
"feature_2_lag39",-3.44606151451238e-05,2.37506799236067e-08,"feature_2_lag39=-1.72495835289349"
"feature_2_lag38",-0.00022922279803994,2.92162226029776e-07,"feature_2_lag38=-1.41832493200503"
"feature_2_lag37",6.16658343487786e-05,7.605350251862e-08,"feature_2_lag37=-1.14796345344432"
