"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=0.106522483187349"
"feature_1_lag70",0,0,"feature_1_lag70=0.140215943263022"
"feature_1_lag69",0,0,"feature_1_lag69=0.173077380437757"
"feature_1_lag68",0.000430627292619101,1.90997937166591e-06,"feature_1_lag68=0.173077380437757"
"feature_1_lag67",0,0,"feature_1_lag67=0.0719537711322798"
"feature_1_lag66",0,0,"feature_1_lag66=-0.0760675938414618"
"feature_1_lag65",0,0,"feature_1_lag65=-0.382853224444057"
"feature_1_lag64",0,0,"feature_1_lag64=-0.334454414891587"
"feature_1_lag63",0,0,"feature_1_lag63=-0.485274562362071"
"feature_1_lag62",-0.000276376769456773,7.23639019219221e-07,"feature_1_lag62=-0.782238594240917"
"feature_1_lag61",0,0,"feature_1_lag61=-0.922454537503939"
"feature_1_lag60",0,0,"feature_1_lag60=-0.782238594240917"
"feature_1_lag59",0,0,"feature_1_lag59=-0.717307639335644"
"feature_1_lag58",0,0,"feature_1_lag58=-0.655397844835009"
"feature_1_lag57",0,0,"feature_1_lag57=-0.596240524090534"
"feature_1_lag56",-0.000426006975398496,1.71930261873008e-06,"feature_1_lag56=-0.655397844835009"
"feature_1_lag55",0,0,"feature_1_lag55=-0.717307639335644"
"feature_1_lag54",0,0,"feature_1_lag54=-0.717307639335644"
"feature_1_lag53",0,0,"feature_1_lag53=-0.782238594240917"
"feature_1_lag52",-0.000210273893082458,8.84302202241057e-07,"feature_1_lag52=-0.782238594240917"
"feature_1_lag51",0,0,"feature_1_lag51=-0.782238594240917"
"feature_1_lag50",0,0,"feature_1_lag50=-0.717307639335644"
"feature_1_lag49",0,0,"feature_1_lag49=-0.655397844835009"
"feature_1_lag48",0,0,"feature_1_lag48=-0.717307639335644"
"feature_1_lag47",0,0,"feature_1_lag47=-0.922454537503939"
"feature_1_lag46",0,0,"feature_1_lag46=-0.782238594240917"
"feature_1_lag45",0,0,"feature_1_lag45=-0.850500766371659"
"feature_1_lag44",0,0,"feature_1_lag44=-0.782238594240917"
"feature_1_lag43",0,0,"feature_1_lag43=-0.782238594240917"
"feature_1_lag42",0,0,"feature_1_lag42=-0.717307639335644"
"feature_1_lag41",0,0,"feature_1_lag41=-0.655397844835009"
"feature_1_lag40",0,0,"feature_1_lag40=-0.655397844835009"
