"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=0.0890842273970211"
"feature_1_lag70",0,0,"feature_1_lag70=0.0890842273970211"
"feature_1_lag69",0,0,"feature_1_lag69=0.172654457342615"
"feature_1_lag68",0,0,"feature_1_lag68=0.199400304920574"
"feature_1_lag67",7.44773036105539e-05,1.10937375061973e-07,"feature_1_lag67=0.199400304920574"
"feature_1_lag66",0,0,"feature_1_lag66=0.145368253219553"
"feature_1_lag65",3.30365405487809e-05,1.03397022135592e-08,"feature_1_lag65=0.117519407485991"
"feature_1_lag64",3.30365405487809e-05,1.03397022135592e-08,"feature_1_lag64=0.0890842273970211"
"feature_1_lag63",0,0,"feature_1_lag63=0.225626782691529"
"feature_1_lag62",0,0,"feature_1_lag62=0.301382403566504"
"feature_1_lag61",0,0,"feature_1_lag61=0.349624001954635"
"feature_1_lag60",0,0,"feature_1_lag60=0.325718578486597"
"feature_1_lag59",0,0,"feature_1_lag59=0.199400304920574"
"feature_1_lag58",0,0,"feature_1_lag58=0.0600374914151165"
"feature_1_lag57",0,0,"feature_1_lag57=-0.095377581003861"
"feature_1_lag56",0,0,"feature_1_lag56=-0.162922713576121"
"feature_1_lag55",0,0,"feature_1_lag55=-0.162922713576121"
"feature_1_lag54",0,0,"feature_1_lag54=-0.162922713576121"
"feature_1_lag53",8.71955335080832e-05,1.52061221275185e-07,"feature_1_lag53=-0.198005755321747"
"feature_1_lag52",8.71955335080832e-05,1.52061221275185e-07,"feature_1_lag52=-0.128727946223888"
"feature_1_lag51",0,0,"feature_1_lag51=-0.0310501299212512"
"feature_1_lag50",0,0,"feature_1_lag50=0.172654457342615"
"feature_1_lag49",0,0,"feature_1_lag49=0.325718578486597"
"feature_1_lag48",0,0,"feature_1_lag48=0.463188439802063"
"feature_1_lag47",0,0,"feature_1_lag47=0.527009186258031"
"feature_1_lag46",0,0,"feature_1_lag46=0.567940232743727"
"feature_1_lag45",0,0,"feature_1_lag45=0.567940232743727"
"feature_1_lag44",0,0,"feature_1_lag44=0.587949801188224"
"feature_1_lag43",0,0,"feature_1_lag43=0.607667248691499"
"feature_1_lag42",0,0,"feature_1_lag42=0.646259050311903"
"feature_1_lag41",0,0,"feature_1_lag41=0.720284214618997"
"feature_1_lag40",0,0,"feature_1_lag40=0.720284214618997"
"feature_1_lag39",0,0,"feature_1_lag39=0.755828928276988"
"feature_1_lag38",0,0,"feature_1_lag38=0.755828928276988"
"feature_1_lag37",0,0,"feature_1_lag37=0.738173498222285"
"feature_1_lag36",0,0,"feature_1_lag36=0.755828928276988"
"feature_1_lag35",0,0,"feature_1_lag35=0.773256539967911"
"feature_1_lag34",0,0,"feature_1_lag34=0.755828928276988"
"feature_1_lag33",0,0,"feature_1_lag33=0.738173498222285"
"feature_1_lag32",0,0,"feature_1_lag32=0.6271009820531"
"feature_1_lag31",0,0,"feature_1_lag31=0.527009186258031"
"feature_1_lag30",0,0,"feature_1_lag30=0.373113657783105"
"feature_1_lag29",0,0,"feature_1_lag29=0.145368253219553"
"feature_1_lag28",0,0,"feature_1_lag28=-0.0310501299212512"
"feature_1_lag27",0,0,"feature_1_lag27=0.0890842273970211"
