"feature","phi","phi.var","feature.value"
"feature_1_lag71",0.00021295484367001,9.06995308850369e-07,"feature_1_lag71=0.136341797551596"
"feature_1_lag70",0.00021295484367001,9.06995308850369e-07,"feature_1_lag70=0.136341797551596"
"feature_1_lag69",0,0,"feature_1_lag69=0.114725583661822"
"feature_1_lag68",0,0,"feature_1_lag68=0.092689611336734"
"feature_1_lag67",0,0,"feature_1_lag67=0.114725583661822"
"feature_1_lag66",0,0,"feature_1_lag66=0.136341797551596"
"feature_1_lag65",0.000240214634500757,5.46660669110517e-07,"feature_1_lag65=0.198824564141434"
"feature_1_lag64",0,0,"feature_1_lag64=0.157553946307341"
"feature_1_lag63",0,0,"feature_1_lag63=0.092689611336734"
"feature_1_lag62",0,0,"feature_1_lag62=0"
"feature_1_lag61",8.14575076014345e-05,1.32706510892755e-07,"feature_1_lag61=-0.154988227563643"
"feature_1_lag60",0,0,"feature_1_lag60=-0.241218320250654"
"feature_1_lag59",0,0,"feature_1_lag59=-0.302574717599699"
"feature_1_lag58",0,0,"feature_1_lag58=-0.367439052570306"
"feature_1_lag57",0,0,"feature_1_lag57=-0.436236898990236"
"feature_1_lag56",0,0,"feature_1_lag56=-0.547948358922789"
"feature_1_lag55",0,0,"feature_1_lag55=-0.629041200116202"
"feature_1_lag54",0,0,"feature_1_lag54=-0.671869562761721"
"feature_1_lag53",0,0,"feature_1_lag53=-0.762703381506739"
"feature_1_lag52",0,0,"feature_1_lag52=-0.716377891542225"
"feature_1_lag51",0,0,"feature_1_lag51=-0.671869562761721"
"feature_1_lag50",0,0,"feature_1_lag50=-0.509476304570962"
"feature_1_lag49",0,0,"feature_1_lag49=-0.401316700173129"
"feature_1_lag48",0,0,"feature_1_lag48=-0.302574717599699"
"feature_1_lag47",0,0,"feature_1_lag47=-0.241218320250654"
"feature_1_lag46",0,0,"feature_1_lag46=-0.271481898184428"
"feature_1_lag45",0,0,"feature_1_lag45=-0.271481898184428"
"feature_1_lag44",0,0,"feature_1_lag44=-0.334543505346333"
"feature_1_lag43",0,0,"feature_1_lag43=-0.367439052570306"
"feature_1_lag42",0,0,"feature_1_lag42=-0.334543505346333"
"feature_1_lag41",0,0,"feature_1_lag41=-0.334543505346333"
"feature_1_lag40",0,0,"feature_1_lag40=-0.302574717599699"
"feature_1_lag39",0,0,"feature_1_lag39=-0.367439052570306"
"feature_1_lag38",0,0,"feature_1_lag38=-0.47226585892821"
"feature_1_lag37",0,0,"feature_1_lag37=-0.58777058228211"
"feature_1_lag36",0,0,"feature_1_lag36=-0.716377891542225"
"feature_1_lag35",0,0,"feature_1_lag35=-0.861445364080168"
"feature_1_lag34",0,0,"feature_1_lag34=-0.969604968478002"
"feature_1_lag33",-9.69147786819113e-05,1.87849486539277e-07,"feature_1_lag33=-1.08916986402324"
"feature_1_lag32",-9.69147786819086e-05,1.87849486539266e-07,"feature_1_lag32=-1.15403419899385"
"feature_1_lag31",0,0,"feature_1_lag31=-1.15403419899385"
"feature_1_lag30",0,0,"feature_1_lag30=-1.29607145099451"
"feature_1_lag29",-0.000168684011305043,3.68367628111825e-07,"feature_1_lag29=-1.29607145099451"
"feature_1_lag28",-0.000168684011305045,3.68367628111827e-07,"feature_1_lag28=-1.29607145099451"
"feature_1_lag27",0,0,"feature_1_lag27=-1.22283204541378"
"feature_1_lag26",0,0,"feature_1_lag26=-1.0278134666742"
"feature_1_lag25",-0.000128877973093311,3.32190638972804e-07,"feature_1_lag25=-0.914237064798613"
"feature_1_lag24",-0.000128877973093311,3.32190638972804e-07,"feature_1_lag24=-0.811000751927316"
"feature_1_lag23",-0.000170251177794783,2.74599128278525e-07,"feature_1_lag23=-0.861445364080168"
"feature_1_lag22",0,0,"feature_1_lag22=-0.811000751927316"
"feature_1_lag21",0.000162357868060409,1.81342148026017e-07,"feature_1_lag21=-0.671869562761721"
"feature_1_lag20",0.00020380174801122,2.47753541182909e-07,"feature_1_lag20=-0.547948358922789"
"feature_1_lag19",7.21020171022269e-05,1.03974017404196e-07,"feature_1_lag19=-0.509476304570962"
"feature_1_lag18",0,0,"feature_1_lag18=-0.58777058228211"
"feature_1_lag17",7.10534521484507e-05,1.00971861244243e-07,"feature_1_lag17=-0.671869562761721"
"feature_1_lag16",7.10534521484507e-05,1.00971861244243e-07,"feature_1_lag16=-0.671869562761721"
"feature_1_lag15",0,0,"feature_1_lag15=-0.671869562761721"
"feature_1_lag14",0,0,"feature_1_lag14=-0.762703381506739"
"feature_1_lag13",0,0,"feature_1_lag13=-0.861445364080168"
"feature_1_lag12",0,0,"feature_1_lag12=-0.861445364080168"
"feature_1_lag11",0,0,"feature_1_lag11=-0.861445364080168"
"feature_1_lag10",0,0,"feature_1_lag10=-0.914237064798613"
"feature_1_lag9",0,0,"feature_1_lag9=-1.08916986402324"
"feature_1_lag8",0,0,"feature_1_lag8=-1.08916986402324"
"feature_1_lag7",0,0,"feature_1_lag7=-0.969604968478002"
"feature_1_lag6",0,0,"feature_1_lag6=-0.914237064798613"
"feature_1_lag5",-0.000273686312236188,1.39243655871512e-06,"feature_1_lag5=-0.861445364080168"
"feature_1_lag4",-0.000273686312236182,1.39243655871507e-06,"feature_1_lag4=-0.914237064798613"
"feature_1_lag3",-2.41815963084313e-05,1.16949920004788e-08,"feature_1_lag3=-1.08916986402324"
"feature_1_lag2",0,0,"feature_1_lag2=-1.0278134666742"
"feature_1_lag1",0.00273189404724349,0.000149264901707288,"feature_1_lag1=-1.0278134666742"
"feature_1_lag0",0.00152377665005604,5.32103403427781e-05,"feature_1_lag0=-0.914237064798613"
"feature_2_lag71",0,0,"feature_2_lag71=-0.988445414366475"
"feature_2_lag70",0,0,"feature_2_lag70=-1.47026137242091"
"feature_2_lag69",0,0,"feature_2_lag69=-1.29692864803097"
"feature_2_lag68",0,0,"feature_2_lag68=-0.988445414366475"
"feature_2_lag67",-0.0010625390938984,8.1609312567745e-06,"feature_2_lag67=-0.720867410854957"
"feature_2_lag66",-0.00117835607872091,1.11053384214499e-05,"feature_2_lag66=-0.720867410854957"
"feature_2_lag65",0,0,"feature_2_lag65=-0.599569062624038"
"feature_2_lag64",0,0,"feature_2_lag64=-0.720867410854957"
"feature_2_lag63",0,0,"feature_2_lag63=-0.988445414366475"
"feature_2_lag62",0,0,"feature_2_lag62=-0.720867410854957"
"feature_2_lag61",0,0,"feature_2_lag61=-0.599569062624038"
"feature_2_lag60",0,0,"feature_2_lag60=-0.599569062624038"
"feature_2_lag59",-0.000278964323673858,1.55642187765626e-06,"feature_2_lag59=-0.988445414366475"
"feature_2_lag58",-0.000278964323673858,1.55642187765626e-06,"feature_2_lag58=-0.599569062624038"
"feature_2_lag57",0,0,"feature_2_lag57=-0.377717851016423"
"feature_2_lag56",0,0,"feature_2_lag56=-0.599569062624038"
"feature_2_lag55",-0.00031958017583803,2.04262977577333e-06,"feature_2_lag55=-0.599569062624038"
"feature_2_lag54",-0.00031958017583803,2.04262977577333e-06,"feature_2_lag54=-0.599569062624038"
"feature_2_lag53",0,0,"feature_2_lag53=-0.485425758078897"
"feature_2_lag52",0,0,"feature_2_lag52=-0.485425758078897"
"feature_2_lag51",0,0,"feature_2_lag51=-0.599569062624038"
"feature_2_lag50",0,0,"feature_2_lag50=-0.485425758078897"
"feature_2_lag49",0,0,"feature_2_lag49=-0.485425758078897"
"feature_2_lag48",0,0,"feature_2_lag48=-0.485425758078897"
"feature_2_lag47",0,0,"feature_2_lag47=-0.599569062624038"
"feature_2_lag46",0,0,"feature_2_lag46=-0.720867410854957"
"feature_2_lag45",0,0,"feature_2_lag45=-0.485425758078897"
"feature_2_lag44",0,0,"feature_2_lag44=-0.377717851016423"
"feature_2_lag43",0,0,"feature_2_lag43=-0.377717851016423"
"feature_2_lag42",0,0,"feature_2_lag42=-0.599569062624038"
"feature_2_lag41",0,0,"feature_2_lag41=-0.377717851016423"
"feature_2_lag40",0,0,"feature_2_lag40=-0.485425758078897"
"feature_2_lag39",0,0,"feature_2_lag39=-0.275825480275702"
"feature_2_lag38",0,0,"feature_2_lag38=-0.377717851016423"
"feature_2_lag37",0,0,"feature_2_lag37=-0.599569062624038"
"feature_2_lag36",0,0,"feature_2_lag36=-0.599569062624038"
"feature_2_lag35",-1.05274899088237e-05,2.21656087560769e-09,"feature_2_lag35=-0.377717851016423"
"feature_2_lag34",-1.05274899088195e-05,2.21656087560594e-09,"feature_2_lag34=-0.720867410854957"
"feature_2_lag33",0,0,"feature_2_lag33=-0.485425758078897"
"feature_2_lag32",0,0,"feature_2_lag32=-0.485425758078897"
"feature_2_lag31",0,0,"feature_2_lag31=-0.377717851016423"
"feature_2_lag30",0,0,"feature_2_lag30=-0.485425758078897"
"feature_2_lag29",0,0,"feature_2_lag29=-0.377717851016423"
"feature_2_lag28",0,0,"feature_2_lag28=-0.377717851016423"
