"feature","phi","phi.var","feature.value"
"feature_1_lag71",0,0,"feature_1_lag71=-0.30228854760943"
"feature_1_lag70",0,0,"feature_1_lag70=-0.166112086908565"
"feature_1_lag69",0,0,"feature_1_lag69=-0.0400323770770002"
"feature_1_lag68",0,0,"feature_1_lag68=0.0773450246346229"
"feature_1_lag67",0,0,"feature_1_lag67=0.151326138083293"
"feature_1_lag66",0,0,"feature_1_lag66=0.256594609473999"
"feature_1_lag65",0,0,"feature_1_lag65=0.290284770341254"
"feature_1_lag64",0,0,"feature_1_lag64=0.387528238512597"
"feature_1_lag63",0,0,"feature_1_lag63=0.387528238512597"
"feature_1_lag62",0,0,"feature_1_lag62=0.509101197290156"
"feature_1_lag61",0,0,"feature_1_lag61=0.509101197290156"
"feature_1_lag60",0,0,"feature_1_lag60=0.387528238512597"
"feature_1_lag59",0,0,"feature_1_lag59=0.387528238512597"
"feature_1_lag58",0,0,"feature_1_lag58=0.387528238512597"
"feature_1_lag57",0,0,"feature_1_lag57=0.387528238512597"
"feature_1_lag56",0,0,"feature_1_lag56=0.387528238512597"
"feature_1_lag55",0,0,"feature_1_lag55=0.387528238512597"
"feature_1_lag54",0,0,"feature_1_lag54=0.387528238512597"
"feature_1_lag53",0,0,"feature_1_lag53=0.387528238512597"
"feature_1_lag52",0,0,"feature_1_lag52=0.509101197290156"
"feature_1_lag51",0,0,"feature_1_lag51=0.509101197290156"
"feature_1_lag50",0,0,"feature_1_lag50=0.509101197290156"
"feature_1_lag49",0,0,"feature_1_lag49=0.509101197290156"
"feature_1_lag48",0,0,"feature_1_lag48=0.509101197290156"
"feature_1_lag47",0,0,"feature_1_lag47=0.509101197290156"
"feature_1_lag46",0,0,"feature_1_lag46=0.509101197290156"
"feature_1_lag45",0.000161146259412626,5.19362338453625e-07,"feature_1_lag45=0.509101197290156"
"feature_1_lag44",0.000161146259412626,5.19362338453625e-07,"feature_1_lag44=0.509101197290156"
"feature_1_lag43",0,0,"feature_1_lag43=0.509101197290156"
"feature_1_lag42",0,0,"feature_1_lag42=0.594899083901433"
"feature_1_lag41",0,0,"feature_1_lag41=0.594899083901433"
"feature_1_lag40",0,0,"feature_1_lag40=0.676577049825268"
"feature_1_lag39",0,0,"feature_1_lag39=0.676577049825268"
"feature_1_lag38",0,0,"feature_1_lag38=0.594899083901433"
"feature_1_lag37",0,0,"feature_1_lag37=0.594899083901433"
"feature_1_lag36",0,0,"feature_1_lag36=0.594899083901433"
"feature_1_lag35",0,0,"feature_1_lag35=0.676577049825268"
"feature_1_lag34",0,0,"feature_1_lag34=0.676577049825268"
"feature_1_lag33",0,0,"feature_1_lag33=0.676577049825268"
"feature_1_lag32",0,0,"feature_1_lag32=0.676577049825268"
"feature_1_lag31",0,0,"feature_1_lag31=0.754512700234967"
"feature_1_lag30",-0.000547353084923685,2.8382722065045e-06,"feature_1_lag30=0.754512700234967"
"feature_1_lag29",0,0,"feature_1_lag29=0.754512700234967"
"feature_1_lag28",0,0,"feature_1_lag28=0.754512700234967"
"feature_1_lag27",0,0,"feature_1_lag27=0.754512700234967"
"feature_1_lag26",0,0,"feature_1_lag26=0.754512700234967"
"feature_1_lag25",0,0,"feature_1_lag25=0.754512700234967"
"feature_1_lag24",0,0,"feature_1_lag24=0.754512700234967"
"feature_1_lag23",0,0,"feature_1_lag23=0.754512700234967"
"feature_1_lag22",0,0,"feature_1_lag22=0.754512700234967"
"feature_1_lag21",0,0,"feature_1_lag21=0.754512700234967"
"feature_1_lag20",0,0,"feature_1_lag20=0.754512700234967"
"feature_1_lag19",0,0,"feature_1_lag19=0.853166278332057"
"feature_1_lag18",0,0,"feature_1_lag18=0.853166278332057"
"feature_1_lag17",0,0,"feature_1_lag17=0.853166278332057"
"feature_1_lag16",0,0,"feature_1_lag16=0.853166278332057"
"feature_1_lag15",0,0,"feature_1_lag15=0.853166278332057"
"feature_1_lag14",0,0,"feature_1_lag14=0.853166278332057"
"feature_1_lag13",0,0,"feature_1_lag13=0.853166278332057"
"feature_1_lag12",0,0,"feature_1_lag12=0.754512700234967"
"feature_1_lag11",0,0,"feature_1_lag11=0.754512700234967"
"feature_1_lag10",0,0,"feature_1_lag10=0.754512700234967"
"feature_1_lag9",0,0,"feature_1_lag9=0.853166278332057"
"feature_1_lag8",0,0,"feature_1_lag8=0.853166278332057"
"feature_1_lag7",0,0,"feature_1_lag7=0.923574844286418"
"feature_1_lag6",0,0,"feature_1_lag6=0.991184967180465"
"feature_1_lag5",0,0,"feature_1_lag5=1.05621062206932"
"feature_1_lag4",0,0,"feature_1_lag4=1.13921720776238"
"feature_1_lag3",0,0,"feature_1_lag3=1.19891798341218"
"feature_1_lag2",0,0,"feature_1_lag2=1.19891798341218"
"feature_1_lag1",0,0,"feature_1_lag1=1.19891798341218"
"feature_1_lag0",-0.00112650503801046,2.5380272013259e-05,"feature_1_lag0=1.19891798341218"
"feature_2_lag71",0,0,"feature_2_lag71=-1.20589334020003"
"feature_2_lag70",0,0,"feature_2_lag70=-1.20589334020003"
"feature_2_lag69",0,0,"feature_2_lag69=-1.20589334020003"
"feature_2_lag68",0,0,"feature_2_lag68=-0.414297927454846"
"feature_2_lag67",0,0,"feature_2_lag67=-0.58055581907984"
"feature_2_lag66",0,0,"feature_2_lag66=-0.263573505388158"
"feature_2_lag65",0,0,"feature_2_lag65=-0.414297927454846"
"feature_2_lag64",0,0,"feature_2_lag64=-0.263573505388158"
"feature_2_lag63",0,0,"feature_2_lag63=-0.263573505388158"
"feature_2_lag62",0,0,"feature_2_lag62=-0.263573505388158"
"feature_2_lag61",0,0,"feature_2_lag61=-0.414297927454846"
"feature_2_lag60",0,0,"feature_2_lag60=-0.12608903767025"
"feature_2_lag59",0,0,"feature_2_lag59=-0.263573505388158"
"feature_2_lag58",0,0,"feature_2_lag58=-0.263573505388158"
"feature_2_lag57",0,0,"feature_2_lag57=-0.12608903767025"
"feature_2_lag56",0,0,"feature_2_lag56=-0.263573505388158"
"feature_2_lag55",0,0,"feature_2_lag55=-0.12608903767025"
"feature_2_lag54",0,0,"feature_2_lag54=-0.263573505388158"
"feature_2_lag53",0,0,"feature_2_lag53=-0.263573505388158"
"feature_2_lag52",0,0,"feature_2_lag52=0"
"feature_2_lag51",0,0,"feature_2_lag51=-0.12608903767025"
"feature_2_lag50",0,0,"feature_2_lag50=-0.12608903767025"
"feature_2_lag49",0,0,"feature_2_lag49=-0.12608903767025"
"feature_2_lag48",0,0,"feature_2_lag48=0"
"feature_2_lag47",0,0,"feature_2_lag47=0"
"feature_2_lag46",0,0,"feature_2_lag46=-0.12608903767025"
"feature_2_lag45",0,0,"feature_2_lag45=-0.12608903767025"
"feature_2_lag44",0,0,"feature_2_lag44=0"
"feature_2_lag43",0.000472387408067043,1.33106936003687e-06,"feature_2_lag43=-0.12608903767025"
"feature_2_lag42",0.000157462469355685,4.95888585111799e-07,"feature_2_lag42=0"
"feature_2_lag41",0,0,"feature_2_lag41=0"
"feature_2_lag40",0,0,"feature_2_lag40=0"
"feature_2_lag39",0,0,"feature_2_lag39=0"
"feature_2_lag38",0,0,"feature_2_lag38=0.116196338190743"
"feature_2_lag37",0,0,"feature_2_lag37=0.116196338190743"
"feature_2_lag36",0,0,"feature_2_lag36=0.116196338190743"
"feature_2_lag35",0,0,"feature_2_lag35=0.116196338190743"
"feature_2_lag34",0,0,"feature_2_lag34=0.223738375958395"
"feature_2_lag33",0,0,"feature_2_lag33=0.223738375958395"
"feature_2_lag32",0,0,"feature_2_lag32=0.223738375958395"
"feature_2_lag31",0,0,"feature_2_lag31=0.223738375958395"
"feature_2_lag30",0,0,"feature_2_lag30=0.223738375958395"
"feature_2_lag29",0,0,"feature_2_lag29=0.223738375958395"
"feature_2_lag28",0,0,"feature_2_lag28=0.223738375958395"
"feature_2_lag27",0,0,"feature_2_lag27=0.323657194237746"
"feature_2_lag26",0,0,"feature_2_lag26=0.223738375958395"
"feature_2_lag25",0,0,"feature_2_lag25=0.223738375958395"
"feature_2_lag24",0,0,"feature_2_lag24=0.223738375958395"
"feature_2_lag23",0,0,"feature_2_lag23=0.323657194237746"
"feature_2_lag22",0,0,"feature_2_lag22=0.323657194237746"
"feature_2_lag21",0,0,"feature_2_lag21=0.323657194237746"
"feature_2_lag20",0,0,"feature_2_lag20=-0.263573505388158"
"feature_2_lag19",0,0,"feature_2_lag19=-0.263573505388158"
"feature_2_lag18",0,0,"feature_2_lag18=-0.263573505388158"
"feature_2_lag17",-0.000105424720628067,2.22287434390118e-07,"feature_2_lag17=-0.263573505388158"
"feature_2_lag16",0,0,"feature_2_lag16=-0.263573505388158"
"feature_2_lag15",0,0,"feature_2_lag15=-0.263573505388158"
"feature_2_lag14",0,0,"feature_2_lag14=-0.263573505388158"
"feature_2_lag13",-8.45180931783485e-05,1.4286616149008e-07,"feature_2_lag13=-0.414297927454846"
"feature_2_lag12",8.97351116717376e-05,1.61047805334785e-07,"feature_2_lag12=-0.263573505388158"
