"feature","phi","phi.var","feature.value"
"feature_1_lag71",3.56038878456963e-05,2.53527365945784e-08,"feature_1_lag71=1.36859480612719"
"feature_1_lag70",3.56038878456963e-05,2.53527365945784e-08,"feature_1_lag70=1.34323385710878"
"feature_1_lag69",0,0,"feature_1_lag69=1.35596673086948"
"feature_1_lag68",0,0,"feature_1_lag68=1.36859480612719"
"feature_1_lag67",0,0,"feature_1_lag67=1.40586714464347"
"feature_1_lag66",0,0,"feature_1_lag66=1.46604358220156"
"feature_1_lag65",0,0,"feature_1_lag65=1.52394866111754"
"feature_1_lag64",0,0,"feature_1_lag64=1.57974762785306"
"feature_1_lag63",0,0,"feature_1_lag63=1.64413340270854"
"feature_1_lag62",0,0,"feature_1_lag62=1.67534063072765"
"feature_1_lag61",0,0,"feature_1_lag61=1.6650085884343"
"feature_1_lag60",0,0,"feature_1_lag60=1.65460649786179"
"feature_1_lag59",0,0,"feature_1_lag59=1.62297027431841"
"feature_1_lag58",0,0,"feature_1_lag58=1.57974762785306"
"feature_1_lag57",0,0,"feature_1_lag57=1.55767095225968"
"feature_1_lag56",0,0,"feature_1_lag56=1.54651233956616"
"feature_1_lag55",0,0,"feature_1_lag55=1.55767095225968"
"feature_1_lag54",0,0,"feature_1_lag54=1.5352719780657"
"feature_1_lag53",0,0,"feature_1_lag53=1.5125411551665"
"feature_1_lag52",0,0,"feature_1_lag52=1.46604358220156"
"feature_1_lag51",0,0,"feature_1_lag51=1.3811197939066"
"feature_1_lag50",0,0,"feature_1_lag50=1.3174466537516"
"feature_1_lag49",0,0,"feature_1_lag49=1.26453442819228"
"feature_1_lag48",0,0,"feature_1_lag48=1.20973208538431"
"feature_1_lag47",0,0,"feature_1_lag47=1.15289957028869"
"feature_1_lag46",0,0,"feature_1_lag46=1.0938806601205"
"feature_1_lag45",0,0,"feature_1_lag45=1.04807718464875"
"feature_1_lag44",0,0,"feature_1_lag44=1.00086415236446"
"feature_1_lag43",0,0,"feature_1_lag43=0.952152045722968"
"feature_1_lag42",0,0,"feature_1_lag42=0.952152045722968"
