model_id,model_type,dataset_type,station,file_path,base_path,test_rmse,model_size_mb
lgbm_combine_chunk_01,lgbm,combine,chunk_01,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_combine_chunk_01_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_combine_chunk_01,2.84328144030001,175.65
lgbm_combine_chunk_02,lgbm,combine,chunk_02,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_combine_chunk_02_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_combine_chunk_02,2.45070465534215,151.35
lgbm_combine_chunk_03,lgbm,combine,chunk_03,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_combine_chunk_03_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_combine_chunk_03,2.89578088794105,56.71
lgbm_combine_norm_chunk_01,lgbm,combine,norm_chunk_01,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_combine_norm_chunk_01_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_combine_norm_chunk_01,0.108503225673123,172.36
lgbm_combine_norm_chunk_02,lgbm,combine,norm_chunk_02,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_combine_norm_chunk_02_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_combine_norm_chunk_02,0.0758511911005384,146.6
lgbm_combine_norm_chunk_03,lgbm,combine,norm_chunk_03,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_combine_norm_chunk_03_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_combine_norm_chunk_03,0.100631607622832,55.39
lgbm_separate_norm_Nomorlization_二林_C0G730_combined_windows,lgbm,separate,norm_Nomorlization_二林_C0G730_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_二林_C0G730_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_二林_C0G730_combined_windows,0.0813322530473306,36
lgbm_separate_norm_Nomorlization_三重_C0AI30_combined_windows,lgbm,separate,norm_Nomorlization_三重_C0AI30_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_三重_C0AI30_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_三重_C0AI30_combined_windows,0.204760210755163,41.16
lgbm_separate_norm_Nomorlization_三義_C0F9Q0_combined_windows,lgbm,separate,norm_Nomorlization_三義_C0F9Q0_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_三義_C0F9Q0_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_三義_C0F9Q0_combined_windows,0.0913700241964181,32.37
lgbm_separate_norm_Nomorlization_土城_C0AD40_combined_windows,lgbm,separate,norm_Nomorlization_土城_C0AD40_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_土城_C0AD40_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lgbm_separate_norm_Nomorlization_土城_C0AD40_combined_windows,0.1542075033674,35.4
